Epochs,Resolution,Class,Class_Acuracy,Total_in_Class
1,82,14,0.0,43
1,82,37,88.77551020408163,98
1,82,39,87.75510204081633,196
1,82,40,92.14876033057851,242
1,82,25,0.0,42
1,82,38,97.19298245614036,285
1,82,22,88.8,375
1,82,61,96.80851063829788,282
1,82,01,83.63636363636363,110
1,82,19,90.9090909090909,231
1,82,31,100.0,63
1,82,35,81.66666666666667,60
1,82,56,33.68421052631579,95
1,82,09,0.0,18
1,82,32,84.17721518987342,316
1,82,53,89.44723618090453,199
1,82,28,89.60000000000001,125
1,82,57,97.43589743589743,78
1,82,23,0.0,15
1,82,47,93.87755102040816,147
1,82,54,84.7457627118644,118
1,82,59,92.85714285714286,42
1,82,42,88.57142857142857,35
1,82,13,92.22222222222223,90
1,82,27,0.0,18
1,82,41,95.27027027027027,148
1,82,07,54.77707006369427,157
1,82,36,0.0,18
1,82,08,0.0,27
1,82,44,100.0,48
1,82,30,0.0,37
1,82,20,45.23809523809524,42
1,82,12,0.0,18
1,82,04,0.0,15
1,82,34,93.47826086956522,46
1,82,45,89.1891891891892,74
1,82,33,0.0,12
1,82,24,0.0,48
1,82,03,0.0,15
1,82,60,0.0,9
1,82,18,87.65432098765432,81
1,82,06,0.0,18
1,82,46,13.636363636363635,44
1,82,21,86.04651162790698,43
1,82,02,0.0,13
1,82,17,69.62025316455697,79
1,82,52,3.7037037037037033,27
1,82,43,0.0,30
1,82,10,0.0,21
1,82,00,0.0,15
1,82,58,0.0,15
1,82,49,0.0,12
1,82,05,0.0,11
1,82,48,0.0,11
1,82,29,96.96969696969697,33
1,82,16,0.0,9
1,82,50,0.0,15
1,82,51,44.44444444444444,27
1,82,26,0.0,6
1,82,15,0.0,9
1,82,55,100.0,12
1,82,11,0.0,7
1,32,14,0.0,43
1,32,37,72.44897959183673,98
1,32,39,58.673469387755105,196
1,32,40,95.0413223140496,242
1,32,25,0.0,42
1,32,38,95.78947368421052,285
1,32,22,93.06666666666666,375
1,32,61,93.61702127659575,282
1,32,01,70.0,110
1,32,19,94.8051948051948,231
1,32,31,3.1746031746031744,63
1,32,35,33.33333333333333,60
1,32,56,85.26315789473684,95
1,32,09,0.0,18
1,32,32,52.84810126582279,316
1,32,53,95.47738693467338,199
1,32,28,39.2,125
1,32,57,0.0,78
1,32,23,0.0,15
1,32,47,89.1156462585034,147
1,32,54,81.35593220338984,118
1,32,59,0.0,42
1,32,42,0.0,35
1,32,13,52.22222222222223,90
1,32,27,0.0,18
1,32,41,10.135135135135135,148
1,32,07,24.840764331210192,157
1,32,36,0.0,18
1,32,08,0.0,27
1,32,44,4.166666666666666,48
1,32,30,0.0,37
1,32,20,0.0,42
1,32,12,0.0,18
1,32,04,0.0,15
1,32,34,0.0,46
1,32,45,89.1891891891892,74
1,32,33,0.0,12
1,32,24,77.08333333333334,48
1,32,03,0.0,15
1,32,60,0.0,9
1,32,18,0.0,81
1,32,06,0.0,18
1,32,46,0.0,44
1,32,21,0.0,43
1,32,02,0.0,13
1,32,17,0.0,79
1,32,52,0.0,27
1,32,43,0.0,30
1,32,10,0.0,21
1,32,00,0.0,15
1,32,58,0.0,15
1,32,49,0.0,12
1,32,05,0.0,11
1,32,48,0.0,11
1,32,29,0.0,33
1,32,16,0.0,9
1,32,50,0.0,15
1,32,51,0.0,27
1,32,26,0.0,6
1,32,15,0.0,9
1,32,55,0.0,12
1,32,11,0.0,7
