Class,Size,model45_epoch,model55_epoch,model24_epoch
0,545,77.66,95.94,86.8
1,125,0.0,22.07,1.38
2,122,35.98,14.02,3.66
3,23,0.0,14.29,0.0
4,26,0.0,25.0,0.0
5,22,0.0,50.0,0.0
6,150,63.16,54.39,5.26
7,285,55.88,93.14,20.59
8,19,0.0,0.0,0.0
9,9,0.0,0.0,0.0
10,0,0.0,0.0,0.0
11,123,87.12,70.45,73.48
12,541,85.37,96.1,31.71
13,13,0.0,0.0,0.0
14,10,0.0,0.0,0.0
15,556,84.9,80.21,49.48
16,1031,82.37,83.16,73.42
17,325,72.73,88.89,3.03
18,21,0.0,0.0,0.0
19,50,23.1,23.94,6.2
20,1589,87.57,90.58,86.82
21,653,49.5,77.0,0.0
22,102,96.06,35.43,85.04
23,1410,81.33,85.06,87.35
24,56,0.0,45.45,0.0
26,59,0.0,53.33,0.0
27,52,0.0,86.36,22.73
29,55,0.0,8.7,0.0
31,1448,85.98,75.61,80.28
32,451,40.0,54.67,40.67
34,1431,92.87,96.57,96.3
36,616,55.57,61.97,61.31
37,41,63.16,78.95,0.0
38,63,0.0,8.33,8.33
39,96,13.64,63.64,63.64
40,723,85.26,83.22,81.63
41,772,97.38,98.13,96.25
42,17,0.0,0.0,0.0
46,85,15.15,45.45,0.0
47,117,46.34,82.93,26.83
48,0,0.0,0.0,0.0
49,533,90.5,89.39,57.54
50,185,70.93,72.09,72.09
51,120,69.23,87.69,53.85
52,22,0.0,0.0,0.0
53,1202,92.09,93.64,91.38
54,1845,92.31,95.63,92.31
56,229,30.16,76.19,0.0
57,3,0.0,0.0,0.0
58,2242,85.07,87.76,73.44
60,1076,69.49,77.56,26.38
61,1564,92.8,97.67,93.77
62,2062,61.29,71.83,75.73
63,75,1.11,1.95,0.0
64,39,0.0,15.79,0.0
65,1568,75.45,91.49,77.62
66,56,0.0,16.67,8.33
67,1432,73.99,87.85,80.17
68,28,16.67,50.0,0.0
69,250,58.73,96.83,76.19
70,437,61.54,79.49,59.62
72,239,91.11,81.11,84.44
73,574,89.84,85.56,79.14
74,35,44.44,66.67,0.0
75,30,0.0,33.33,83.33
76,354,50.0,77.0,55.0
79,1281,96.53,98.27,93.56
80,95,8.57,54.29,31.43
82,434,75.97,91.47,85.27
83,210,95.0,86.67,96.67
84,702,96.74,96.28,82.79
85,422,99.17,99.17,90.83
87,338,71.82,88.18,71.82
88,52,0.0,61.54,53.85
89,616,80.75,82.35,91.44
90,417,76.89,87.5,79.55
92,236,76.27,83.9,77.97
93,12,0.0,0.0,0.0
94,93,68.97,82.76,82.76
96,18,0.0,0.0,0.0
99,236,82.86,85.71,85.71
100,13,0.0,0.0,0.0
102,23,0.0,0.0,0.0
104,367,66.39,94.12,95.8
105,389,92.73,93.94,86.67
106,67,75.0,64.29,32.14
107,17,0.0,16.67,0.0
108,1498,95.97,95.04,92.25
109,46,0.0,0.0,1.94
110,42,100.0,0.0,50.0
111,164,21.62,81.08,70.27
113,12,0.0,0.0,0.0
114,0,0.0,0.0,0.0
115,19,0.0,0.0,0.0
