class,model45_2,model35_2,model25_2
0,98.17,83.54,96.34
1,97.37,18.42,81.58
2,72.97,75.68,70.27
3,85.71,0.0,14.29
4,75.0,12.5,87.5
5,100.0,85.71,71.43
6,80.0,15.56,75.56
7,84.88,90.7,82.56
8,0.0,33.33,0.0
9,0.0,0.0,0.0
11,86.49,83.78,94.59
12,96.32,92.64,93.87
13,50.0,0.0,25.0
14,0.0,0.0,0.0
15,95.21,86.83,89.82
16,90.97,91.94,88.06
17,88.78,81.63,80.61
18,42.86,14.29,57.14
19,100.0,13.33,53.33
20,98.32,96.44,97.06
21,91.33,85.71,80.61
22,83.87,74.19,41.94
23,93.87,92.69,92.22
24,64.71,47.06,41.18
25,0.0,0.0,0.0
26,61.11,38.89,66.67
27,62.5,81.25,31.25
28,0.0,0.0,0.0
29,58.82,41.18,23.53
30,0.0,0.0,0.0
31,97.01,97.7,96.78
32,94.85,88.97,94.12
34,97.67,94.88,98.84
35,97.0,93.5,95.75
36,95.68,96.22,97.3
37,53.85,46.15,69.23
38,78.95,73.68,89.47
39,96.55,100.0,96.55
40,97.7,95.85,97.24
41,97.84,93.97,97.84
42,50.0,33.33,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,76.92,65.38,50.0
47,86.11,58.33,63.89
49,93.12,93.75,95.62
50,66.07,71.43,69.64
51,86.11,88.89,66.67
52,100.0,42.86,42.86
53,98.89,96.95,93.63
54,99.64,97.29,98.74
55,0.0,0.0,0.0
56,84.06,76.81,47.83
57,0.0,0.0,0.0
58,95.54,94.21,95.1
59,86.44,66.1,25.42
60,93.19,82.04,82.97
61,96.17,95.32,97.02
62,98.87,91.76,94.35
63,0.0,30.43,21.74
64,8.33,0.0,0.0
65,91.72,94.9,88.32
66,5.88,0.0,5.88
67,96.74,94.42,98.14
68,88.89,77.78,44.44
69,97.33,90.67,98.67
70,95.45,95.45,95.45
71,95.93,88.62,90.24
72,97.22,98.61,95.83
73,96.53,89.6,80.92
74,9.09,81.82,90.91
75,88.89,77.78,88.89
76,79.44,77.57,92.52
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,96.88,98.18,97.92
80,89.66,48.28,65.52
81,100.0,86.67,73.33
82,95.42,93.89,90.84
83,98.41,96.83,98.41
84,98.58,98.58,97.16
85,99.21,100.0,99.21
86,96.06,93.43,97.0
87,96.08,96.08,95.1
88,81.25,50.0,62.5
89,94.59,92.97,94.05
90,93.65,95.24,91.27
91,0.0,0.0,0.0
92,80.28,91.55,74.65
93,100.0,100.0,100.0
94,96.43,92.86,89.29
95,33.33,33.33,0.0
96,33.33,0.0,33.33
97,0.0,0.0,0.0
98,0.0,0.0,33.33
99,97.18,83.1,91.55
100,25.0,0.0,50.0
101,0.0,0.0,0.0
102,57.14,28.57,0.0
103,0.0,0.0,0.0
104,45.95,59.46,33.33
105,85.47,81.2,89.74
106,85.71,42.86,66.67
107,66.67,0.0,66.67
108,95.33,96.22,96.67
109,57.14,21.43,50.0
110,61.54,69.23,92.31
111,86.0,72.0,80.0
112,25.0,50.0,50.0
113,0.0,0.0,0.0
115,50.0,16.67,16.67
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,96.88,89.06,96.88
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,91.3,8.7,91.3
122,77.78,44.44,55.56
123,50.0,75.0,75.0
124,100.0,77.78,92.59
125,84.21,78.95,94.74
126,100.0,0.0,0.0
127,89.47,73.68,78.95
128,0.0,0.0,0.0
129,33.33,0.0,16.67
130,0.0,0.0,0.0
131,75.0,75.0,62.5
132,100.0,0.0,0.0
133,0.0,0.0,0.0
134,50.0,50.0,0.0
135,12.5,25.0,37.5
136,0.0,66.67,0.0
137,0.0,0.0,0.0
138,70.0,70.56,78.33
139,82.26,61.69,58.06
140,0.0,0.0,0.0
141,20.0,0.0,0.0
142,85.37,87.8,90.24
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,100.0,81.25,93.75
146,29.03,0.0,25.81
147,82.29,87.5,85.42
148,95.59,88.24,70.59
149,0.0,0.0,0.0
150,20.0,5.0,40.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,87.5,75.0,79.17
155,0.0,0.0,0.0
156,33.33,0.0,66.67
157,0.0,0.0,50.0
158,83.33,58.33,77.08
159,68.25,71.43,74.6
160,65.62,37.5,65.62
161,60.0,40.0,55.0
162,25.0,12.5,33.33
163,86.67,60.0,13.33
