epoch,model_52,model_49,model_42
1,1.6052772998809814,1.7700402736663818,1.3198555707931519
2,0.6811370849609375,0.8187797665596008,0.6401470899581909
3,0.41498616337776184,0.530314564704895,0.5238603949546814
4,0.35908088088035583,0.4430622160434723,0.3838024437427521
5,0.34380263090133667,0.4092986583709717,0.3585836589336395
6,0.3317745327949524,0.3996094763278961,0.39402395486831665
7,0.34944066405296326,0.39334410429000854,0.3703974187374115
8,0.40322795510292053,0.5064119696617126,0.49042344093322754
9,0.3948945105075836,0.48801884055137634,0.4509687125682831
10,0.4375525712966919,0.5412043333053589,0.5208722352981567
11,0.4402123987674713,0.5678701400756836,0.5504361391067505
12,0.46700519323349,0.6082659363746643,0.5487425327301025
13,0.5470319986343384,0.6173639893531799,0.5525333881378174
14,0.5559139847755432,0.6416061520576477,0.5223785042762756
15,0.5805901885032654,0.604804277420044,0.5426823496818542
16,0.6003440022468567,0.6127085089683533,0.5649470090866089
17,0.6175211071968079,0.6899081468582153,0.5619348883628845
18,0.6293460130691528,0.7365635633468628,0.5910912752151489
19,0.6433911323547363,0.7534667253494263,0.6142071485519409
20,0.655860185623169,0.7786043882369995,0.6376853585243225
21,0.6690241694450378,0.7911575436592102,0.6568703055381775
22,0.6809177398681641,0.8154959082603455,0.6719551682472229
23,0.6943199038505554,0.8376003503799438,0.6877936124801636
24,0.707707405090332,0.8569305539131165,0.70124751329422
25,0.7193893194198608,0.8802699446678162,0.7159774899482727
26,0.732335090637207,0.8943324089050293, 
27, ,0.9140633344650269, 
