Epochs,Resolution,Class,Class_Acuracy,Total_in_Class
1,101,45,88.11,673
1,101,76,84.51,71
1,101,71,93.7,397
1,101,48,93.83,470
1,101,58,82.61,92
1,101,25,89.2,435
1,101,72,81.37,102
1,101,65,6.9,29
1,101,83,93.56,450
1,101,49,93.54,619
1,101,13,92.22,167
1,101,52,86.62,471
1,101,75,83.33,126
1,101,6,44.44,45
1,101,18,92.87,477
1,101,27,95.12,430
1,101,54,92.56,430
1,101,64,90.65,385
1,101,56,92.0,75
1,101,34,95.26,232
1,101,74,78.92,185
1,101,33,97.7,217
1,101,70,86.61,127
1,101,101,3.23,31
1,101,28,94.5,400
1,101,97,0.0,8
1,101,42,93.07,361
1,101,102,76.04,96
1,101,19,72.45,196
1,101,30,0.0,13
1,101,43,97.65,554
1,101,10,93.25,163
1,101,106,6.25,48
1,101,14,93.23,310
1,101,15,68.37,98
1,101,36,19.23,26
1,101,88,87.5,64
1,101,37,72.22,36
1,101,66,0.0,15
1,101,69,94.79,211
1,101,9,86.49,37
1,101,59,97.22,72
1,101,63,78.5,107
1,101,60,84.39,173
1,101,92,77.78,27
1,101,90,0.0,9
1,101,61,0.0,11
1,101,26,87.5,136
1,101,80,50.7,71
1,101,32,68.97,29
1,101,21,89.62,424
1,101,38,90.0,160
1,101,24,12.5,16
1,101,47,78.95,323
1,101,67,72.52,131
1,101,1,44.74,38
1,101,51,0.0,12
1,101,91,0.0,8
1,101,68,87.3,63
1,101,86,66.0,50
1,101,0,87.2,164
1,101,39,89.29,56
1,101,29,84.32,185
1,101,11,0.0,4
1,101,96,0.0,6
1,101,104,4.17,24
1,101,73,37.5,16
1,101,53,0.0,17
1,101,103,80.88,68
1,101,50,0.0,23
1,101,84,0.0,14
1,101,4,0.0,8
1,101,93,68.42,19
1,101,7,86.05,86
1,101,41,0.0,7
1,101,94,15.79,19
1,101,82,0.0,6
1,101,46,73.81,42
1,101,100,12.5,32
1,101,57,94.7,132
1,101,16,0.0,7
1,101,99,53.66,41
1,101,20,29.03,31
1,101,77,0.0,4
1,101,40,86.11,36
1,101,44,44.93,69
1,101,5,0.0,7
1,101,23,0.0,18
1,101,78,53.57,28
1,101,31,52.63,19
1,101,81,52.38,21
1,101,89,47.83,23
1,101,2,48.65,37
1,101,12,0.0,3
1,101,85,0.0,13
1,101,87,0.0,6
1,101,98,0.0,6
1,101,8,0.0,6
1,101,3,0.0,7
1,101,35,0.0,6
1,101,17,40.0,15
1,101,22,0.0,17
1,101,79,0.0,6
1,101,62,33.33,9
1,101,105,0.0,10
1,101,55,0.0,9
1,101,95,0.0,2
2,101,57,93.94,132
2,101,25,98.16,435
2,101,48,97.45,470
2,101,19,94.39,196
2,101,18,98.53,477
2,101,13,97.01,167
2,101,47,92.26,323
2,101,69,98.1,211
2,101,76,94.37,71
2,101,15,82.65,98
2,101,43,99.82,554
2,101,83,93.11,450
2,101,38,96.25,160
2,101,29,94.59,185
2,101,49,94.99,619
2,101,106,41.67,48
2,101,63,90.65,107
2,101,42,98.89,361
2,101,28,96.25,400
2,101,27,97.21,430
2,101,64,98.44,385
2,101,54,93.49,430
2,101,37,94.44,36
2,101,67,94.66,131
2,101,71,96.73,397
2,101,45,97.33,673
2,101,73,81.25,16
2,101,60,93.64,173
2,101,21,97.64,424
2,101,0,98.17,164
2,101,52,95.33,471
2,101,89,86.96,23
2,101,14,94.84,310
2,101,39,91.07,56
2,101,31,94.74,19
2,101,26,89.71,136
2,101,104,79.17,24
2,101,74,92.43,185
2,101,103,94.12,68
2,101,10,98.77,163
2,101,34,95.26,232
2,101,59,97.22,72
2,101,79,0.0,6
2,101,53,52.94,17
2,101,86,84.0,50
2,101,7,93.02,86
2,101,90,44.44,9
2,101,20,83.87,31
2,101,75,93.65,126
2,101,68,95.24,63
2,101,80,87.32,71
2,101,61,72.73,11
2,101,58,86.96,92
2,101,100,75.0,32
2,101,33,98.62,217
2,101,91,25.0,8
2,101,2,72.97,37
2,101,92,81.48,27
2,101,9,91.89,37
2,101,70,91.34,127
2,101,102,70.83,96
2,101,93,68.42,19
2,101,81,66.67,21
2,101,23,55.56,18
2,101,1,97.37,38
2,101,41,0.0,7
2,101,46,83.33,42
2,101,88,84.38,64
2,101,72,95.1,102
2,101,101,58.06,31
2,101,6,66.67,45
2,101,78,85.71,28
2,101,44,86.96,69
2,101,30,30.77,13
2,101,17,93.33,15
2,101,32,62.07,29
2,101,99,70.73,41
2,101,35,0.0,6
2,101,85,53.85,13
2,101,87,0.0,6
2,101,82,0.0,6
2,101,66,60.0,15
2,101,40,88.89,36
