Epochs,Model_accuracy,Resolution
1,75.97489695624604,82
2,91.75659480025364,82
3,93.85703630310715,82
4,95.3788031071655,82
5,96.01290662650594,82
6,95.86987714013951,82
7,97.05099635383634,82
8,96.5602068801522,82
9,96.50488031071653,82
10,97.03513950538996,82
11,96.61481848446417,82
12,95.87033766645526,82
13,97.55879121750154,82
14,97.07457276474315,82
15,97.30473050095114,82
16,97.18633243500318,82
17,96.98803899809768,82
18,97.70896876981605,82
19,97.44855500951171,82
20,97.79569594166139,82
21,96.26641169942928,82
22,96.21108433734938,82
23,97.67789552948634,82
24,97.26551521876983,82
25,97.56657736207987,82
26,97.29636572606213,82
27,97.40756182625238,82
28,97.98639188332277,82
29,97.24900364616366,82
30,97.01928027901077,82
