class,filters,error
66,Original,86.15
40,Original,87.23
28,Original,97.66
90,Original,98.22
32,Original,97.19
74,Original,95.63
23,Original,96.0
46,Original,96.86
51,Original,96.71
41,Original,95.88
55,Original,94.81
48,Original,93.21
52,Original,97.93
16,Original,93.41
30,Original,97.68
59,Original,100.0
20,Original,96.1
72,Original,96.51
57,Original,90.31
77,Original,88.41
39,Original,75.76
22,Original,81.54
86,Original,90.45
53,Original,88.24
50,Original,96.62
35,Original,88.57
6,Original,85.0
45,Original,98.87
21,Original,89.25
17,Original,80.77
67,Original,100.0
79,Original,94.17
11,Original,91.11
15,Original,87.34
31,Original,95.0
78,Original,97.97
37,Original,97.84
62,Original,87.88
49,Original,82.14
87,Original,74.68
93,Original,51.72
9,Original,0.0
26,Original,81.82
4,Original,88.89
63,Original,96.44
91,Original,88.14
29,Original,89.47
34,Original,100.0
19,Original,91.51
5,Original,85.71
76,Original,88.89
36,Original,100.0
43,Original,88.89
2,Original,85.19
83,Original,93.59
100,Original,16.67
0,Original,98.37
42,Original,88.46
61,Original,94.64
33,Original,83.33
1,Original,93.18
75,Original,86.27
24,Original,65.0
60,Original,98.41
88,Original,71.43
84,Original,0.0
18,Original,20.0
12,Original,93.88
69,Original,72.73
25,Original,76.19
56,Original,75.0
27,Original,0.0
81,Original,88.89
97,Original,88.89
68,Original,91.67
70,Original,98.28
54,Original,62.5
47,Original,74.07
99,Original,84.21
94,Original,0.0
7,Original,80.0
71,Original,100.0
10,Original,84.62
3,Original,61.9
85,Original,22.22
92,Original,50.0
102,Original,96.0
73,Original,93.88
58,Original,83.33
82,Original,100.0
95,Original,33.33
64,Original,81.82
44,Original,71.43
38,Original,100.0
89,Original,50.0
96,Original,71.43
80,Original,100.0
14,Original,33.33
98,Original,0.0
65,Original,77.78
101,Original,100.0
13,Original,50.0
8,Original,33.33
