filter,class,predicted_class
Original,45,45
snow10,45,45
Original,30,30
snow10,30,30
Original,52,52
snow10,52,53
Original,86,86
snow10,86,86
Original,93,95
snow10,93,95
Original,21,21
snow10,21,21
Original,86,86
snow10,86,86
Original,50,50
snow10,50,50
Original,52,52
snow10,52,52
Original,52,52
snow10,52,36
Original,90,90
snow10,90,90
Original,30,30
snow10,30,30
Original,2,2
snow10,2,2
Original,78,78
snow10,78,78
Original,72,72
snow10,72,72
Original,90,90
snow10,90,90
Original,77,77
snow10,77,77
Original,40,40
snow10,40,40
Original,67,67
snow10,67,67
Original,51,51
snow10,51,51
Original,41,41
snow10,41,41
Original,90,90
snow10,90,90
Original,78,78
snow10,78,77
Original,63,63
snow10,63,63
Original,22,22
snow10,22,22
Original,32,32
snow10,32,32
Original,0,0
snow10,0,0
Original,26,26
snow10,26,26
Original,15,15
snow10,15,15
Original,102,102
snow10,102,102
Original,52,52
snow10,52,52
Original,29,29
snow10,29,29
Original,42,42
snow10,42,42
Original,50,50
snow10,50,50
Original,30,30
snow10,30,30
Original,102,102
snow10,102,102
Original,37,37
snow10,37,31
Original,67,67
snow10,67,67
Original,1,1
snow10,1,1
Original,16,16
snow10,16,16
Original,32,32
snow10,32,32
Original,90,90
snow10,90,90
Original,52,52
snow10,52,48
Original,90,90
snow10,90,90
Original,55,55
snow10,55,53
Original,28,28
snow10,28,28
Original,32,32
snow10,32,32
Original,97,97
snow10,97,97
Original,30,30
snow10,30,30
Original,48,48
snow10,48,48
Original,43,43
snow10,43,43
Original,55,55
snow10,55,55
Original,51,51
snow10,51,51
Original,90,90
snow10,90,79
Original,53,53
snow10,53,53
Original,63,63
snow10,63,63
Original,15,15
snow10,15,15
Original,48,48
snow10,48,48
Original,61,61
snow10,61,61
Original,90,90
snow10,90,90
Original,48,48
snow10,48,48
Original,50,50
snow10,50,50
Original,30,30
snow10,30,30
Original,23,23
snow10,23,23
Original,66,66
snow10,66,66
Original,1,1
snow10,1,1
Original,67,67
snow10,67,67
Original,0,0
snow10,0,0
Original,16,16
snow10,16,16
Original,79,79
snow10,79,79
Original,65,65
snow10,65,48
Original,46,46
snow10,46,30
Original,5,5
snow10,5,11
Original,90,90
snow10,90,90
Original,83,83
snow10,83,83
Original,6,24
snow10,6,30
Original,58,58
snow10,58,45
Original,12,97
snow10,12,97
Original,16,16
snow10,16,16
Original,66,66
snow10,66,16
Original,63,63
snow10,63,63
Original,30,30
snow10,30,30
Original,52,52
snow10,52,52
Original,91,91
snow10,91,91
Original,51,51
snow10,51,51
Original,30,30
snow10,30,30
Original,90,90
snow10,90,90
Original,52,52
snow10,52,52
Original,23,23
snow10,23,23
Original,23,23
snow10,23,23
Original,66,67
snow10,66,100
Original,19,19
snow10,19,19
Original,51,51
snow10,51,51
Original,57,57
snow10,57,57
Original,33,74
snow10,33,74
Original,86,86
snow10,86,86
Original,53,53
snow10,53,53
Original,28,28
snow10,28,28
Original,66,66
snow10,66,66
Original,43,43
snow10,43,43
Original,90,90
snow10,90,90
Original,2,2
snow10,2,1
