class,filters,error
50,fog3,94.44
16,fog3,93.04
49,fog3,94.64
90,fog3,98.38
31,fog3,94.44
15,fog3,90.51
32,fog3,97.19
57,fog3,93.37
30,fog3,98.38
36,fog3,99.35
0,fog3,98.37
74,fog3,97.57
45,fog3,99.25
63,fog3,94.22
40,fog3,80.85
52,fog3,96.69
48,fog3,90.12
21,fog3,90.32
79,fog3,87.38
47,fog3,85.19
41,fog3,92.78
23,fog3,95.38
11,fog3,91.11
55,fog3,93.07
35,fog3,97.14
28,fog3,96.48
20,fog3,97.4
97,fog3,90.48
68,fog3,86.11
81,fog3,88.89
78,fog3,97.97
87,fog3,94.94
73,fog3,93.88
53,fog3,89.92
22,fog3,81.54
56,fog3,62.5
60,fog3,90.48
12,fog3,91.84
102,fog3,92.0
1,fog3,81.82
61,fog3,92.86
67,fog3,99.44
2,fog3,87.04
51,fog3,89.71
96,fog3,57.14
77,fog3,86.96
66,fog3,79.23
6,fog3,95.0
83,fog3,93.59
91,fog3,91.53
93,fog3,68.97
86,fog3,94.94
8,fog3,0.0
26,fog3,90.91
42,fog3,94.87
29,fog3,75.44
19,fog3,86.79
3,fog3,76.19
37,fog3,94.24
46,fog3,96.86
9,fog3,66.67
70,fog3,98.28
43,fog3,96.3
76,fog3,94.44
92,fog3,8.33
17,fog3,73.08
84,fog3,25.0
72,fog3,94.19
59,fog3,100.0
71,fog3,100.0
4,fog3,77.78
88,fog3,78.57
5,fog3,85.71
39,fog3,81.82
7,fog3,85.0
24,fog3,60.0
10,fog3,84.62
34,fog3,100.0
25,fog3,66.67
38,fog3,88.89
75,fog3,92.16
33,fog3,83.33
100,fog3,83.33
62,fog3,84.85
82,fog3,100.0
58,fog3,83.33
99,fog3,84.21
64,fog3,54.55
69,fog3,72.73
94,fog3,0.0
13,fog3,75.0
27,fog3,0.0
14,fog3,0.0
54,fog3,50.0
80,fog3,100.0
95,fog3,0.0
89,fog3,37.5
18,fog3,20.0
101,fog3,100.0
85,fog3,0.0
65,fog3,77.78
98,fog3,0.0
44,fog3,71.43
