class,filters,error
90,fograin,62.62
57,fograin,30.1
30,fograin,77.03
77,fograin,67.39
52,fograin,36.36
12,fograin,43.88
78,fograin,54.31
67,fograin,42.78
37,fograin,17.99
51,fograin,37.86
11,fograin,31.11
50,fograin,44.44
55,fograin,12.55
32,fograin,55.62
71,fograin,37.5
65,fograin,22.22
42,fograin,44.87
19,fograin,27.36
28,fograin,39.84
97,fograin,42.86
21,fograin,25.81
45,fograin,64.91
86,fograin,34.83
49,fograin,44.64
64,fograin,0.0
53,fograin,11.34
46,fograin,38.04
70,fograin,55.17
73,fograin,63.27
87,fograin,19.62
2,fograin,48.15
17,fograin,23.08
91,fograin,55.93
66,fograin,30.77
92,fograin,0.0
48,fograin,50.93
20,fograin,62.77
0,fograin,47.15
29,fograin,26.32
23,fograin,65.54
59,fograin,18.52
16,fograin,48.35
22,fograin,76.92
39,fograin,24.24
83,fograin,23.08
74,fograin,43.2
88,fograin,14.29
6,fograin,23.33
93,fograin,12.07
79,fograin,37.86
61,fograin,30.36
35,fograin,20.0
1,fograin,27.27
63,fograin,54.22
68,fograin,30.56
36,fograin,70.78
25,fograin,14.29
60,fograin,34.92
41,fograin,73.2
62,fograin,36.36
27,fograin,5.88
81,fograin,33.33
40,fograin,38.3
43,fograin,40.74
10,fograin,46.15
15,fograin,27.85
31,fograin,43.33
34,fograin,38.1
80,fograin,33.33
89,fograin,37.5
7,fograin,22.5
56,fograin,0.0
82,fograin,14.29
47,fograin,7.41
85,fograin,0.0
5,fograin,14.29
75,fograin,66.67
58,fograin,41.67
54,fograin,12.5
38,fograin,22.22
72,fograin,44.19
102,fograin,40.0
69,fograin,63.64
33,fograin,44.44
84,fograin,0.0
3,fograin,14.29
24,fograin,30.0
26,fograin,22.73
9,fograin,33.33
99,fograin,26.32
76,fograin,11.11
95,fograin,0.0
44,fograin,57.14
4,fograin,22.22
100,fograin,33.33
94,fograin,0.0
101,fograin,20.0
96,fograin,14.29
8,fograin,33.33
13,fograin,25.0
18,fograin,20.0
98,fograin,0.0
14,fograin,0.0
