class,filters,error
67,Original,99.44
55,Original,96.97
42,Original,92.31
20,Original,97.4
63,Original,96.44
52,Original,98.55
93,Original,84.48
48,Original,94.75
30,Original,98.61
29,Original,89.47
78,Original,97.97
53,Original,91.18
51,Original,97.12
74,Original,96.12
28,Original,98.44
45,Original,100.0
31,Original,92.22
37,Original,96.4
19,Original,94.34
22,Original,76.92
15,Original,92.41
32,Original,97.19
90,Original,98.06
87,Original,86.71
23,Original,97.23
66,Original,86.92
102,Original,96.0
46,Original,97.65
50,Original,96.62
2,Original,87.04
49,Original,89.29
12,Original,94.9
85,Original,44.44
72,Original,97.67
36,Original,100.0
35,Original,91.43
59,Original,100.0
16,Original,94.14
57,Original,97.45
0,Original,99.19
86,Original,91.57
75,Original,92.16
6,Original,88.33
77,Original,91.3
40,Original,97.87
71,Original,95.83
1,Original,90.91
21,Original,91.4
81,Original,94.44
38,Original,55.56
83,Original,96.15
69,Original,90.91
79,Original,89.32
41,Original,95.88
73,Original,97.96
25,Original,85.71
62,Original,87.88
91,Original,91.53
97,Original,77.78
61,Original,98.21
11,Original,91.11
47,Original,92.59
39,Original,87.88
43,Original,98.15
60,Original,95.24
17,Original,90.38
27,Original,17.65
99,Original,84.21
70,Original,100.0
101,Original,100.0
58,Original,91.67
88,Original,85.71
33,Original,83.33
64,Original,36.36
7,Original,82.5
76,Original,88.89
92,Original,25.0
4,Original,66.67
68,Original,94.44
3,Original,66.67
100,Original,50.0
56,Original,91.67
65,Original,77.78
34,Original,100.0
10,Original,76.92
18,Original,60.0
44,Original,71.43
26,Original,90.91
98,Original,100.0
5,Original,85.71
54,Original,62.5
9,Original,66.67
24,Original,75.0
95,Original,0.0
84,Original,0.0
13,Original,100.0
89,Original,87.5
96,Original,57.14
8,Original,33.33
94,Original,33.33
14,Original,33.33
82,Original,100.0
80,Original,100.0
