class,filters,error
37,Original,97.12
91,Original,91.53
90,Original,97.57
78,Original,97.97
0,Original,93.5
28,Original,96.48
63,Original,95.56
23,Original,96.92
56,Original,70.83
58,Original,75.0
97,Original,82.54
50,Original,95.17
86,Original,94.38
51,Original,95.88
48,Original,93.21
79,Original,93.2
87,Original,89.87
24,Original,70.0
15,Original,91.14
55,Original,96.54
40,Original,93.62
30,Original,97.91
32,Original,97.47
93,Original,82.76
16,Original,93.04
41,Original,95.88
57,Original,92.86
53,Original,90.34
46,Original,97.25
19,Original,92.45
31,Original,93.33
22,Original,78.46
66,Original,80.77
20,Original,96.97
75,Original,94.12
52,Original,97.73
35,Original,94.29
7,Original,82.5
17,Original,86.54
12,Original,91.84
74,Original,94.66
72,Original,95.35
73,Original,95.92
45,Original,100.0
2,Original,83.33
67,Original,99.44
21,Original,93.55
49,Original,94.64
89,Original,25.0
61,Original,91.07
47,Original,81.48
77,Original,89.13
4,Original,66.67
60,Original,90.48
25,Original,85.71
42,Original,93.59
81,Original,88.89
43,Original,96.3
1,Original,95.45
36,Original,99.35
8,Original,0.0
59,Original,100.0
68,Original,94.44
62,Original,87.88
39,Original,75.76
83,Original,97.44
38,Original,66.67
92,Original,41.67
29,Original,71.93
76,Original,94.44
26,Original,90.91
33,Original,83.33
6,Original,81.67
65,Original,100.0
69,Original,72.73
96,Original,14.29
10,Original,84.62
82,Original,85.71
98,Original,33.33
11,Original,93.33
70,Original,100.0
88,Original,78.57
100,Original,50.0
71,Original,95.83
80,Original,100.0
99,Original,78.95
102,Original,96.0
34,Original,95.24
85,Original,55.56
27,Original,0.0
3,Original,71.43
64,Original,54.55
84,Original,0.0
54,Original,56.25
9,Original,33.33
5,Original,85.71
101,Original,100.0
44,Original,71.43
18,Original,60.0
94,Original,0.0
95,Original,0.0
13,Original,50.0
14,Original,0.0
