class,filters,error
52,day,94.63
57,day,80.1
30,day,95.36
62,day,66.67
20,day,97.4
78,day,94.42
53,day,91.6
28,day,97.27
60,day,88.89
23,day,91.08
36,day,99.35
70,day,94.83
51,day,87.65
37,day,97.12
21,day,88.17
67,day,97.22
15,day,89.24
90,day,96.6
79,day,93.2
55,day,78.79
4,day,55.56
50,day,94.44
73,day,95.92
63,day,93.33
1,day,93.18
86,day,79.78
45,day,95.85
88,day,78.57
11,day,95.56
46,day,92.94
42,day,96.15
58,day,91.67
48,day,92.28
32,day,94.94
17,day,82.69
72,day,93.02
93,day,56.9
49,day,83.93
74,day,93.69
47,day,92.59
31,day,90.0
0,day,92.68
77,day,79.71
7,day,35.0
5,day,42.86
12,day,92.86
41,day,92.78
87,day,39.24
102,day,96.0
66,day,61.54
16,day,87.55
29,day,50.88
19,day,84.91
61,day,91.07
59,day,100.0
83,day,96.15
43,day,87.04
75,day,92.16
40,day,91.49
71,day,100.0
97,day,73.02
98,day,100.0
35,day,82.86
76,day,88.89
26,day,77.27
38,day,66.67
91,day,91.53
6,day,85.0
2,day,87.04
22,day,84.62
39,day,75.76
81,day,88.89
65,day,11.11
10,day,84.62
3,day,52.38
99,day,89.47
82,day,100.0
34,day,95.24
25,day,80.95
56,day,37.5
24,day,45.0
33,day,72.22
27,day,0.0
85,day,0.0
13,day,25.0
18,day,60.0
69,day,63.64
68,day,86.11
54,day,56.25
95,day,33.33
92,day,8.33
89,day,37.5
100,day,50.0
96,day,28.57
44,day,71.43
101,day,100.0
14,day,0.0
64,day,54.55
84,day,0.0
80,day,100.0
8,day,0.0
9,day,66.67
94,day,33.33
