class,filters,error
61,fog,37.5
16,fog,44.32
23,fog,44.0
17,fog,17.31
12,fog,32.65
50,fog,45.65
75,fog,72.55
52,fog,35.33
79,fog,26.21
1,fog,50.0
45,fog,27.55
46,fog,10.59
51,fog,7.82
0,fog,35.77
67,fog,25.56
32,fog,83.43
91,fog,15.25
20,fog,61.47
74,fog,71.84
73,fog,14.29
83,fog,48.72
86,fog,7.87
90,fog,83.01
48,fog,70.68
42,fog,55.13
78,fog,28.93
53,fog,22.27
30,fog,75.64
55,fog,3.9
77,fog,26.81
70,fog,17.24
43,fog,61.11
57,fog,9.69
22,fog,64.62
72,fog,3.49
7,fog,2.5
40,fog,53.19
28,fog,67.19
37,fog,56.12
19,fog,17.92
21,fog,34.41
36,fog,87.66
2,fog,48.15
81,fog,0.0
66,fog,5.38
63,fog,18.67
35,fog,22.86
47,fog,14.81
15,fog,36.71
41,fog,34.02
92,fog,8.33
59,fog,37.04
25,fog,57.14
60,fog,4.76
62,fog,3.03
31,fog,27.78
39,fog,21.21
68,fog,11.11
93,fog,3.45
4,fog,0.0
97,fog,46.03
87,fog,15.19
71,fog,4.17
76,fog,27.78
6,fog,55.0
56,fog,8.33
11,fog,35.56
101,fog,0.0
26,fog,9.09
69,fog,9.09
99,fog,0.0
95,fog,0.0
80,fog,0.0
98,fog,0.0
34,fog,28.57
54,fog,18.75
88,fog,35.71
96,fog,0.0
3,fog,4.76
13,fog,25.0
10,fog,30.77
49,fog,44.64
58,fog,0.0
24,fog,5.0
29,fog,12.28
102,fog,8.0
84,fog,0.0
27,fog,0.0
89,fog,12.5
33,fog,44.44
64,fog,0.0
100,fog,33.33
82,fog,0.0
38,fog,0.0
5,fog,0.0
94,fog,0.0
85,fog,0.0
9,fog,0.0
18,fog,20.0
8,fog,0.0
44,fog,0.0
65,fog,0.0
14,fog,0.0
