class,filters,error
67,rain,74.44
51,rain,66.26
53,rain,77.73
23,rain,85.54
50,rain,82.37
43,rain,83.33
77,rain,72.46
30,rain,93.5
17,rain,69.23
45,rain,89.06
90,rain,96.28
19,rain,66.98
32,rain,93.82
20,rain,95.24
72,rain,89.53
55,rain,46.75
52,rain,78.51
47,rain,74.07
75,rain,80.39
74,rain,92.23
21,rain,82.8
83,rain,85.9
36,rain,98.05
46,rain,69.8
86,rain,69.1
68,rain,75.0
63,rain,80.44
48,rain,91.67
16,rain,84.98
79,rain,91.26
6,rain,81.67
42,rain,93.59
4,rain,66.67
60,rain,65.08
28,rain,87.11
40,rain,85.11
31,rain,82.22
1,rain,72.73
29,rain,33.33
37,rain,94.24
22,rain,83.08
78,rain,85.79
93,rain,44.83
12,rain,72.45
66,rain,53.85
57,rain,54.08
0,rain,90.24
41,rain,78.35
34,rain,95.24
87,rain,36.71
33,rain,61.11
49,rain,82.14
100,rain,50.0
88,rain,64.29
70,rain,86.21
11,rain,91.11
27,rain,0.0
15,rain,87.97
13,rain,25.0
85,rain,0.0
39,rain,75.76
35,rain,71.43
25,rain,85.71
91,rain,83.05
73,rain,91.84
97,rain,66.67
7,rain,22.5
81,rain,58.33
92,rain,8.33
62,rain,51.52
69,rain,45.45
101,rain,100.0
2,rain,83.33
71,rain,62.5
26,rain,77.27
76,rain,77.78
59,rain,92.59
3,rain,42.86
84,rain,0.0
54,rain,43.75
102,rain,96.0
61,rain,91.07
65,rain,0.0
9,rain,33.33
24,rain,35.0
56,rain,20.83
44,rain,71.43
99,rain,94.74
10,rain,84.62
38,rain,66.67
58,rain,91.67
96,rain,28.57
94,rain,33.33
64,rain,45.45
98,rain,33.33
14,rain,0.0
18,rain,40.0
89,rain,50.0
95,rain,33.33
82,rain,100.0
80,rain,100.0
8,rain,0.0
5,rain,28.57
