class,filters,error
19,Original,98.11
12,Original,93.88
62,Original,87.88
57,Original,98.98
87,Original,46.2
59,Original,100.0
52,Original,99.17
79,Original,95.15
46,Original,98.04
16,Original,94.87
32,Original,97.75
51,Original,98.77
21,Original,92.47
77,Original,91.3
50,Original,95.65
93,Original,72.41
28,Original,98.83
72,Original,97.67
48,Original,95.06
90,Original,98.22
63,Original,96.89
71,Original,95.83
53,Original,92.44
81,Original,91.67
45,Original,99.62
20,Original,98.27
66,Original,87.69
30,Original,98.84
29,Original,98.25
17,Original,94.23
41,Original,94.85
49,Original,87.5
37,Original,94.96
78,Original,97.97
74,Original,96.6
22,Original,80.0
44,Original,85.71
47,Original,96.3
75,Original,88.24
36,Original,99.35
23,Original,98.15
27,Original,0.0
6,Original,91.67
15,Original,96.2
24,Original,80.0
2,Original,90.74
85,Original,33.33
11,Original,93.33
10,Original,84.62
31,Original,92.22
43,Original,94.44
73,Original,95.92
35,Original,97.14
0,Original,98.37
99,Original,100.0
34,Original,100.0
67,Original,99.44
97,Original,85.71
68,Original,97.22
40,Original,95.74
42,Original,96.15
55,Original,97.84
86,Original,89.33
91,Original,91.53
33,Original,83.33
88,Original,78.57
58,Original,91.67
25,Original,100.0
83,Original,97.44
60,Original,90.48
64,Original,81.82
70,Original,100.0
1,Original,93.18
26,Original,90.91
4,Original,100.0
7,Original,87.5
84,Original,0.0
61,Original,91.07
80,Original,100.0
39,Original,84.85
69,Original,72.73
3,Original,71.43
56,Original,79.17
38,Original,55.56
65,Original,88.89
95,Original,0.0
101,Original,100.0
89,Original,50.0
96,Original,57.14
102,Original,96.0
9,Original,100.0
13,Original,75.0
82,Original,100.0
92,Original,16.67
98,Original,100.0
14,Original,33.33
100,Original,100.0
76,Original,83.33
54,Original,68.75
5,Original,100.0
8,Original,100.0
94,Original,0.0
18,Original,60.0
