class,filters,error
19,snownight,69.81
12,snownight,80.61
62,snownight,69.7
57,snownight,84.69
87,snownight,35.44
59,snownight,92.59
52,snownight,81.4
79,snownight,79.61
46,snownight,78.43
16,snownight,82.05
32,snownight,79.78
51,snownight,78.6
21,snownight,73.12
77,snownight,66.67
50,snownight,81.16
93,snownight,13.79
28,snownight,82.42
72,snownight,86.05
48,snownight,81.17
90,snownight,82.04
63,snownight,49.33
71,snownight,87.5
53,snownight,64.29
81,snownight,86.11
45,snownight,91.32
20,snownight,88.74
66,snownight,44.62
30,snownight,95.36
29,snownight,68.42
17,snownight,80.77
41,snownight,92.78
49,snownight,83.93
37,snownight,79.14
78,snownight,82.74
74,snownight,74.27
22,snownight,80.0
44,snownight,71.43
47,snownight,74.07
75,snownight,80.39
36,snownight,90.26
23,snownight,92.92
27,snownight,0.0
6,snownight,81.67
15,snownight,79.11
24,snownight,60.0
2,snownight,83.33
85,snownight,22.22
11,snownight,66.67
10,snownight,84.62
31,snownight,82.22
43,snownight,81.48
73,snownight,89.8
35,snownight,60.0
0,snownight,90.24
99,snownight,73.68
34,snownight,100.0
67,snownight,88.33
97,snownight,73.02
68,snownight,83.33
40,snownight,76.6
42,snownight,87.18
55,snownight,71.86
86,snownight,66.29
91,snownight,69.49
33,snownight,83.33
88,snownight,53.57
58,snownight,66.67
25,snownight,80.95
83,snownight,47.44
60,snownight,63.49
64,snownight,27.27
70,snownight,89.66
1,snownight,79.55
26,snownight,81.82
4,snownight,66.67
7,snownight,42.5
84,snownight,25.0
61,snownight,80.36
80,snownight,66.67
39,snownight,75.76
69,snownight,72.73
3,snownight,47.62
56,snownight,25.0
38,snownight,77.78
65,snownight,33.33
95,snownight,0.0
101,snownight,80.0
89,snownight,50.0
96,snownight,42.86
102,snownight,68.0
9,snownight,33.33
13,snownight,25.0
82,snownight,71.43
92,snownight,8.33
98,snownight,33.33
14,snownight,33.33
100,snownight,50.0
76,snownight,72.22
54,snownight,37.5
5,snownight,71.43
8,snownight,33.33
94,snownight,0.0
18,snownight,40.0
