class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,95.12,77.24,65.85,77.24,73.17,53.66,123
1,95.45,59.09,36.36,56.82,79.55,40.91,44
2,87.04,57.41,51.85,61.11,68.52,31.48,54
3,57.14,33.33,23.81,28.57,38.1,19.05,21
4,55.56,33.33,44.44,33.33,44.44,33.33,9
5,85.71,28.57,42.86,57.14,42.86,14.29,7
6,91.67,65.0,43.33,63.33,61.67,26.67,60
7,82.5,32.5,32.5,40.0,35.0,15.0,40
8,0.0,0.0,0.0,0.0,33.33,0.0,3
9,0.0,0.0,0.0,0.0,0.0,0.0,3
10,76.92,46.15,46.15,46.15,69.23,38.46,13
11,84.44,53.33,48.89,53.33,60.0,35.56,45
12,91.84,74.49,46.94,67.35,70.41,42.86,98
13,75.0,25.0,25.0,50.0,25.0,0.0,4
14,66.67,33.33,0.0,33.33,33.33,0.0,3
15,93.67,77.22,62.03,71.52,80.38,60.13,158
16,91.58,85.35,66.3,79.12,80.59,54.21,273
17,82.69,42.31,42.31,65.38,59.62,36.54,52
18,60.0,40.0,40.0,20.0,20.0,20.0,5
19,92.45,74.53,56.6,75.47,74.53,48.11,106
20,97.84,84.42,77.49,84.85,82.25,54.98,231
21,93.55,62.37,58.06,66.67,77.42,43.01,93
22,81.54,78.46,75.38,78.46,76.92,63.08,65
23,96.0,89.23,72.31,83.38,88.31,58.77,325
24,65.0,40.0,10.0,35.0,50.0,20.0,20
25,85.71,47.62,19.05,57.14,33.33,19.05,21
26,90.91,86.36,50.0,63.64,72.73,50.0,22
27,0.0,5.88,0.0,0.0,0.0,0.0,17
28,98.83,78.91,65.62,76.17,76.17,45.31,256
29,82.46,54.39,36.84,47.37,40.35,26.32,57
30,98.38,93.74,90.72,93.74,93.04,76.1,431
31,92.78,87.22,77.22,86.67,75.56,51.11,180
32,97.47,85.96,79.78,87.64,83.15,51.97,356
33,83.33,77.78,72.22,77.78,88.89,66.67,18
34,100.0,95.24,71.43,80.95,90.48,57.14,21
35,97.14,54.29,65.71,68.57,60.0,28.57,35
36,98.05,89.61,78.57,89.61,86.36,62.99,154
