filter,class,predicted_class
Original,86,86
night10,86,86
Original,28,28
night10,28,28
Original,22,22
night10,22,22
Original,23,23
night10,23,23
Original,32,32
night10,32,97
Original,22,26
night10,22,9
Original,74,74
night10,74,74
Original,57,57
night10,57,57
Original,31,31
night10,31,31
Original,86,86
night10,86,86
Original,78,78
night10,78,78
Original,53,53
night10,53,53
Original,53,48
night10,53,50
Original,9,4
night10,9,9
Original,49,49
night10,49,49
Original,19,2
night10,19,16
Original,52,52
night10,52,52
Original,50,50
night10,50,50
Original,78,78
night10,78,78
Original,0,0
night10,0,0
Original,10,10
night10,10,10
Original,7,7
night10,7,7
Original,53,55
night10,53,31
Original,55,55
night10,55,57
Original,67,67
night10,67,67
Original,67,67
night10,67,67
Original,86,86
night10,86,86
Original,87,87
night10,87,87
Original,70,70
night10,70,70
Original,76,76
night10,76,76
Original,57,57
night10,57,57
Original,56,56
night10,56,56
Original,52,52
night10,52,52
Original,74,51
night10,74,51
Original,52,52
night10,52,52
Original,74,74
night10,74,74
Original,1,1
night10,1,1
Original,74,74
night10,74,74
Original,27,86
night10,27,86
Original,51,51
night10,51,51
Original,30,30
night10,30,30
Original,23,23
night10,23,23
Original,30,30
night10,30,30
Original,50,50
night10,50,53
Original,32,32
night10,32,32
Original,32,32
night10,32,32
Original,50,50
night10,50,50
Original,30,30
night10,30,30
Original,90,37
night10,90,37
Original,37,37
night10,37,37
Original,90,90
night10,90,90
Original,49,49
night10,49,49
Original,46,46
night10,46,46
Original,12,12
night10,12,12
Original,37,37
night10,37,32
Original,7,7
night10,7,7
Original,29,29
night10,29,29
Original,30,30
night10,30,30
Original,30,30
night10,30,30
Original,50,50
night10,50,50
Original,48,48
night10,48,48
Original,55,55
night10,55,55
Original,2,2
night10,2,2
Original,21,21
night10,21,21
Original,90,90
night10,90,90
Original,55,55
night10,55,55
Original,6,6
night10,6,6
Original,15,15
night10,15,15
Original,48,48
night10,48,48
Original,35,35
night10,35,52
Original,79,79
night10,79,79
Original,32,32
night10,32,32
Original,16,16
night10,16,16
Original,16,16
night10,16,16
Original,53,53
night10,53,53
Original,60,60
night10,60,60
Original,77,77
night10,77,77
Original,52,52
night10,52,52
Original,52,52
night10,52,52
Original,50,50
night10,50,50
Original,15,15
night10,15,15
Original,34,34
night10,34,34
Original,48,48
night10,48,48
Original,50,50
night10,50,50
Original,45,45
night10,45,45
Original,19,19
night10,19,19
Original,15,15
night10,15,15
Original,47,57
night10,47,57
Original,32,32
night10,32,32
Original,52,52
night10,52,52
Original,63,63
night10,63,66
Original,30,30
night10,30,30
Original,41,41
night10,41,41
Original,30,30
night10,30,30
Original,48,48
night10,48,48
Original,60,60
night10,60,60
Original,15,15
night10,15,15
Original,48,48
night10,48,48
Original,51,51
night10,51,51
Original,48,48
night10,48,48
Original,59,59
night10,59,59
Original,31,31
night10,31,30
Original,50,50
night10,50,50
Original,72,72
night10,72,72
Original,32,32
night10,32,32
Original,52,52
night10,52,52
Original,48,48
night10,48,48
Original,32,32
night10,32,32
Original,85,96
night10,85,96
Original,48,48
night10,48,48
Original,57,57
night10,57,57
Original,36,36
night10,36,36
Original,52,52
night10,52,52
Original,66,66
night10,66,66
Original,55,55
night10,55,55
Original,51,51
night10,51,51
Original,7,7
night10,7,7
Original,51,51
night10,51,51
Original,91,91
night10,91,91
Original,58,58
night10,58,58
Original,30,30
night10,30,30
Original,86,86
night10,86,86
Original,90,90
night10,90,90
Original,1,1
night10,1,1
Original,78,78
night10,78,78
Original,99,99
night10,99,99
Original,90,90
night10,90,90
Original,46,46
night10,46,46
Original,86,86
night10,86,36
Original,20,20
night10,20,20
Original,55,55
night10,55,55
Original,36,36
night10,36,36
Original,91,91
night10,91,91
Original,77,77
night10,77,77
Original,46,46
night10,46,46
Original,16,16
night10,16,16
Original,22,22
night10,22,22
Original,28,28
night10,28,28
Original,0,0
night10,0,0
Original,32,32
night10,32,32
Original,21,21
night10,21,21
Original,28,28
night10,28,28
Original,32,32
night10,32,32
Original,46,46
night10,46,46
Original,90,90
night10,90,90
Original,49,49
night10,49,49
Original,48,48
night10,48,48
Original,90,90
night10,90,78
Original,20,20
night10,20,20
Original,78,78
night10,78,78
Original,78,78
night10,78,78
Original,74,74
night10,74,74
Original,28,28
night10,28,28
Original,51,51
night10,51,51
Original,49,49
night10,49,49
Original,30,30
night10,30,30
Original,90,90
night10,90,90
Original,48,48
night10,48,48
Original,90,90
night10,90,90
Original,57,57
night10,57,57
Original,81,81
night10,81,81
Original,102,102
night10,102,102
Original,79,79
night10,79,79
Original,15,15
night10,15,15
Original,45,45
night10,45,45
Original,20,20
night10,20,20
Original,32,50
night10,32,96
Original,52,52
