class,filters,error
72,night3,97.67
46,night3,97.25
28,night3,96.88
51,night3,97.53
31,night3,93.89
45,night3,99.25
23,night3,97.85
0,night3,99.19
74,night3,94.66
86,night3,88.2
67,night3,100.0
57,night3,97.96
20,night3,97.84
22,night3,78.46
30,night3,97.91
55,night3,95.67
82,night3,85.71
96,night3,57.14
53,night3,89.92
90,night3,97.25
63,night3,86.22
83,night3,96.15
48,night3,93.83
78,night3,97.46
66,night3,84.62
13,night3,100.0
50,night3,97.58
21,night3,93.55
42,night3,94.87
36,night3,98.05
16,night3,95.6
97,night3,90.48
65,night3,33.33
52,night3,97.93
77,night3,87.68
34,night3,100.0
43,night3,94.44
87,night3,77.22
15,night3,92.41
70,night3,100.0
24,night3,75.0
32,night3,97.19
88,night3,82.14
29,night3,87.72
68,night3,91.67
7,night3,90.0
41,night3,97.94
92,night3,0.0
71,night3,100.0
60,night3,100.0
12,night3,97.96
27,night3,11.76
19,night3,93.4
61,night3,98.21
37,night3,94.24
79,night3,95.15
3,night3,80.95
17,night3,90.38
93,night3,55.17
58,night3,83.33
10,night3,84.62
100,night3,50.0
81,night3,91.67
39,night3,93.94
49,night3,92.86
80,night3,100.0
75,night3,92.16
33,night3,83.33
6,night3,91.67
56,night3,79.17
91,night3,89.83
11,night3,93.33
40,night3,89.36
14,night3,33.33
2,night3,79.63
73,night3,97.96
44,night3,71.43
76,night3,88.89
98,night3,100.0
25,night3,76.19
47,night3,92.59
1,night3,88.64
38,night3,66.67
95,night3,66.67
62,night3,90.91
5,night3,100.0
59,night3,100.0
85,night3,22.22
102,night3,96.0
69,night3,100.0
101,night3,100.0
35,night3,94.29
4,night3,55.56
89,night3,75.0
26,night3,95.45
64,night3,36.36
84,night3,25.0
99,night3,100.0
54,night3,56.25
9,night3,66.67
18,night3,40.0
94,night3,0.0
8,night3,100.0
