class,filters,error
49,fognight,60.71
78,fognight,26.4
34,fognight,52.38
23,fognight,69.85
31,fognight,52.22
28,fognight,26.95
46,fognight,46.67
45,fognight,62.64
52,fognight,46.28
30,fognight,75.87
90,fognight,47.25
93,fognight,20.69
57,fognight,32.14
41,fognight,69.07
16,fognight,52.01
55,fognight,20.78
15,fognight,39.24
48,fognight,49.69
6,fognight,36.67
66,fognight,8.46
43,fognight,44.44
36,fognight,65.58
39,fognight,39.39
0,fognight,65.85
86,fognight,17.42
59,fognight,18.52
19,fognight,31.13
12,fognight,46.94
50,fognight,49.52
20,fognight,65.37
72,fognight,52.33
21,fognight,41.94
32,fognight,40.17
73,fognight,63.27
75,fognight,45.1
63,fognight,17.33
40,fognight,27.66
74,fognight,41.75
24,fognight,10.0
87,fognight,34.81
51,fognight,47.33
83,fognight,12.82
79,fognight,41.75
44,fognight,57.14
7,fognight,5.0
53,fognight,18.91
37,fognight,22.3
35,fognight,22.86
29,fognight,31.58
70,fognight,44.83
25,fognight,38.1
67,fognight,34.44
77,fognight,35.51
61,fognight,39.29
3,fognight,28.57
68,fognight,52.78
92,fognight,16.67
42,fognight,55.13
60,fognight,22.22
27,fognight,0.0
22,fognight,70.77
2,fognight,37.04
33,fognight,61.11
17,fognight,25.0
76,fognight,11.11
81,fognight,47.22
94,fognight,0.0
26,fognight,45.45
91,fognight,27.12
88,fognight,25.0
1,fognight,56.82
97,fognight,53.97
58,fognight,33.33
82,fognight,0.0
71,fognight,20.83
85,fognight,11.11
47,fognight,3.7
62,fognight,27.27
14,fognight,0.0
54,fognight,6.25
99,fognight,36.84
100,fognight,0.0
18,fognight,20.0
69,fognight,63.64
56,fognight,8.33
10,fognight,61.54
96,fognight,14.29
64,fognight,9.09
5,fognight,28.57
102,fognight,32.0
65,fognight,22.22
11,fognight,24.44
95,fognight,0.0
89,fognight,12.5
13,fognight,25.0
4,fognight,44.44
8,fognight,0.0
98,fognight,0.0
38,fognight,33.33
101,fognight,40.0
9,fognight,0.0
80,fognight,33.33
84,fognight,0.0
