class,filters,error
15,fogsnow,24.05
63,fogsnow,43.11
60,fogsnow,39.68
74,fogsnow,58.74
90,fogsnow,52.27
51,fogsnow,35.8
73,fogsnow,67.35
50,fogsnow,39.86
46,fogsnow,39.22
16,fogsnow,50.55
42,fogsnow,50.0
23,fogsnow,63.08
20,fogsnow,52.38
81,fogsnow,41.67
97,fogsnow,39.68
30,fogsnow,75.64
87,fogsnow,18.35
1,fogsnow,36.36
52,fogsnow,37.19
86,fogsnow,23.03
78,fogsnow,46.7
35,fogsnow,11.43
31,fogsnow,44.44
93,fogsnow,5.17
2,fogsnow,29.63
45,fogsnow,48.68
19,fogsnow,27.36
70,fogsnow,46.55
28,fogsnow,34.38
32,fogsnow,51.4
41,fogsnow,55.67
36,fogsnow,61.04
49,fogsnow,25.0
55,fogsnow,16.88
57,fogsnow,31.12
71,fogsnow,33.33
7,fogsnow,0.0
17,fogsnow,13.46
37,fogsnow,20.14
59,fogsnow,0.0
38,fogsnow,11.11
39,fogsnow,15.15
0,fogsnow,42.28
82,fogsnow,0.0
83,fogsnow,17.95
72,fogsnow,53.49
40,fogsnow,25.53
6,fogsnow,8.33
12,fogsnow,31.63
53,fogsnow,16.81
91,fogsnow,28.81
48,fogsnow,38.27
67,fogsnow,32.22
77,fogsnow,31.88
29,fogsnow,26.32
4,fogsnow,22.22
79,fogsnow,43.69
76,fogsnow,16.67
21,fogsnow,24.73
11,fogsnow,26.67
56,fogsnow,12.5
27,fogsnow,0.0
3,fogsnow,14.29
66,fogsnow,32.31
96,fogsnow,0.0
44,fogsnow,14.29
88,fogsnow,7.14
43,fogsnow,40.74
92,fogsnow,0.0
85,fogsnow,0.0
18,fogsnow,0.0
22,fogsnow,69.23
68,fogsnow,33.33
99,fogsnow,42.11
25,fogsnow,9.52
47,fogsnow,14.81
61,fogsnow,8.93
80,fogsnow,0.0
62,fogsnow,24.24
75,fogsnow,58.82
95,fogsnow,0.0
26,fogsnow,31.82
10,fogsnow,38.46
58,fogsnow,0.0
69,fogsnow,72.73
101,fogsnow,40.0
102,fogsnow,40.0
34,fogsnow,23.81
33,fogsnow,55.56
64,fogsnow,9.09
24,fogsnow,20.0
65,fogsnow,11.11
54,fogsnow,6.25
94,fogsnow,0.0
89,fogsnow,12.5
13,fogsnow,25.0
100,fogsnow,16.67
5,fogsnow,28.57
8,fogsnow,0.0
9,fogsnow,0.0
14,fogsnow,0.0
98,fogsnow,0.0
84,fogsnow,50.0
