filter,class,predicted_class
Original,67,67
snownight,67,67
Original,87,55
snownight,87,66
Original,53,50
snownight,53,53
Original,23,23
snownight,23,23
Original,16,16
snownight,16,16
Original,62,62
snownight,62,59
Original,15,15
snownight,15,15
Original,56,56
snownight,56,48
Original,55,55
snownight,55,55
Original,30,30
snownight,30,30
Original,29,29
snownight,29,29
Original,21,21
snownight,21,21
Original,67,67
snownight,67,67
Original,97,97
snownight,97,97
Original,90,90
snownight,90,90
Original,101,101
snownight,101,100
Original,46,46
snownight,46,31
Original,70,70
snownight,70,70
Original,52,52
snownight,52,52
Original,52,52
snownight,52,55
Original,11,11
snownight,11,10
Original,73,73
snownight,73,73
Original,91,91
snownight,91,91
Original,91,92
snownight,91,91
Original,66,66
snownight,66,66
Original,50,50
snownight,50,50
Original,55,55
snownight,55,55
Original,48,48
snownight,48,48
Original,50,50
snownight,50,50
Original,45,45
snownight,45,45
Original,6,6
snownight,6,6
Original,45,45
snownight,45,66
Original,48,48
snownight,48,48
Original,55,55
snownight,55,55
Original,19,19
snownight,19,19
Original,31,31
snownight,31,31
Original,36,36
snownight,36,36
Original,90,90
snownight,90,90
Original,63,63
snownight,63,46
Original,52,52
snownight,52,52
Original,35,35
snownight,35,35
Original,31,31
snownight,31,31
Original,90,90
snownight,90,28
Original,63,63
snownight,63,63
Original,39,39
snownight,39,39
Original,50,51
snownight,50,50
Original,23,23
snownight,23,23
Original,50,50
snownight,50,50
Original,46,46
snownight,46,46
Original,28,28
snownight,28,28
Original,90,90
snownight,90,90
Original,6,6
snownight,6,6
Original,31,31
snownight,31,31
Original,90,90
snownight,90,90
Original,99,99
snownight,99,99
Original,50,50
snownight,50,50
Original,31,31
snownight,31,31
Original,32,32
snownight,32,32
Original,51,51
snownight,51,51
Original,11,28
snownight,11,21
Original,32,32
snownight,32,32
Original,45,45
snownight,45,45
Original,30,30
snownight,30,30
Original,49,49
snownight,49,49
Original,37,37
snownight,37,37
Original,74,74
snownight,74,31
Original,31,31
snownight,31,31
Original,22,22
snownight,22,22
Original,86,86
snownight,86,86
Original,73,73
snownight,73,73
Original,50,50
snownight,50,50
Original,90,84
snownight,90,84
Original,52,52
snownight,52,52
Original,52,52
snownight,52,52
Original,49,49
snownight,49,60
Original,90,90
snownight,90,48
Original,72,72
snownight,72,72
Original,32,32
snownight,32,32
Original,32,32
snownight,32,89
Original,7,7
snownight,7,1
Original,52,52
snownight,52,52
Original,16,16
snownight,16,16
Original,79,79
snownight,79,79
Original,90,90
snownight,90,90
Original,16,0
snownight,16,16
Original,0,0
snownight,0,0
Original,17,17
snownight,17,17
Original,57,57
snownight,57,57
Original,83,83
snownight,83,83
Original,16,16
snownight,16,16
Original,51,51
snownight,51,51
Original,23,23
snownight,23,23
Original,32,32
snownight,32,32
Original,42,42
snownight,42,42
Original,32,32
snownight,32,32
Original,49,49
snownight,49,49
Original,30,30
snownight,30,30
Original,43,43
snownight,43,43
Original,87,87
snownight,87,86
Original,31,31
snownight,31,31
Original,23,23
snownight,23,23
