class,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42,images
0,95.93,92.68,95.93,82.93,84.55,81.3,74.8,73.98,73.98,78.05,73.17,85.37,93.5,94.31,93.5,91.87,88.62,89.43,123
1,88.64,93.18,88.64,56.82,59.09,77.27,54.55,56.82,63.64,59.09,56.82,52.27,90.91,90.91,93.18,81.82,79.55,84.09,44
2,92.59,90.74,83.33,68.52,61.11,50.0,51.85,55.56,50.0,68.52,61.11,55.56,88.89,87.04,74.07,81.48,79.63,66.67,54
3,57.14,57.14,71.43,33.33,33.33,33.33,28.57,23.81,33.33,47.62,28.57,33.33,52.38,57.14,76.19,57.14,52.38,57.14,21
4,66.67,77.78,55.56,33.33,33.33,44.44,44.44,33.33,22.22,44.44,44.44,22.22,66.67,55.56,44.44,44.44,55.56,66.67,9
5,57.14,57.14,85.71,14.29,28.57,42.86,42.86,28.57,42.86,28.57,42.86,28.57,57.14,57.14,71.43,42.86,42.86,42.86,7
6,88.33,86.67,81.67,58.33,73.33,78.33,60.0,65.0,76.67,56.67,65.0,71.67,86.67,83.33,91.67,76.67,78.33,78.33,60
7,75.0,85.0,85.0,30.0,25.0,32.5,42.5,22.5,25.0,30.0,27.5,42.5,67.5,72.5,60.0,42.5,45.0,45.0,40
8,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,3
9,66.67,33.33,33.33,33.33,33.33,66.67,66.67,0.0,33.33,33.33,0.0,33.33,66.67,33.33,33.33,66.67,33.33,66.67,3
10,84.62,84.62,84.62,76.92,61.54,61.54,69.23,61.54,53.85,53.85,69.23,61.54,84.62,84.62,84.62,84.62,92.31,69.23,13
11,86.67,93.33,84.44,64.44,55.56,57.78,57.78,64.44,55.56,68.89,53.33,62.22,84.44,86.67,86.67,84.44,75.56,82.22,45
12,93.88,93.88,93.88,65.31,67.35,71.43,64.29,72.45,60.2,64.29,62.24,70.41,92.86,92.86,85.71,82.65,82.65,77.55,98
13,100.0,75.0,75.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,75.0,75.0,50.0,25.0,25.0,25.0,4
14,33.33,0.0,33.33,0.0,0.0,33.33,33.33,0.0,0.0,33.33,33.33,0.0,33.33,0.0,33.33,33.33,0.0,0.0,3
15,92.41,86.71,91.77,83.54,70.25,79.11,72.78,65.19,76.58,80.38,68.35,82.28,92.41,89.87,89.24,81.65,82.28,87.34,158
16,92.31,87.55,93.04,84.25,79.12,86.81,78.39,72.53,77.29,83.52,78.75,83.15,93.41,88.64,91.58,88.28,84.62,86.08,273
17,76.92,75.0,69.23,34.62,53.85,61.54,48.08,63.46,53.85,48.08,53.85,55.77,71.15,78.85,71.15,61.54,73.08,67.31,52
18,80.0,60.0,60.0,40.0,0.0,40.0,40.0,0.0,0.0,100.0,20.0,0.0,60.0,60.0,40.0,80.0,80.0,40.0,5
19,91.51,91.51,89.62,74.53,63.21,76.42,63.21,63.21,69.81,75.47,77.36,68.87,87.74,88.68,92.45,80.19,78.3,84.91,106
