class,filters,error
90,snownight,91.75
57,snownight,77.55
46,snownight,90.59
30,snownight,96.29
83,snownight,82.05
77,snownight,76.09
27,snownight,0.0
23,snownight,90.46
63,snownight,76.44
72,snownight,89.53
20,snownight,90.48
78,snownight,90.86
37,snownight,82.73
19,snownight,84.91
36,snownight,96.1
48,snownight,86.11
22,snownight,81.54
32,snownight,86.8
86,snownight,79.78
52,snownight,89.46
60,snownight,79.37
6,snownight,78.33
67,snownight,93.89
71,snownight,95.83
28,snownight,83.59
74,snownight,81.55
50,snownight,81.16
55,snownight,82.25
99,snownight,94.74
0,snownight,89.43
53,snownight,68.49
43,snownight,74.07
21,snownight,72.04
39,snownight,66.67
29,snownight,59.65
51,snownight,75.72
12,snownight,77.55
91,snownight,84.75
11,snownight,82.22
64,snownight,27.27
15,snownight,87.34
42,snownight,87.18
79,snownight,85.44
31,snownight,92.78
17,snownight,67.31
81,snownight,83.33
97,snownight,71.43
41,snownight,93.81
16,snownight,86.08
47,snownight,55.56
2,snownight,66.67
40,snownight,85.11
49,snownight,91.07
70,snownight,96.55
85,snownight,0.0
87,snownight,67.72
62,snownight,72.73
24,snownight,50.0
56,snownight,54.17
93,snownight,37.93
7,snownight,45.0
75,snownight,90.2
66,snownight,66.15
45,snownight,93.58
59,snownight,85.19
25,snownight,66.67
3,snownight,57.14
34,snownight,95.24
26,snownight,77.27
73,snownight,93.88
88,snownight,42.86
35,snownight,71.43
1,snownight,84.09
61,snownight,85.71
92,snownight,0.0
84,snownight,25.0
58,snownight,50.0
4,snownight,66.67
10,snownight,69.23
101,snownight,100.0
102,snownight,92.0
68,snownight,86.11
54,snownight,31.25
76,snownight,66.67
33,snownight,83.33
18,snownight,40.0
9,snownight,66.67
5,snownight,42.86
38,snownight,66.67
8,snownight,0.0
80,snownight,66.67
44,snownight,57.14
100,snownight,50.0
14,snownight,0.0
96,snownight,0.0
65,snownight,33.33
69,snownight,81.82
82,snownight,71.43
13,snownight,25.0
94,snownight,0.0
89,snownight,62.5
98,snownight,33.33
95,snownight,0.0
