class,filters,error
86,fog2,53.93
53,fog2,52.94
48,fog2,81.48
87,fog2,51.9
16,fog2,84.62
51,fog2,71.19
50,fog2,78.99
1,fog2,88.64
36,fog2,91.56
74,fog2,90.29
0,fog2,78.86
78,fog2,82.74
13,fog2,50.0
60,fog2,58.73
32,fog2,88.76
90,fog2,89.48
6,fog2,63.33
93,fog2,60.34
28,fog2,78.52
66,fog2,70.77
77,fog2,76.09
27,fog2,17.65
67,fog2,81.11
57,fog2,69.9
45,fog2,87.92
7,fog2,32.5
23,fog2,89.85
97,fog2,80.95
61,fog2,83.93
21,fog2,75.27
63,fog2,80.89
30,fog2,96.29
19,fog2,66.04
31,fog2,87.78
59,fog2,88.89
55,fog2,71.86
4,fog2,88.89
52,fog2,80.58
22,fog2,81.54
42,fog2,87.18
46,fog2,78.82
11,fog2,73.33
37,fog2,84.17
62,fog2,69.7
20,fog2,87.01
99,fog2,78.95
75,fog2,82.35
12,fog2,76.53
41,fog2,95.88
40,fog2,76.6
39,fog2,66.67
70,fog2,98.28
49,fog2,78.57
72,fog2,91.86
15,fog2,76.58
91,fog2,79.66
17,fog2,59.62
43,fog2,79.63
73,fog2,91.84
83,fog2,74.36
89,fog2,50.0
2,fog2,70.37
79,fog2,85.44
35,fog2,57.14
54,fog2,18.75
8,fog2,0.0
25,fog2,71.43
47,fog2,59.26
29,fog2,56.14
82,fog2,57.14
24,fog2,40.0
69,fog2,72.73
88,fog2,60.71
44,fog2,85.71
56,fog2,33.33
33,fog2,83.33
76,fog2,55.56
26,fog2,86.36
34,fog2,95.24
92,fog2,50.0
95,fog2,0.0
96,fog2,28.57
101,fog2,100.0
10,fog2,84.62
102,fog2,88.0
71,fog2,87.5
58,fog2,25.0
81,fog2,86.11
68,fog2,77.78
5,fog2,71.43
3,fog2,66.67
85,fog2,11.11
94,fog2,0.0
64,fog2,18.18
100,fog2,66.67
84,fog2,0.0
98,fog2,33.33
65,fog2,0.0
9,fog2,66.67
18,fog2,60.0
38,fog2,55.56
80,fog2,66.67
14,fog2,0.0
