filter,class,predicted_class
Original,28,28
snow10,28,28
Original,90,90
snow10,90,90
Original,83,83
snow10,83,83
Original,52,52
snow10,52,52
Original,74,74
snow10,74,78
Original,22,22
snow10,22,22
Original,46,46
snow10,46,46
Original,63,63
snow10,63,51
Original,45,45
snow10,45,45
Original,42,42
snow10,42,42
Original,52,52
snow10,52,52
Original,55,55
snow10,55,55
Original,86,86
snow10,86,86
Original,16,16
snow10,16,16
Original,90,90
snow10,90,90
Original,30,30
snow10,30,30
Original,72,72
snow10,72,72
Original,55,55
snow10,55,55
Original,39,52
snow10,39,31
Original,32,32
snow10,32,32
Original,16,16
snow10,16,16
Original,20,20
snow10,20,20
Original,51,51
snow10,51,51
Original,55,55
snow10,55,46
Original,48,48
snow10,48,48
Original,87,87
snow10,87,87
Original,16,16
snow10,16,16
Original,52,52
snow10,52,48
Original,32,32
snow10,32,32
Original,90,90
snow10,90,90
Original,60,60
snow10,60,60
Original,48,48
snow10,48,48
Original,41,41
snow10,41,41
Original,90,90
snow10,90,90
Original,15,15
snow10,15,15
Original,74,74
snow10,74,74
Original,102,102
snow10,102,102
Original,69,69
snow10,69,69
Original,48,48
snow10,48,43
Original,86,86
snow10,86,86
Original,90,90
snow10,90,90
Original,48,48
snow10,48,48
Original,48,48
snow10,48,48
Original,34,34
snow10,34,34
Original,91,91
snow10,91,91
Original,20,20
snow10,20,20
Original,53,53
snow10,53,53
Original,40,57
snow10,40,40
Original,12,12
snow10,12,12
Original,73,73
snow10,73,73
Original,90,90
snow10,90,90
Original,52,52
snow10,52,52
Original,63,63
snow10,63,63
Original,22,7
snow10,22,17
Original,1,1
snow10,1,12
Original,74,74
snow10,74,74
Original,50,50
snow10,50,50
Original,52,52
snow10,52,52
Original,30,30
snow10,30,30
Original,16,16
snow10,16,16
Original,97,68
snow10,97,68
Original,15,15
snow10,15,15
Original,51,51
snow10,51,51
Original,19,19
snow10,19,19
Original,56,56
snow10,56,34
Original,57,57
snow10,57,57
Original,32,32
snow10,32,32
Original,67,67
snow10,67,67
Original,32,32
snow10,32,32
Original,90,90
snow10,90,90
Original,36,36
snow10,36,36
Original,20,60
snow10,20,50
Original,53,53
snow10,53,53
Original,43,43
snow10,43,43
Original,83,83
snow10,83,83
Original,16,16
snow10,16,16
Original,52,52
snow10,52,52
Original,16,16
snow10,16,16
Original,90,90
snow10,90,90
Original,32,32
snow10,32,32
Original,50,50
snow10,50,50
Original,50,50
snow10,50,50
Original,90,90
snow10,90,90
Original,57,57
snow10,57,57
Original,31,31
snow10,31,31
Original,52,52
snow10,52,52
Original,23,23
snow10,23,23
Original,30,30
snow10,30,30
Original,45,45
snow10,45,45
Original,91,91
snow10,91,91
Original,49,49
snow10,49,49
Original,55,55
snow10,55,55
Original,67,67
snow10,67,67
Original,30,30
snow10,30,30
Original,48,48
snow10,48,48
Original,93,27
snow10,93,63
Original,70,70
snow10,70,70
Original,90,90
snow10,90,90
Original,20,20
snow10,20,20
Original,53,53
snow10,53,48
Original,74,74
snow10,74,74
Original,28,28
snow10,28,28
Original,50,50
snow10,50,57
Original,55,55
snow10,55,57
Original,48,48
snow10,48,48
Original,20,20
snow10,20,20
Original,32,32
snow10,32,32
Original,0,0
snow10,0,0
Original,50,50
snow10,50,50
Original,91,91
snow10,91,91
Original,87,87
snow10,87,87
Original,53,50
snow10,53,48
Original,23,23
snow10,23,23
Original,93,74
snow10,93,61
Original,63,63
snow10,63,63
Original,23,23
snow10,23,23
Original,67,67
snow10,67,83
Original,90,90
snow10,90,90
Original,83,83
snow10,83,83
Original,30,30
snow10,30,30
Original,90,90
snow10,90,90
Original,48,48
snow10,48,48
Original,52,52
snow10,52,52
Original,30,30
snow10,30,30
Original,93,93
snow10,93,87
Original,32,32
snow10,32,32
Original,23,23
snow10,23,23
Original,61,61
snow10,61,61
Original,32,32
snow10,32,32
Original,10,10
snow10,10,10
Original,6,6
snow10,6,16
Original,30,30
snow10,30,30
Original,50,50
snow10,50,50
Original,52,52
snow10,52,52
Original,45,45
snow10,45,45
Original,51,51
snow10,51,51
Original,87,87
snow10,87,87
Original,90,90
snow10,90,90
Original,46,46
snow10,46,46
Original,32,32
snow10,32,32
Original,45,45
snow10,45,45
Original,36,36
snow10,36,36
Original,5,5
snow10,5,26
Original,90,90
snow10,90,90
Original,17,28
snow10,17,28
Original,28,28
snow10,28,28
Original,12,12
snow10,12,12
Original,45,45
snow10,45,45
Original,37,37
snow10,37,37
Original,75,75
snow10,75,75
Original,4,4
snow10,4,11
Original,12,12
snow10,12,12
Original,28,28
snow10,28,28
Original,38,37
snow10,38,38
Original,55,55
snow10,55,55
Original,90,90
snow10,90,90
Original,46,46
snow10,46,46
Original,2,2
snow10,2,2
Original,57,57
snow10,57,57
Original,63,63
snow10,63,63
Original,63,63
snow10,63,63
Original,30,30
snow10,30,30
Original,78,78
snow10,78,78
Original,90,90
snow10,90,90
Original,31,31
snow10,31,31
Original,29,29
snow10,29,29
Original,52,52
snow10,52,48
Original,70,70
snow10,70,70
Original,6,6
snow10,6,6
Original,52,52
snow10,52,52
Original,75,67
snow10,75,67
Original,52,52
snow10,52,52
Original,30,30
snow10,30,30
Original,90,90
snow10,90,90
Original,74,74
snow10,74,74
Original,50,50
snow10,50,50
Original,52,52
snow10,52,48
Original,67,67
snow10,67,67
Original,79,79
snow10,79,79
Original,31,31
snow10,31,31
Original,77,90
snow10,77,90
Original,16,29
snow10,16,29
Original,20,20
snow10,20,20
Original,23,23
snow10,23,23
Original,90,90
snow10,90,90
Original,74,74
snow10,74,74
Original,52,52
snow10,52,52
Original,55,55
snow10,55,55
Original,52,55
snow10,52,53
Original,32,32
snow10,32,32
Original,42,42
snow10,42,42
Original,48,48
snow10,48,48
Original,52,52
snow10,52,52
Original,28,28
snow10,28,28
Original,46,46
snow10,46,46
Original,90,90
snow10,90,90
Original,52,52
snow10,52,52
Original,52,52
snow10,52,52
Original,70,70
snow10,70,70
Original,55,55
snow10,55,55
Original,16,16
snow10,16,16
Original,30,30
snow10,30,30
Original,90,90
snow10,90,90
Original,53,53
snow10,53,50
Original,90,90
snow10,90,90
Original,45,45
snow10,45,45
Original,16,16
snow10,16,16
Original,52,52
snow10,52,52
Original,49,49
snow10,49,49
Original,52,52
snow10,52,52
Original,16,16
snow10,16,16
Original,45,45
snow10,45,45
Original,30,30
snow10,30,30
Original,57,57
snow10,57,57
Original,0,0
snow10,0,0
Original,50,50
snow10,50,48
Original,21,21
snow10,21,21
Original,52,52
snow10,52,52
Original,77,77
snow10,77,77
Original,20,20
snow10,20,20
Original,45,45
snow10,45,45
Original,90,90
snow10,90,90
Original,46,46
snow10,46,46
Original,50,50
snow10,50,53
Original,19,19
snow10,19,19
Original,36,36
snow10,36,36
Original,67,67
snow10,67,67
Original,62,62
snow10,62,62
Original,52,52
snow10,52,52
Original,72,72
snow10,72,72
Original,55,55
snow10,55,55
Original,22,22
snow10,22,22
Original,21,21
snow10,21,21
Original,66,63
snow10,66,63
Original,55,55
snow10,55,57
Original,32,32
snow10,32,32
Original,48,48
snow10,48,50
Original,15,15
snow10,15,15
Original,97,97
snow10,97,97
Original,45,45
snow10,45,45
Original,55,55
snow10,55,55
Original,28,28
snow10,28,28
Original,53,53
snow10,53,53
Original,45,45
snow10,45,45
Original,28,28
snow10,28,28
Original,50,50
snow10,50,50
Original,36,36
snow10,36,36
Original,56,56
snow10,56,56
Original,31,31
snow10,31,31
Original,53,53
snow10,53,53
Original,90,90
snow10,90,90
Original,63,63
snow10,63,93
Original,16,16
snow10,16,16
Original,72,72
snow10,72,72
Original,71,71
snow10,71,71
Original,25,25
snow10,25,25
Original,90,90
snow10,90,90
Original,23,23
snow10,23,23
Original,21,21
snow10,21,21
Original,28,28
snow10,28,23
Original,20,20
snow10,20,20
Original,28,23
snow10,28,28
Original,16,16
snow10,16,16
Original,57,57
snow10,57,52
