class,filters,error
35,rainnight,85.71
32,rainnight,92.98
34,rainnight,100.0
67,rainnight,95.0
6,rainnight,90.0
2,rainnight,88.89
0,rainnight,95.12
55,rainnight,90.91
52,rainnight,96.07
46,rainnight,93.73
87,rainnight,82.91
65,rainnight,33.33
30,rainnight,99.07
1,rainnight,88.64
90,rainnight,94.01
16,rainnight,89.01
78,rainnight,96.45
45,rainnight,96.98
43,rainnight,92.59
79,rainnight,91.26
39,rainnight,93.94
77,rainnight,84.06
60,rainnight,87.3
19,rainnight,86.79
15,rainnight,92.41
63,rainnight,76.89
23,rainnight,96.0
48,rainnight,92.9
20,rainnight,94.37
57,rainnight,92.35
21,rainnight,84.95
50,rainnight,90.34
96,rainnight,57.14
28,rainnight,92.19
97,rainnight,71.43
37,rainnight,91.37
93,rainnight,43.1
40,rainnight,80.85
74,rainnight,87.86
53,rainnight,78.57
66,rainnight,76.92
70,rainnight,100.0
42,rainnight,96.15
12,rainnight,93.88
54,rainnight,43.75
51,rainnight,92.59
68,rainnight,97.22
36,rainnight,96.75
81,rainnight,94.44
71,rainnight,100.0
31,rainnight,93.33
38,rainnight,100.0
73,rainnight,93.88
41,rainnight,94.85
86,rainnight,84.27
47,rainnight,81.48
7,rainnight,65.0
26,rainnight,81.82
99,rainnight,100.0
61,rainnight,94.64
29,rainnight,85.96
44,rainnight,71.43
91,rainnight,84.75
88,rainnight,50.0
72,rainnight,96.51
92,rainnight,16.67
22,rainnight,84.62
62,rainnight,87.88
17,rainnight,82.69
59,rainnight,96.3
24,rainnight,70.0
13,rainnight,75.0
9,rainnight,100.0
75,rainnight,90.2
83,rainnight,88.46
89,rainnight,87.5
4,rainnight,77.78
94,rainnight,0.0
33,rainnight,83.33
27,rainnight,11.76
18,rainnight,20.0
69,rainnight,72.73
5,rainnight,85.71
11,rainnight,86.67
95,rainnight,0.0
82,rainnight,85.71
49,rainnight,94.64
76,rainnight,72.22
25,rainnight,80.95
56,rainnight,37.5
14,rainnight,0.0
101,rainnight,0.0
84,rainnight,0.0
64,rainnight,27.27
3,rainnight,66.67
102,rainnight,96.0
85,rainnight,33.33
10,rainnight,84.62
58,rainnight,91.67
8,rainnight,100.0
98,rainnight,100.0
100,rainnight,100.0
80,rainnight,100.0
