class,filters,error
41,fograin,81.44
21,fograin,72.04
79,fograin,80.58
16,fograin,82.05
32,fograin,91.29
61,fograin,58.93
53,fograin,65.97
35,fograin,65.71
30,fograin,95.82
90,fograin,90.61
12,fograin,69.39
57,fograin,70.41
52,fograin,85.54
50,fograin,74.64
87,fograin,67.72
6,fograin,61.67
63,fograin,81.33
67,fograin,92.78
45,fograin,89.43
43,fograin,77.78
51,fograin,72.02
78,fograin,94.92
93,fograin,31.03
91,fograin,71.19
59,fograin,51.85
28,fograin,76.56
46,fograin,91.37
86,fograin,78.09
56,fograin,29.17
74,fograin,83.5
20,fograin,85.71
34,fograin,85.71
17,fograin,51.92
83,fograin,80.77
31,fograin,86.67
99,fograin,78.95
36,fograin,92.86
48,fograin,82.72
73,fograin,87.76
0,fograin,85.37
70,fograin,94.83
15,fograin,79.75
55,fograin,72.29
77,fograin,76.81
2,fograin,59.26
66,fograin,70.77
40,fograin,65.96
23,fograin,87.08
47,fograin,29.63
37,fograin,72.66
58,fograin,50.0
29,fograin,57.89
38,fograin,77.78
19,fograin,74.53
71,fograin,70.83
72,fograin,88.37
88,fograin,57.14
3,fograin,42.86
42,fograin,80.77
1,fograin,63.64
25,fograin,52.38
60,fograin,68.25
22,fograin,76.92
75,fograin,82.35
85,fograin,0.0
96,fograin,0.0
102,fograin,84.0
26,fograin,68.18
68,fograin,72.22
24,fograin,40.0
62,fograin,57.58
97,fograin,61.9
49,fograin,69.64
39,fograin,78.79
65,fograin,33.33
81,fograin,69.44
10,fograin,69.23
11,fograin,66.67
82,fograin,85.71
92,fograin,0.0
76,fograin,44.44
69,fograin,63.64
5,fograin,42.86
89,fograin,25.0
27,fograin,5.88
14,fograin,0.0
80,fograin,66.67
100,fograin,16.67
54,fograin,12.5
7,fograin,47.5
4,fograin,33.33
64,fograin,9.09
44,fograin,57.14
33,fograin,77.78
84,fograin,0.0
13,fograin,25.0
18,fograin,0.0
94,fograin,33.33
98,fograin,33.33
9,fograin,33.33
101,fograin,80.0
8,fograin,0.0
95,fograin,0.0
