class,filters,error
21,fogsnow,53.76
52,fogsnow,70.66
57,fogsnow,56.12
48,fogsnow,64.81
83,fogsnow,71.79
76,fogsnow,44.44
17,fogsnow,38.46
31,fogsnow,70.56
90,fogsnow,86.57
45,fogsnow,84.91
87,fogsnow,34.81
77,fogsnow,57.97
16,fogsnow,73.63
41,fogsnow,80.41
30,fogsnow,88.4
67,fogsnow,81.67
63,fogsnow,76.44
4,fogsnow,0.0
32,fogsnow,82.02
37,fogsnow,44.6
23,fogsnow,78.46
51,fogsnow,53.5
71,fogsnow,66.67
42,fogsnow,71.79
36,fogsnow,88.96
73,fogsnow,69.39
79,fogsnow,64.08
49,fogsnow,48.21
74,fogsnow,69.42
15,fogsnow,60.13
91,fogsnow,47.46
46,fogsnow,72.16
39,fogsnow,45.45
50,fogsnow,59.42
55,fogsnow,45.02
0,fogsnow,65.04
34,fogsnow,71.43
66,fogsnow,57.69
86,fogsnow,78.65
43,fogsnow,64.81
78,fogsnow,68.53
53,fogsnow,33.19
20,fogsnow,71.43
100,fogsnow,0.0
47,fogsnow,37.04
93,fogsnow,8.62
99,fogsnow,52.63
70,fogsnow,62.07
19,fogsnow,53.77
12,fogsnow,43.88
72,fogsnow,79.07
10,fogsnow,38.46
2,fogsnow,50.0
54,fogsnow,6.25
28,fogsnow,65.62
75,fogsnow,76.47
81,fogsnow,66.67
8,fogsnow,0.0
58,fogsnow,8.33
27,fogsnow,0.0
61,fogsnow,60.71
97,fogsnow,46.03
59,fogsnow,37.04
60,fogsnow,57.14
11,fogsnow,26.67
44,fogsnow,42.86
29,fogsnow,28.07
35,fogsnow,28.57
22,fogsnow,72.31
7,fogsnow,25.0
26,fogsnow,59.09
40,fogsnow,53.19
33,fogsnow,61.11
82,fogsnow,28.57
1,fogsnow,38.64
6,fogsnow,33.33
3,fogsnow,19.05
56,fogsnow,12.5
88,fogsnow,39.29
68,fogsnow,30.56
24,fogsnow,30.0
13,fogsnow,25.0
65,fogsnow,11.11
18,fogsnow,40.0
64,fogsnow,27.27
84,fogsnow,25.0
62,fogsnow,39.39
94,fogsnow,33.33
98,fogsnow,0.0
102,fogsnow,48.0
92,fogsnow,16.67
89,fogsnow,12.5
85,fogsnow,0.0
69,fogsnow,54.55
25,fogsnow,28.57
5,fogsnow,42.86
9,fogsnow,33.33
101,fogsnow,40.0
38,fogsnow,44.44
14,fogsnow,0.0
96,fogsnow,28.57
95,fogsnow,0.0
80,fogsnow,33.33
