filter,class,predicted_class
Original,86,86
snownight,86,86
Original,23,23
snownight,23,23
Original,43,43
snownight,43,43
Original,30,30
snownight,30,30
Original,53,53
snownight,53,53
Original,90,90
snownight,90,97
Original,66,66
snownight,66,66
Original,76,76
snownight,76,76
Original,78,78
snownight,78,63
Original,52,52
snownight,52,52
Original,21,20
snownight,21,20
Original,37,37
snownight,37,37
Original,78,78
snownight,78,78
Original,72,72
snownight,72,72
Original,19,19
snownight,19,29
Original,26,29
snownight,26,19
Original,52,52
snownight,52,52
Original,53,53
snownight,53,57
Original,66,37
snownight,66,63
Original,41,41
snownight,41,41
Original,37,37
snownight,37,37
Original,90,90
snownight,90,90
Original,2,2
snownight,2,2
Original,51,51
snownight,51,51
Original,35,35
snownight,35,35
Original,10,21
snownight,10,90
Original,63,63
snownight,63,66
Original,36,36
snownight,36,36
Original,79,79
snownight,79,79
Original,52,52
snownight,52,52
Original,40,40
snownight,40,40
Original,97,97
snownight,97,97
Original,63,63
snownight,63,63
Original,32,32
snownight,32,32
Original,72,72
snownight,72,72
Original,68,68
snownight,68,68
Original,32,32
snownight,32,32
Original,53,53
snownight,53,52
Original,15,15
snownight,15,15
Original,53,55
snownight,53,55
Original,53,53
snownight,53,50
Original,0,0
snownight,0,60
Original,52,52
snownight,52,52
Original,36,36
snownight,36,36
Original,5,5
snownight,5,5
Original,30,30
snownight,30,30
Original,52,52
snownight,52,30
Original,55,55
snownight,55,55
Original,55,55
snownight,55,55
Original,74,74
snownight,74,74
Original,0,0
snownight,0,0
Original,42,42
snownight,42,42
Original,61,61
snownight,61,61
Original,55,55
snownight,55,57
Original,6,6
snownight,6,6
Original,47,47
snownight,47,47
Original,61,61
snownight,61,61
Original,90,90
snownight,90,90
Original,42,42
snownight,42,42
Original,91,95
snownight,91,93
Original,90,90
snownight,90,90
Original,28,28
snownight,28,28
Original,87,87
snownight,87,87
Original,28,28
snownight,28,28
Original,78,78
snownight,78,78
Original,90,90
snownight,90,90
Original,46,46
snownight,46,46
Original,55,55
snownight,55,55
Original,51,51
snownight,51,51
Original,73,73
snownight,73,73
Original,90,90
snownight,90,90
Original,44,51
snownight,44,31
Original,90,90
snownight,90,90
Original,74,74
snownight,74,74
Original,23,23
snownight,23,23
Original,77,31
snownight,77,90
Original,36,36
snownight,36,36
Original,48,48
snownight,48,48
Original,30,30
snownight,30,30
Original,87,87
snownight,87,50
Original,46,46
snownight,46,46
Original,90,90
snownight,90,90
Original,30,30
snownight,30,30
Original,37,37
snownight,37,37
Original,67,67
snownight,67,67
Original,87,87
snownight,87,87
Original,90,90
snownight,90,90
Original,12,12
snownight,12,12
Original,28,28
snownight,28,28
Original,52,52
snownight,52,52
Original,20,20
snownight,20,20
Original,16,16
snownight,16,16
Original,1,1
snownight,1,1
Original,78,78
snownight,78,78
Original,30,30
snownight,30,30
Original,90,90
snownight,90,90
Original,90,90
snownight,90,90
Original,52,52
snownight,52,52
Original,24,24
snownight,24,24
Original,51,51
snownight,51,51
Original,48,48
snownight,48,48
Original,57,57
snownight,57,51
Original,51,51
snownight,51,51
Original,32,32
snownight,32,32
Original,99,99
snownight,99,99
Original,21,21
snownight,21,21
Original,36,36
snownight,36,36
Original,20,20
snownight,20,20
Original,90,90
snownight,90,90
Original,23,23
snownight,23,7
Original,20,20
snownight,20,20
Original,83,83
snownight,83,83
Original,32,32
snownight,32,60
Original,32,32
snownight,32,23
Original,57,57
snownight,57,57
Original,50,50
snownight,50,50
Original,73,73
snownight,73,73
Original,29,29
snownight,29,23
Original,47,47
snownight,47,47
Original,70,70
snownight,70,70
Original,53,31
snownight,53,31
Original,32,96
snownight,32,30
Original,68,68
snownight,68,68
Original,90,90
snownight,90,90
Original,71,71
snownight,71,71
Original,15,15
snownight,15,15
Original,67,67
snownight,67,67
Original,90,90
snownight,90,90
Original,60,60
snownight,60,52
Original,86,86
snownight,86,86
Original,87,87
snownight,87,87
Original,23,23
snownight,23,23
Original,53,53
snownight,53,53
Original,46,46
snownight,46,46
Original,65,65
snownight,65,68
Original,56,56
snownight,56,56
Original,2,2
snownight,2,2
Original,17,17
snownight,17,17
Original,51,51
snownight,51,51
Original,66,66
snownight,66,66
Original,2,2
snownight,2,1
Original,48,48
snownight,48,48
Original,41,41
snownight,41,41
Original,53,53
snownight,53,53
Original,45,45
snownight,45,45
Original,90,90
snownight,90,90
Original,57,57
snownight,57,55
Original,50,50
snownight,50,50
Original,60,60
snownight,60,60
Original,36,36
snownight,36,36
Original,66,66
snownight,66,66
Original,49,49
snownight,49,49
Original,16,16
snownight,16,16
Original,37,37
snownight,37,37
Original,46,46
snownight,46,46
Original,90,90
snownight,90,90
Original,90,90
snownight,90,90
Original,6,28
snownight,6,6
Original,46,46
snownight,46,46
Original,19,19
snownight,19,20
Original,35,35
snownight,35,35
Original,46,46
snownight,46,46
Original,23,23
snownight,23,23
Original,90,90
snownight,90,90
Original,52,52
snownight,52,52
Original,74,74
snownight,74,74
Original,28,28
snownight,28,16
Original,0,0
snownight,0,0
Original,48,48
snownight,48,50
Original,90,90
snownight,90,90
Original,31,31
snownight,31,31
Original,59,59
snownight,59,59
Original,70,70
snownight,70,70
Original,90,90
snownight,90,90
Original,51,51
