class,filters,error
48,rainnight,87.96
72,rainnight,90.7
28,rainnight,92.97
16,rainnight,90.11
50,rainnight,91.06
53,rainnight,83.19
87,rainnight,67.09
67,rainnight,97.78
92,rainnight,16.67
20,rainnight,97.84
42,rainnight,93.59
63,rainnight,85.33
32,rainnight,95.79
6,rainnight,90.0
1,rainnight,86.36
17,rainnight,69.23
74,rainnight,92.72
47,rainnight,74.07
78,rainnight,97.97
31,rainnight,93.33
23,rainnight,95.38
0,rainnight,97.56
37,rainnight,93.53
90,rainnight,95.31
52,rainnight,95.25
43,rainnight,90.74
77,rainnight,86.23
97,rainnight,71.43
49,rainnight,89.29
33,rainnight,83.33
3,rainnight,57.14
75,rainnight,94.12
41,rainnight,91.75
85,rainnight,11.11
19,rainnight,87.74
79,rainnight,97.09
46,rainnight,94.9
83,rainnight,92.31
59,rainnight,96.3
60,rainnight,92.06
36,rainnight,100.0
57,rainnight,89.29
51,rainnight,94.24
102,rainnight,96.0
15,rainnight,89.87
55,rainnight,94.37
66,rainnight,75.38
89,rainnight,50.0
30,rainnight,97.22
70,rainnight,98.28
11,rainnight,93.33
22,rainnight,81.54
12,rainnight,91.84
86,rainnight,90.45
21,rainnight,93.55
91,rainnight,88.14
58,rainnight,66.67
81,rainnight,86.11
2,rainnight,83.33
29,rainnight,77.19
73,rainnight,93.88
7,rainnight,75.0
34,rainnight,100.0
8,rainnight,33.33
56,rainnight,62.5
45,rainnight,97.74
84,rainnight,0.0
54,rainnight,37.5
93,rainnight,56.9
39,rainnight,87.88
61,rainnight,92.86
68,rainnight,91.67
99,rainnight,89.47
38,rainnight,100.0
96,rainnight,0.0
18,rainnight,20.0
62,rainnight,78.79
100,rainnight,16.67
35,rainnight,77.14
10,rainnight,84.62
76,rainnight,83.33
27,rainnight,5.88
69,rainnight,72.73
82,rainnight,100.0
71,rainnight,100.0
44,rainnight,57.14
88,rainnight,82.14
4,rainnight,66.67
26,rainnight,86.36
40,rainnight,82.98
25,rainnight,80.95
65,rainnight,55.56
5,rainnight,71.43
80,rainnight,100.0
24,rainnight,75.0
13,rainnight,50.0
94,rainnight,0.0
14,rainnight,33.33
9,rainnight,33.33
64,rainnight,54.55
98,rainnight,33.33
101,rainnight,100.0
95,rainnight,33.33
