class,filters,error
45,Original,99.62
28,Original,96.09
46,Original,97.65
32,Original,96.91
48,Original,92.59
83,Original,94.87
20,Original,96.97
79,Original,93.2
77,Original,84.06
90,Original,98.06
15,Original,90.51
12,Original,90.82
52,Original,96.07
78,Original,97.97
35,Original,91.43
43,Original,88.89
53,Original,88.66
16,Original,91.94
66,Original,81.54
31,Original,94.44
55,Original,93.94
63,Original,96.89
30,Original,97.68
86,Original,94.38
57,Original,93.37
37,Original,95.68
87,Original,93.67
101,Original,100.0
42,Original,94.87
51,Original,93.83
23,Original,95.69
67,Original,99.44
36,Original,98.7
21,Original,94.62
6,Original,90.0
61,Original,96.43
74,Original,97.57
29,Original,80.7
91,Original,91.53
50,Original,94.69
93,Original,51.72
70,Original,98.28
59,Original,100.0
1,Original,86.36
0,Original,96.75
18,Original,0.0
17,Original,73.08
72,Original,95.35
7,Original,82.5
22,Original,78.46
19,Original,90.57
49,Original,92.86
68,Original,86.11
47,Original,81.48
65,Original,55.56
97,Original,87.3
2,Original,87.04
44,Original,57.14
41,Original,91.75
26,Original,90.91
99,Original,84.21
88,Original,78.57
60,Original,98.41
102,Original,96.0
25,Original,76.19
34,Original,100.0
75,Original,84.31
73,Original,93.88
24,Original,85.0
40,Original,87.23
76,Original,83.33
11,Original,91.11
62,Original,93.94
82,Original,100.0
3,Original,61.9
56,Original,83.33
71,Original,95.83
27,Original,0.0
85,Original,55.56
89,Original,62.5
39,Original,78.79
54,Original,56.25
33,Original,83.33
81,Original,83.33
92,Original,8.33
10,Original,92.31
96,Original,0.0
98,Original,66.67
64,Original,36.36
58,Original,100.0
80,Original,100.0
84,Original,0.0
69,Original,72.73
4,Original,55.56
38,Original,66.67
5,Original,85.71
100,Original,50.0
94,Original,0.0
8,Original,66.67
13,Original,50.0
14,Original,33.33
9,Original,66.67
95,Original,0.0
