class,filters,error
28,fog2,67.58
86,fog2,74.72
49,fog2,46.43
80,fog2,0.0
74,fog2,77.67
50,fog2,57.0
30,fog2,84.92
77,fog2,63.77
83,fog2,62.82
32,fog2,89.33
19,fog2,21.7
37,fog2,74.82
90,fog2,95.15
31,fog2,80.56
97,fog2,47.62
51,fog2,43.62
59,fog2,33.33
66,fog2,65.38
16,fog2,70.33
12,fog2,31.63
48,fog2,76.85
93,fog2,25.86
15,fog2,45.57
35,fog2,42.86
4,fog2,11.11
0,fog2,65.04
99,fog2,26.32
45,fog2,64.15
67,fog2,67.22
79,fog2,66.99
20,fog2,67.97
1,fog2,18.18
88,fog2,39.29
36,fog2,70.78
78,fog2,61.93
46,fog2,40.39
91,fog2,71.19
53,fog2,40.76
17,fog2,48.08
73,fog2,87.76
52,fog2,69.21
63,fog2,83.56
47,fog2,29.63
55,fog2,41.99
72,fog2,75.58
22,fog2,63.08
41,fog2,70.1
87,fog2,30.38
39,fog2,36.36
68,fog2,55.56
23,fog2,81.85
6,fog2,31.67
7,fog2,10.0
57,fog2,54.08
61,fog2,21.43
42,fog2,66.67
10,fog2,15.38
26,fog2,40.91
60,fog2,41.27
62,fog2,39.39
56,fog2,29.17
33,fog2,22.22
25,fog2,23.81
65,fog2,0.0
29,fog2,3.51
11,fog2,28.89
43,fog2,59.26
3,fog2,19.05
64,fog2,9.09
75,fog2,66.67
21,fog2,31.18
34,fog2,71.43
70,fog2,70.69
40,fog2,40.43
85,fog2,0.0
101,fog2,100.0
54,fog2,25.0
24,fog2,5.0
58,fog2,16.67
2,fog2,24.07
102,fog2,28.0
27,fog2,0.0
71,fog2,41.67
18,fog2,0.0
92,fog2,16.67
5,fog2,14.29
95,fog2,33.33
76,fog2,33.33
81,fog2,44.44
38,fog2,33.33
94,fog2,0.0
100,fog2,0.0
96,fog2,0.0
84,fog2,0.0
69,fog2,36.36
44,fog2,42.86
13,fog2,25.0
82,fog2,42.86
9,fog2,0.0
98,fog2,0.0
8,fog2,0.0
14,fog2,0.0
89,fog2,12.5
