filter,class,predicted_class
Original,45,45
fog3,45,45
Original,45,46
fog3,45,45
Original,28,28
fog3,28,28
Original,46,46
fog3,46,46
Original,32,32
fog3,32,32
Original,48,48
fog3,48,48
Original,83,83
fog3,83,93
Original,20,20
fog3,20,20
Original,79,79
fog3,79,79
Original,77,77
fog3,77,77
Original,90,90
fog3,90,90
Original,15,23
fog3,15,23
Original,48,48
fog3,48,48
Original,12,20
fog3,12,23
Original,52,52
fog3,52,52
Original,48,48
fog3,48,48
Original,79,79
fog3,79,79
Original,20,20
fog3,20,20
Original,77,77
fog3,77,74
Original,78,78
fog3,78,78
Original,35,35
fog3,35,35
Original,43,43
fog3,43,43
Original,53,53
fog3,53,50
Original,16,16
fog3,16,16
Original,66,66
fog3,66,66
Original,31,31
fog3,31,31
Original,55,55
fog3,55,55
Original,63,63
fog3,63,63
Original,30,30
fog3,30,86
Original,86,86
fog3,86,50
Original,52,52
fog3,52,52
Original,57,57
fog3,57,91
Original,46,46
fog3,46,46
Original,37,37
fog3,37,37
Original,48,48
fog3,48,48
Original,90,90
fog3,90,90
Original,90,90
fog3,90,90
Original,20,20
fog3,20,20
Original,55,55
fog3,55,55
Original,87,87
fog3,87,87
Original,101,101
fog3,101,101
Original,42,42
fog3,42,42
Original,51,51
fog3,51,51
Original,15,15
fog3,15,15
Original,63,63
fog3,63,63
Original,32,32
fog3,32,32
Original,23,23
fog3,23,23
Original,32,32
fog3,32,32
Original,51,51
fog3,51,51
Original,67,67
fog3,67,67
Original,36,36
fog3,36,36
Original,21,21
fog3,21,21
Original,6,6
fog3,6,6
Original,48,48
fog3,48,48
Original,61,61
fog3,61,61
Original,74,74
fog3,74,74
Original,87,87
fog3,87,87
Original,29,29
fog3,29,23
Original,52,52
fog3,52,52
Original,30,30
fog3,30,30
Original,63,63
fog3,63,63
Original,57,57
fog3,57,37
Original,21,21
fog3,21,28
Original,32,32
fog3,32,32
Original,63,63
fog3,63,63
Original,91,91
fog3,91,91
Original,90,90
fog3,90,90
Original,78,78
fog3,78,78
Original,31,31
fog3,31,31
Original,50,50
fog3,50,50
Original,86,52
fog3,86,87
Original,67,67
fog3,67,67
Original,31,31
fog3,31,31
Original,52,52
fog3,52,50
Original,52,52
fog3,52,52
Original,93,93
fog3,93,30
Original,74,90
fog3,74,90
Original,36,36
fog3,36,36
Original,52,52
fog3,52,52
Original,52,52
fog3,52,52
Original,55,55
fog3,55,32
Original,32,32
fog3,32,32
Original,45,45
fog3,45,45
Original,52,52
fog3,52,52
Original,45,45
fog3,45,39
Original,79,79
fog3,79,79
Original,70,70
fog3,70,70
Original,90,90
fog3,90,90
Original,48,48
fog3,48,52
Original,6,6
fog3,6,23
Original,63,63
fog3,63,63
Original,59,59
fog3,59,59
Original,52,52
fog3,52,52
Original,52,52
fog3,52,52
Original,1,1
fog3,1,1
Original,83,83
fog3,83,83
Original,55,55
fog3,55,55
Original,0,3
fog3,0,0
Original,32,32
fog3,32,32
Original,52,52
fog3,52,52
Original,0,0
fog3,0,0
Original,30,30
fog3,30,30
Original,87,87
fog3,87,87
Original,53,53
fog3,53,53
Original,78,78
fog3,78,78
Original,18,19
fog3,18,19
Original,55,55
fog3,55,55
Original,87,87
fog3,87,87
Original,90,90
fog3,90,90
Original,23,20
fog3,23,28
Original,50,50
fog3,50,48
Original,17,20
fog3,17,28
Original,28,28
fog3,28,28
Original,0,0
fog3,0,28
Original,52,52
fog3,52,52
Original,12,12
fog3,12,20
Original,53,53
fog3,53,53
Original,23,23
fog3,23,23
Original,45,45
fog3,45,45
Original,72,72
fog3,72,72
Original,55,55
fog3,55,77
Original,67,67
fog3,67,67
Original,20,23
fog3,20,23
Original,15,15
fog3,15,15
Original,48,48
fog3,48,48
Original,7,7
fog3,7,23
Original,22,22
fog3,22,22
Original,78,78
fog3,78,78
Original,30,30
fog3,30,30
Original,19,19
fog3,19,23
Original,49,49
fog3,49,49
Original,53,53
fog3,53,90
Original,32,32
fog3,32,32
Original,66,66
fog3,66,66
Original,48,48
fog3,48,48
Original,68,68
fog3,68,68
Original,47,47
fog3,47,52
Original,50,50
fog3,50,50
Original,77,77
fog3,77,77
Original,46,46
fog3,46,46
Original,17,17
fog3,17,17
Original,50,50
fog3,50,50
Original,74,74
fog3,74,74
Original,32,32
fog3,32,32
Original,15,15
fog3,15,15
Original,50,50
fog3,50,50
Original,66,66
fog3,66,63
Original,50,50
fog3,50,50
Original,1,1
fog3,1,91
Original,46,46
fog3,46,46
Original,32,32
fog3,32,32
Original,52,52
fog3,52,52
Original,37,37
fog3,37,37
Original,32,32
fog3,32,32
Original,28,28
fog3,28,23
Original,65,63
fog3,65,63
Original,90,90
fog3,90,90
Original,97,97
fog3,97,91
Original,2,2
fog3,2,2
Original,52,52
fog3,52,52
Original,43,43
fog3,43,43
Original,23,23
fog3,23,23
Original,30,30
fog3,30,30
Original,37,37
fog3,37,37
Original,86,86
fog3,86,86
Original,30,30
fog3,30,16
