class,filters,error
66,Original,87.69
31,Original,96.67
77,Original,89.86
60,Original,98.41
52,Original,98.35
81,Original,88.89
78,Original,97.97
28,Original,97.66
16,Original,94.14
67,Original,99.44
50,Original,96.38
29,Original,91.23
12,Original,95.92
76,Original,88.89
70,Original,100.0
75,Original,88.24
20,Original,97.84
91,Original,91.53
45,Original,98.49
19,Original,92.45
79,Original,93.2
65,Original,66.67
46,Original,98.43
32,Original,98.31
47,Original,85.19
62,Original,90.91
68,Original,94.44
53,Original,92.86
63,Original,96.44
15,Original,98.1
1,Original,93.18
11,Original,88.89
48,Original,93.83
55,Original,98.27
30,Original,97.68
73,Original,95.92
90,Original,98.22
0,Original,97.56
37,Original,94.96
72,Original,96.51
36,Original,100.0
41,Original,93.81
86,Original,92.13
23,Original,98.46
22,Original,78.46
51,Original,98.35
87,Original,84.81
40,Original,91.49
74,Original,97.09
57,Original,97.45
4,Original,77.78
33,Original,83.33
2,Original,87.04
93,Original,82.76
94,Original,0.0
88,Original,82.14
49,Original,87.5
25,Original,100.0
43,Original,100.0
89,Original,87.5
21,Original,95.7
54,Original,68.75
35,Original,100.0
97,Original,80.95
59,Original,100.0
5,Original,100.0
13,Original,50.0
42,Original,93.59
56,Original,79.17
7,Original,70.0
71,Original,95.83
39,Original,87.88
82,Original,100.0
34,Original,100.0
3,Original,71.43
17,Original,88.46
83,Original,93.59
58,Original,83.33
38,Original,77.78
95,Original,0.0
6,Original,91.67
99,Original,84.21
10,Original,92.31
44,Original,85.71
92,Original,25.0
102,Original,96.0
18,Original,60.0
61,Original,94.64
85,Original,55.56
84,Original,0.0
27,Original,0.0
69,Original,72.73
24,Original,75.0
100,Original,100.0
26,Original,90.91
80,Original,100.0
8,Original,66.67
64,Original,36.36
101,Original,100.0
98,Original,66.67
96,Original,28.57
14,Original,33.33
9,Original,66.67
