filter,class,predicted_class
Original,36,36
night10,36,36
Original,52,52
night10,52,52
Original,90,90
night10,90,90
Original,55,55
night10,55,55
Original,51,51
night10,51,51
Original,55,55
night10,55,55
Original,78,78
night10,78,78
Original,50,50
night10,50,50
Original,73,73
night10,73,73
Original,32,32
night10,32,32
Original,78,78
night10,78,78
Original,78,78
night10,78,78
Original,55,55
night10,55,55
Original,21,21
night10,21,21
Original,93,83
night10,93,23
Original,77,77
night10,77,77
Original,33,75
night10,33,42
Original,52,52
night10,52,52
Original,78,78
night10,78,78
Original,20,20
night10,20,20
Original,30,30
night10,30,30
Original,48,48
night10,48,48
Original,55,55
night10,55,55
Original,52,52
night10,52,52
Original,55,55
night10,55,55
Original,97,97
night10,97,36
Original,30,30
night10,30,30
Original,71,71
night10,71,71
Original,90,90
night10,90,90
Original,90,90
night10,90,90
Original,20,20
night10,20,20
Original,48,48
night10,48,48
Original,63,63
night10,63,63
Original,78,67
night10,78,67
Original,45,45
night10,45,45
Original,74,74
night10,74,74
Original,30,30
night10,30,30
Original,23,23
night10,23,23
Original,70,70
night10,70,70
Original,59,59
night10,59,59
Original,51,51
night10,51,51
Original,23,23
night10,23,23
Original,67,67
night10,67,67
Original,53,53
night10,53,53
Original,52,52
night10,52,52
Original,32,32
night10,32,32
Original,30,30
night10,30,30
Original,24,24
night10,24,24
Original,78,78
night10,78,78
Original,46,46
night10,46,46
Original,24,24
night10,24,24
Original,88,88
night10,88,88
Original,63,63
night10,63,63
Original,48,48
night10,48,48
Original,50,50
night10,50,50
Original,39,39
night10,39,39
Original,78,78
night10,78,78
Original,52,52
night10,52,52
Original,57,57
night10,57,57
Original,74,74
night10,74,74
Original,87,87
night10,87,87
Original,41,41
night10,41,41
Original,90,90
night10,90,90
Original,36,36
night10,36,36
Original,23,23
night10,23,23
Original,16,16
night10,16,16
Original,16,16
night10,16,16
Original,57,57
night10,57,57
Original,32,32
night10,32,32
Original,50,55
night10,50,50
Original,90,90
night10,90,90
Original,28,28
night10,28,28
Original,29,29
night10,29,29
Original,73,73
night10,73,73
Original,50,50
night10,50,50
Original,79,79
night10,79,79
Original,20,20
night10,20,20
Original,51,51
night10,51,51
Original,46,46
night10,46,46
Original,0,0
night10,0,0
Original,30,30
night10,30,30
Original,32,32
night10,32,32
Original,23,23
night10,23,23
Original,41,41
night10,41,41
Original,36,36
night10,36,36
Original,78,78
night10,78,78
Original,90,90
night10,90,90
Original,86,86
night10,86,86
Original,45,45
night10,45,45
Original,32,32
night10,32,32
Original,32,32
night10,32,32
Original,63,63
night10,63,66
Original,63,63
night10,63,63
Original,81,81
night10,81,81
Original,23,23
night10,23,23
Original,76,68
night10,76,76
Original,52,52
night10,52,52
Original,48,48
night10,48,48
Original,67,67
night10,67,67
Original,40,40
night10,40,57
Original,79,79
night10,79,79
Original,9,12
night10,9,12
Original,72,72
night10,72,72
Original,51,51
night10,51,51
Original,21,21
night10,21,0
Original,23,20
night10,23,20
Original,50,50
night10,50,50
Original,90,90
night10,90,90
Original,77,77
night10,77,77
Original,30,30
night10,30,30
Original,48,48
night10,48,48
Original,49,49
night10,49,49
Original,31,31
night10,31,31
Original,15,15
night10,15,15
Original,21,21
night10,21,21
Original,87,87
night10,87,30
Original,22,22
night10,22,22
Original,21,21
night10,21,21
Original,66,66
night10,66,66
Original,12,1
night10,12,1
Original,30,30
night10,30,30
Original,32,32
night10,32,32
Original,50,50
night10,50,50
Original,30,30
night10,30,30
Original,74,74
night10,74,74
Original,57,57
night10,57,57
Original,73,73
night10,73,73
Original,37,37
night10,37,37
Original,90,90
night10,90,90
Original,30,30
night10,30,30
Original,32,32
night10,32,53
Original,78,78
night10,78,78
Original,48,48
night10,48,48
Original,28,28
night10,28,28
Original,30,30
night10,30,30
Original,77,77
night10,77,77
Original,30,30
night10,30,30
Original,0,0
night10,0,0
Original,39,39
night10,39,39
Original,87,87
