class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,98.37,51.22,28.46,48.78,71.54,33.33,123
1,90.91,43.18,29.55,36.36,61.36,25.0,44
2,88.89,25.93,12.96,27.78,44.44,14.81,54
3,76.19,38.1,9.52,19.05,38.1,14.29,21
4,77.78,33.33,44.44,11.11,55.56,55.56,9
5,100.0,57.14,14.29,42.86,57.14,28.57,7
6,91.67,21.67,18.33,23.33,50.0,15.0,60
7,80.0,5.0,7.5,5.0,25.0,10.0,40
8,33.33,0.0,0.0,0.0,0.0,0.0,3
9,66.67,0.0,0.0,33.33,33.33,0.0,3
10,92.31,53.85,23.08,30.77,69.23,23.08,13
11,95.56,26.67,26.67,22.22,55.56,13.33,45
12,92.86,44.9,31.63,46.94,61.22,23.47,98
13,75.0,0.0,0.0,0.0,25.0,0.0,4
14,33.33,0.0,0.0,0.0,0.0,0.0,3
15,93.04,27.85,20.89,27.22,67.72,29.75,158
16,92.67,46.15,30.77,45.79,67.03,25.27,273
17,92.31,15.38,7.69,13.46,63.46,23.08,52
18,40.0,60.0,20.0,0.0,20.0,0.0,5
19,95.28,30.19,8.49,22.64,56.6,11.32,106
20,96.97,62.34,61.04,66.23,80.52,45.45,231
21,91.4,36.56,29.03,33.33,59.14,13.98,93
22,81.54,60.0,49.23,56.92,76.92,47.69,65
23,97.54,63.38,51.08,65.23,71.38,32.92,325
24,80.0,20.0,10.0,15.0,55.0,0.0,20
25,85.71,14.29,9.52,23.81,57.14,23.81,21
26,95.45,36.36,22.73,13.64,72.73,13.64,22
27,11.76,5.88,11.76,11.76,23.53,11.76,17
28,99.22,27.34,23.83,30.86,56.25,17.58,256
29,89.47,14.04,8.77,19.3,45.61,12.28,57
30,99.07,70.77,62.18,70.3,85.38,39.68,431
31,94.44,61.67,41.67,62.78,70.56,26.11,180
32,97.75,35.39,34.27,45.79,53.37,14.04,356
33,83.33,50.0,27.78,50.0,72.22,50.0,18
34,100.0,42.86,9.52,28.57,61.9,28.57,21
35,97.14,2.86,2.86,14.29,25.71,0.0,35
36,100.0,68.83,61.04,81.82,79.22,33.77,154
37,91.37,15.11,7.91,12.95,36.69,7.91,139
38,100.0,55.56,22.22,33.33,55.56,11.11,9
39,81.82,27.27,30.3,30.3,48.48,24.24,33
40,97.87,38.3,27.66,36.17,55.32,23.4,47
41,97.94,74.23,50.52,71.13,80.41,34.02,97
42,96.15,41.03,32.05,38.46,66.67,25.64,78
43,98.15,37.04,27.78,37.04,66.67,22.22,54
44,71.43,42.86,14.29,28.57,57.14,14.29,7
45,99.25,56.23,47.92,61.13,78.49,37.36,265
46,97.25,36.86,27.06,36.08,59.61,21.57,255
47,81.48,14.81,7.41,14.81,44.44,7.41,27
48,94.44,39.51,32.1,38.89,62.96,28.4,324
49,89.29,39.29,16.07,39.29,57.14,16.07,56
50,96.86,45.17,32.13,46.14,67.63,31.4,414
51,97.94,27.57,13.99,23.05,55.14,15.64,243
52,98.55,44.63,31.2,43.6,67.56,23.14,484
53,89.92,15.55,9.24,15.13,46.64,13.03,238
54,62.5,6.25,0.0,6.25,31.25,0.0,16
55,96.1,15.15,9.09,15.58,48.48,13.42,231
56,91.67,8.33,16.67,12.5,25.0,4.17,24
57,96.94,30.1,19.39,28.57,62.76,26.02,196
58,91.67,8.33,0.0,0.0,58.33,0.0,12
59,100.0,29.63,7.41,18.52,77.78,7.41,27
60,93.65,42.86,26.98,38.1,53.97,22.22,63
61,98.21,33.93,25.0,33.93,64.29,23.21,56
62,90.91,24.24,18.18,27.27,51.52,21.21,33
63,92.89,17.78,39.56,52.0,39.56,10.67,225
64,63.64,0.0,0.0,9.09,9.09,0.0,11
65,44.44,0.0,0.0,0.0,0.0,11.11,9
66,86.92,12.31,17.69,24.62,31.54,10.0,130
67,99.44,33.89,26.11,37.78,61.67,19.44,180
68,97.22,38.89,44.44,44.44,75.0,25.0,36
69,90.91,63.64,18.18,54.55,54.55,27.27,11
70,100.0,48.28,39.66,51.72,72.41,10.34,58
71,100.0,16.67,16.67,29.17,70.83,41.67,24
72,97.67,41.86,40.7,59.3,70.93,32.56,86
73,95.92,55.1,48.98,71.43,59.18,40.82,49
74,96.6,39.81,47.57,51.46,65.53,29.61,206
75,88.24,43.14,52.94,58.82,66.67,35.29,51
76,83.33,16.67,16.67,33.33,33.33,5.56,18
77,89.13,26.81,37.68,43.48,61.59,29.71,138
78,97.46,41.12,27.41,41.62,70.56,24.37,197
79,90.29,41.75,40.78,47.57,67.96,33.01,103
80,100.0,33.33,0.0,66.67,66.67,33.33,3
81,86.11,25.0,8.33,33.33,69.44,11.11,36
82,100.0,14.29,28.57,14.29,14.29,0.0,7
83,96.15,32.05,17.95,39.74,60.26,10.26,78
84,0.0,0.0,0.0,0.0,0.0,0.0,4
85,44.44,0.0,0.0,11.11,22.22,0.0,9
86,94.38,19.1,26.97,35.39,52.81,21.35,178
87,83.54,23.42,16.46,26.58,31.01,9.49,158
88,78.57,14.29,14.29,17.86,28.57,0.0,28
89,75.0,37.5,0.0,0.0,12.5,12.5,8
90,98.22,52.91,47.41,60.68,69.58,30.1,618
91,91.53,23.73,23.73,32.2,59.32,23.73,59
92,0.0,0.0,8.33,0.0,0.0,0.0,12
93,91.38,31.03,6.9,29.31,27.59,10.34,58
94,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,3
96,14.29,0.0,14.29,0.0,0.0,0.0,7
97,85.71,50.79,42.86,36.51,55.56,17.46,63
98,100.0,0.0,0.0,0.0,0.0,0.0,3
99,78.95,21.05,15.79,36.84,63.16,10.53,19
100,50.0,0.0,33.33,16.67,33.33,16.67,6
101,100.0,40.0,60.0,40.0,20.0,0.0,5
102,96.0,36.0,20.0,32.0,56.0,16.0,25
