class,filters,error
87,fognight,48.1
55,fognight,69.7
21,fognight,66.67
30,fognight,94.2
66,fognight,69.23
16,fognight,84.98
70,fognight,87.93
97,fognight,68.25
19,fognight,72.64
52,fognight,82.02
78,fognight,75.13
72,fognight,86.05
51,fognight,65.84
57,fognight,63.27
67,fognight,88.33
46,fognight,90.59
28,fognight,78.52
20,fognight,88.74
53,fognight,57.98
11,fognight,57.78
48,fognight,80.56
74,fognight,82.04
15,fognight,75.95
45,fognight,88.68
12,fognight,70.41
31,fognight,82.78
90,fognight,86.57
37,fognight,66.91
50,fognight,73.19
23,fognight,89.54
63,fognight,74.22
77,fognight,73.91
42,fognight,76.92
71,fognight,79.17
41,fognight,87.63
91,fognight,71.19
36,fognight,88.31
86,fognight,74.72
88,fognight,46.43
43,fognight,75.93
73,fognight,93.88
32,fognight,83.43
99,fognight,78.95
79,fognight,78.64
39,fognight,69.7
22,fognight,80.0
75,fognight,84.31
49,fognight,67.86
58,fognight,33.33
65,fognight,11.11
3,fognight,52.38
0,fognight,81.3
17,fognight,53.85
38,fognight,55.56
61,fognight,80.36
29,fognight,52.63
40,fognight,65.96
47,fognight,37.04
10,fognight,61.54
60,fognight,69.84
83,fognight,69.23
2,fognight,55.56
6,fognight,58.33
62,fognight,66.67
34,fognight,90.48
33,fognight,83.33
81,fognight,75.0
92,fognight,0.0
56,fognight,25.0
25,fognight,33.33
69,fognight,63.64
27,fognight,0.0
35,fognight,37.14
93,fognight,20.69
68,fognight,66.67
1,fognight,59.09
89,fognight,12.5
18,fognight,60.0
59,fognight,74.07
7,fognight,12.5
24,fognight,40.0
26,fognight,59.09
100,fognight,0.0
82,fognight,28.57
54,fognight,18.75
5,fognight,28.57
102,fognight,80.0
85,fognight,0.0
13,fognight,50.0
76,fognight,38.89
101,fognight,20.0
4,fognight,33.33
94,fognight,0.0
64,fognight,27.27
9,fognight,33.33
96,fognight,28.57
84,fognight,0.0
98,fognight,0.0
95,fognight,0.0
80,fognight,66.67
14,fognight,0.0
44,fognight,57.14
8,fognight,0.0
