class,filters,error
45,Original,99.25
41,Original,97.94
77,Original,89.13
42,Original,96.15
16,Original,92.67
55,Original,96.1
20,Original,96.97
52,Original,98.55
60,Original,93.65
90,Original,98.22
29,Original,89.47
3,Original,76.19
0,Original,98.37
81,Original,86.11
78,Original,97.46
17,Original,92.31
67,Original,99.44
32,Original,97.75
87,Original,83.54
6,Original,91.67
97,Original,85.71
15,Original,93.04
70,Original,100.0
36,Original,100.0
83,Original,96.15
53,Original,89.92
95,Original,0.0
73,Original,95.92
49,Original,89.29
19,Original,95.28
51,Original,97.94
48,Original,94.44
91,Original,91.53
28,Original,99.22
74,Original,96.6
30,Original,99.07
39,Original,81.82
23,Original,97.54
50,Original,96.86
63,Original,92.89
79,Original,90.29
46,Original,97.25
24,Original,80.0
57,Original,96.94
1,Original,90.91
86,Original,94.38
21,Original,91.4
37,Original,91.37
72,Original,97.67
61,Original,98.21
12,Original,92.86
66,Original,86.92
33,Original,83.33
35,Original,97.14
93,Original,91.38
43,Original,98.15
102,Original,96.0
26,Original,95.45
11,Original,95.56
2,Original,88.89
40,Original,97.87
96,Original,14.29
31,Original,94.44
62,Original,90.91
59,Original,100.0
64,Original,63.64
76,Original,83.33
75,Original,88.24
13,Original,75.0
47,Original,81.48
25,Original,85.71
18,Original,40.0
7,Original,80.0
88,Original,78.57
34,Original,100.0
27,Original,11.76
85,Original,44.44
10,Original,92.31
54,Original,62.5
22,Original,81.54
5,Original,100.0
69,Original,90.91
98,Original,100.0
56,Original,91.67
71,Original,100.0
99,Original,78.95
68,Original,97.22
65,Original,44.44
82,Original,100.0
80,Original,100.0
92,Original,0.0
44,Original,71.43
89,Original,75.0
58,Original,91.67
8,Original,33.33
84,Original,0.0
100,Original,50.0
38,Original,100.0
14,Original,33.33
101,Original,100.0
94,Original,0.0
4,Original,77.78
9,Original,66.67
