class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,98.37,97.56,98.37,98.37,98.37,98.37,97.56,98.37,98.37,97.56,97.56,123
1,90.91,88.64,90.91,93.18,93.18,93.18,93.18,93.18,95.45,93.18,93.18,44
2,88.89,83.33,79.63,85.19,85.19,81.48,83.33,83.33,81.48,77.78,75.93,54
3,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,80.95,76.19,76.19,21
4,77.78,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,9
5,100.0,85.71,100.0,100.0,100.0,100.0,100.0,85.71,100.0,100.0,100.0,7
6,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,90.0,60
7,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,70.0,70.0,77.5,40
8,33.33,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,3
9,66.67,66.67,66.67,66.67,66.67,66.67,100.0,66.67,66.67,100.0,66.67,3
10,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,13
11,95.56,93.33,93.33,91.11,88.89,88.89,88.89,86.67,80.0,77.78,77.78,45
12,92.86,92.86,92.86,92.86,90.82,91.84,91.84,93.88,93.88,92.86,92.86,98
13,75.0,75.0,75.0,75.0,75.0,50.0,25.0,25.0,25.0,25.0,25.0,4
14,33.33,0.0,0.0,33.33,33.33,33.33,33.33,33.33,33.33,0.0,33.33,3
15,93.04,94.3,91.77,92.41,92.41,91.77,91.77,91.14,91.14,91.14,87.34,158
16,92.67,93.04,93.77,93.41,93.04,92.67,93.04,93.41,92.67,93.04,91.94,273
17,92.31,92.31,92.31,92.31,92.31,92.31,92.31,90.38,90.38,90.38,86.54,52
18,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,5
19,95.28,95.28,95.28,96.23,97.17,97.17,96.23,96.23,96.23,94.34,95.28,106
20,96.97,96.97,96.1,95.67,95.67,95.67,94.81,94.37,94.37,94.37,93.94,231
21,91.4,89.25,89.25,89.25,89.25,89.25,90.32,89.25,89.25,88.17,86.02,93
22,81.54,81.54,81.54,80.0,80.0,80.0,80.0,80.0,81.54,80.0,75.38,65
23,97.54,97.23,97.23,97.23,96.62,96.92,95.69,96.0,95.38,95.38,95.38,325
24,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,20
25,85.71,85.71,100.0,100.0,85.71,85.71,85.71,100.0,100.0,85.71,95.24,21
26,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,22
27,11.76,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,0.0,17
28,99.22,99.22,99.22,100.0,100.0,99.61,99.22,98.83,99.22,98.83,96.88,256
29,89.47,87.72,84.21,87.72,89.47,85.96,85.96,84.21,82.46,75.44,77.19,57
30,99.07,98.84,98.84,98.84,98.84,98.84,98.84,98.84,98.61,98.61,98.14,431
31,94.44,93.33,93.89,94.44,94.44,94.44,94.44,94.44,93.33,93.89,93.33,180
32,97.75,97.19,96.91,96.63,96.63,96.63,96.07,94.1,92.98,89.33,87.64,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,77.78,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,97.14,97.14,97.14,97.14,94.29,94.29,94.29,91.43,82.86,65.71,74.29,35
36,100.0,100.0,100.0,100.0,98.05,98.05,97.4,95.45,94.81,91.56,87.01,154
37,91.37,92.81,93.53,94.24,94.24,94.96,94.96,94.96,94.24,94.24,94.24,139
38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.89,88.89,9
39,81.82,81.82,81.82,81.82,81.82,81.82,81.82,81.82,81.82,81.82,81.82,33
40,97.87,93.62,91.49,91.49,91.49,91.49,91.49,91.49,89.36,89.36,89.36,47
41,97.94,94.85,96.91,96.91,96.91,96.91,96.91,94.85,90.72,93.81,95.88,97
42,96.15,93.59,93.59,93.59,93.59,93.59,92.31,91.03,92.31,89.74,89.74,78
43,98.15,96.3,98.15,98.15,98.15,98.15,94.44,94.44,96.3,94.44,94.44,54
44,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,85.71,71.43,7
45,99.25,99.25,98.87,98.87,99.25,98.49,98.49,98.11,97.36,97.36,96.98,265
46,97.25,97.25,97.25,96.86,97.25,96.86,96.86,97.25,97.25,96.86,97.25,255
47,81.48,81.48,81.48,81.48,81.48,81.48,81.48,81.48,81.48,81.48,81.48,27
48,94.44,94.14,94.75,94.44,94.14,93.52,93.21,92.9,93.52,92.28,92.59,324
49,89.29,91.07,89.29,91.07,92.86,92.86,91.07,91.07,89.29,89.29,91.07,56
50,96.86,96.38,96.14,96.14,96.14,96.14,95.65,95.17,94.44,93.72,94.44,414
51,97.94,98.77,98.77,98.77,98.77,98.77,98.77,99.59,98.77,98.35,96.3,243
52,98.55,98.55,98.55,98.35,98.55,98.76,98.55,98.14,98.14,97.93,97.52,484
53,89.92,89.5,89.08,88.66,89.92,89.5,90.34,89.92,89.5,89.08,86.13,238
54,62.5,62.5,56.25,56.25,37.5,37.5,37.5,31.25,37.5,25.0,25.0,16
55,96.1,95.67,94.81,95.24,94.81,94.81,95.24,92.21,93.51,92.64,93.07,231
56,91.67,83.33,79.17,75.0,75.0,75.0,66.67,62.5,66.67,58.33,45.83,24
57,96.94,96.43,95.92,96.43,96.43,95.92,96.43,96.43,95.92,95.41,94.9,196
58,91.67,83.33,75.0,83.33,75.0,75.0,75.0,58.33,66.67,75.0,75.0,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27
60,93.65,90.48,95.24,96.83,95.24,95.24,95.24,96.83,88.89,92.06,95.24,63
61,98.21,94.64,96.43,98.21,98.21,98.21,96.43,98.21,98.21,96.43,98.21,56
62,90.91,87.88,87.88,90.91,90.91,90.91,93.94,90.91,90.91,90.91,90.91,33
63,92.89,92.0,87.11,84.0,79.56,77.78,69.33,59.56,46.22,35.56,28.89,225
64,63.64,63.64,45.45,45.45,36.36,36.36,36.36,36.36,36.36,9.09,9.09,11
