class,filters,error
16,Original,92.67
34,Original,100.0
83,Original,96.15
30,Original,99.07
63,Original,92.89
19,Original,95.28
90,Original,98.22
17,Original,92.31
55,Original,96.1
23,Original,97.54
53,Original,89.92
54,Original,62.5
32,Original,97.75
20,Original,96.97
46,Original,97.25
48,Original,94.44
50,Original,96.86
52,Original,98.55
41,Original,97.94
1,Original,90.91
57,Original,96.94
12,Original,92.86
60,Original,93.65
31,Original,94.44
28,Original,99.22
86,Original,94.38
33,Original,83.33
21,Original,91.4
67,Original,99.44
51,Original,97.94
35,Original,97.14
100,Original,50.0
78,Original,97.46
66,Original,86.92
70,Original,100.0
37,Original,91.37
39,Original,81.82
74,Original,96.6
45,Original,99.25
11,Original,95.56
27,Original,11.76
15,Original,93.04
81,Original,86.11
7,Original,80.0
87,Original,83.54
69,Original,90.91
68,Original,97.22
102,Original,96.0
0,Original,98.37
26,Original,95.45
77,Original,89.13
42,Original,96.15
43,Original,98.15
36,Original,100.0
97,Original,85.71
80,Original,100.0
40,Original,97.87
71,Original,100.0
25,Original,85.71
56,Original,91.67
29,Original,89.47
49,Original,89.29
62,Original,90.91
2,Original,88.89
79,Original,90.29
59,Original,100.0
3,Original,76.19
88,Original,78.57
93,Original,91.38
61,Original,98.21
47,Original,81.48
75,Original,88.24
65,Original,44.44
91,Original,91.53
73,Original,95.92
6,Original,91.67
22,Original,81.54
85,Original,44.44
5,Original,100.0
99,Original,78.95
101,Original,100.0
4,Original,77.78
76,Original,83.33
24,Original,80.0
38,Original,100.0
14,Original,33.33
13,Original,75.0
9,Original,66.67
72,Original,97.67
58,Original,91.67
64,Original,63.64
89,Original,75.0
92,Original,0.0
10,Original,92.31
95,Original,0.0
18,Original,40.0
84,Original,0.0
96,Original,14.29
82,Original,100.0
44,Original,71.43
8,Original,33.33
94,Original,0.0
98,Original,100.0
