class,filters,error
79,Original,93.2
32,Original,96.07
31,Original,90.0
20,Original,95.67
50,Original,94.44
23,Original,96.62
55,Original,92.21
52,Original,95.66
46,Original,96.47
21,Original,94.62
86,Original,95.51
57,Original,89.8
67,Original,100.0
30,Original,97.45
45,Original,99.25
12,Original,90.82
101,Original,100.0
28,Original,97.66
53,Original,90.34
51,Original,94.65
19,Original,94.34
48,Original,92.59
17,Original,80.77
90,Original,97.57
63,Original,96.0
78,Original,97.97
0,Original,96.75
81,Original,88.89
73,Original,95.92
102,Original,92.0
75,Original,92.16
36,Original,99.35
39,Original,78.79
41,Original,93.81
24,Original,70.0
60,Original,90.48
64,Original,27.27
66,Original,84.62
72,Original,97.67
74,Original,96.6
47,Original,92.59
33,Original,83.33
82,Original,100.0
2,Original,79.63
93,Original,82.76
40,Original,89.36
37,Original,97.12
62,Original,93.94
83,Original,98.72
65,Original,66.67
70,Original,98.28
15,Original,91.77
49,Original,92.86
7,Original,70.0
54,Original,50.0
43,Original,94.44
96,Original,0.0
59,Original,100.0
16,Original,93.41
71,Original,100.0
97,Original,82.54
3,Original,61.9
56,Original,75.0
77,Original,89.13
42,Original,93.59
6,Original,85.0
87,Original,91.77
11,Original,93.33
29,Original,77.19
44,Original,71.43
34,Original,100.0
38,Original,55.56
99,Original,84.21
22,Original,83.08
35,Original,91.43
26,Original,95.45
1,Original,88.64
61,Original,100.0
14,Original,33.33
85,Original,0.0
89,Original,62.5
5,Original,85.71
91,Original,93.22
69,Original,72.73
76,Original,83.33
27,Original,0.0
92,Original,41.67
68,Original,88.89
88,Original,85.71
4,Original,66.67
58,Original,100.0
84,Original,0.0
98,Original,33.33
10,Original,84.62
13,Original,25.0
25,Original,85.71
9,Original,33.33
8,Original,33.33
18,Original,40.0
94,Original,0.0
100,Original,66.67
80,Original,100.0
95,Original,0.0
