filter,class,predicted_class
Original,79,79
fog10,79,90
Original,32,32
fog10,32,74
Original,31,31
fog10,31,90
Original,20,20
fog10,20,90
Original,50,50
fog10,50,90
Original,23,23
fog10,23,74
Original,55,55
fog10,55,91
Original,50,50
fog10,50,90
Original,52,52
fog10,52,90
Original,46,46
fog10,46,62
Original,20,20
fog10,20,90
Original,55,55
fog10,55,62
Original,21,21
fog10,21,62
Original,86,86
fog10,86,66
Original,57,57
fog10,57,66
Original,67,67
fog10,67,90
Original,30,30
fog10,30,61
Original,45,45
fog10,45,31
Original,12,19
fog10,12,90
Original,20,20
fog10,20,97
Original,101,101
fog10,101,90
Original,20,20
fog10,20,31
Original,28,28
fog10,28,90
Original,53,53
fog10,53,90
Original,50,50
fog10,50,28
Original,51,51
fog10,51,90
Original,19,19
fog10,19,90
Original,48,48
fog10,48,30
Original,46,46
fog10,46,90
Original,17,17
fog10,17,28
Original,48,48
fog10,48,90
Original,90,90
fog10,90,90
Original,79,79
fog10,79,30
Original,19,19
fog10,19,90
Original,63,63
fog10,63,97
Original,20,20
fog10,20,90
Original,32,32
fog10,32,90
Original,78,78
fog10,78,90
Original,0,0
fog10,0,57
Original,81,81
fog10,81,74
Original,73,73
fog10,73,90
Original,45,45
fog10,45,90
Original,102,102
fog10,102,91
Original,75,75
fog10,75,30
Original,21,21
fog10,21,90
Original,52,52
fog10,52,90
Original,36,36
fog10,36,90
Original,19,19
fog10,19,28
Original,30,30
fog10,30,83
Original,39,39
fog10,39,90
Original,52,52
fog10,52,61
Original,0,0
fog10,0,83
Original,23,23
fog10,23,91
Original,41,41
fog10,41,62
Original,17,17
fog10,17,90
Original,45,45
fog10,45,90
Original,24,24
fog10,24,83
Original,51,51
fog10,51,74
Original,46,46
fog10,46,83
Original,53,53
fog10,53,57
Original,60,53
fog10,60,90
Original,0,0
fog10,0,90
Original,50,50
fog10,50,74
Original,60,60
fog10,60,90
Original,32,32
fog10,32,90
Original,64,63
fog10,64,90
Original,46,46
fog10,46,90
Original,12,12
fog10,12,66
Original,66,66
fog10,66,90
Original,72,72
fog10,72,83
Original,28,28
fog10,28,74
Original,45,45
fog10,45,90
Original,45,45
fog10,45,90
Original,48,48
fog10,48,90
Original,74,74
fog10,74,90
Original,12,12
fog10,12,28
Original,47,37
fog10,47,90
Original,53,50
fog10,53,90
Original,33,33
fog10,33,62
Original,36,36
fog10,36,90
Original,74,74
fog10,74,90
Original,86,86
fog10,86,97
