class,filters,error
74,night6,94.66
55,night6,90.48
87,night6,84.81
16,night6,94.14
28,night6,96.48
30,night6,97.45
37,night6,94.96
48,night6,93.21
50,night6,95.17
0,night6,95.93
90,night6,96.76
51,night6,98.77
36,night6,98.7
76,night6,77.78
45,night6,100.0
19,night6,92.45
23,night6,95.38
32,night6,97.19
66,night6,76.15
57,night6,91.33
46,night6,96.86
67,night6,99.44
6,night6,83.33
53,night6,89.08
77,night6,83.33
97,night6,82.54
70,night6,100.0
12,night6,92.86
78,night6,97.46
79,night6,95.15
3,night6,57.14
41,night6,94.85
10,night6,84.62
52,night6,96.28
20,night6,95.24
47,night6,92.59
102,night6,96.0
31,night6,93.89
91,night6,89.83
60,night6,93.65
39,night6,93.94
75,night6,96.08
14,night6,0.0
85,night6,11.11
49,night6,94.64
7,night6,82.5
27,night6,0.0
15,night6,85.44
63,night6,87.11
29,night6,75.44
95,night6,0.0
81,night6,94.44
40,night6,89.36
72,night6,94.19
17,night6,80.77
42,night6,94.87
99,night6,89.47
34,night6,100.0
73,night6,93.88
33,night6,83.33
2,night6,81.48
22,night6,80.0
62,night6,93.94
1,night6,88.64
83,night6,98.72
11,night6,91.11
93,night6,20.69
54,night6,68.75
35,night6,94.29
24,night6,70.0
88,night6,71.43
4,night6,66.67
61,night6,94.64
68,night6,97.22
86,night6,88.2
59,night6,100.0
58,night6,75.0
25,night6,76.19
71,night6,100.0
21,night6,91.4
43,night6,94.44
26,night6,90.91
80,night6,100.0
98,night6,100.0
96,night6,42.86
38,night6,66.67
64,night6,54.55
84,night6,25.0
65,night6,77.78
56,night6,75.0
92,night6,0.0
100,night6,100.0
89,night6,0.0
94,night6,0.0
8,night6,0.0
44,night6,85.71
82,night6,85.71
18,night6,60.0
69,night6,72.73
5,night6,85.71
13,night6,25.0
101,night6,0.0
9,night6,66.67
