class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,96.75,95.93,95.93,96.75,95.93,96.75,95.12,95.12,93.5,89.43,82.93,123
1,93.18,93.18,93.18,93.18,93.18,93.18,95.45,90.91,81.82,81.82,65.91,44
2,90.74,92.59,85.19,88.89,85.19,88.89,88.89,79.63,75.93,68.52,66.67,54
3,76.19,80.95,80.95,76.19,71.43,61.9,57.14,61.9,42.86,47.62,42.86,21
4,88.89,88.89,88.89,88.89,88.89,66.67,77.78,77.78,66.67,55.56,33.33,9
5,85.71,85.71,85.71,85.71,71.43,71.43,71.43,85.71,42.86,57.14,14.29,7
6,95.0,96.67,93.33,95.0,91.67,95.0,95.0,88.33,81.67,81.67,70.0,60
7,85.0,82.5,85.0,80.0,70.0,67.5,62.5,52.5,32.5,22.5,10.0,40
8,33.33,33.33,33.33,33.33,33.33,66.67,33.33,0.0,33.33,0.0,0.0,3
9,66.67,66.67,66.67,66.67,66.67,66.67,33.33,66.67,66.67,33.33,0.0,3
10,92.31,92.31,92.31,92.31,92.31,92.31,84.62,92.31,84.62,76.92,76.92,13
11,97.78,97.78,97.78,97.78,91.11,97.78,88.89,88.89,71.11,73.33,62.22,45
12,95.92,96.94,93.88,91.84,92.86,92.86,91.84,81.63,83.67,78.57,70.41,98
13,50.0,50.0,50.0,50.0,25.0,25.0,50.0,25.0,50.0,25.0,25.0,4
14,33.33,33.33,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,3
15,96.84,96.84,96.84,94.3,95.57,94.94,91.14,91.77,89.87,84.81,72.78,158
16,93.77,93.77,94.51,94.51,93.77,93.41,92.67,92.31,90.84,89.38,80.59,273
17,84.62,88.46,86.54,76.92,84.62,78.85,84.62,80.77,75.0,76.92,67.31,52
18,100.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,80.0,80.0,80.0,5
19,97.17,96.23,96.23,94.34,92.45,91.51,93.4,83.02,80.19,68.87,59.43,106
20,98.27,98.27,98.7,96.97,97.84,96.54,95.67,95.24,93.07,92.21,84.85,231
21,92.47,91.4,91.4,89.25,91.4,89.25,89.25,88.17,82.8,72.04,60.22,93
22,81.54,81.54,81.54,81.54,78.46,81.54,78.46,78.46,78.46,75.38,75.38,65
23,97.23,96.92,97.23,97.23,97.23,95.38,96.0,93.85,91.69,90.46,84.92,325
24,65.0,65.0,65.0,75.0,75.0,75.0,60.0,55.0,50.0,50.0,35.0,20
25,95.24,95.24,95.24,95.24,95.24,85.71,80.95,76.19,76.19,66.67,66.67,21
26,90.91,90.91,90.91,90.91,90.91,90.91,86.36,90.91,77.27,77.27,54.55,22
27,11.76,11.76,11.76,17.65,5.88,11.76,17.65,11.76,5.88,0.0,0.0,17
28,98.83,99.22,99.22,97.66,98.05,98.44,95.31,94.92,89.06,82.81,74.22,256
29,91.23,87.72,82.46,80.7,73.68,75.44,66.67,70.18,61.4,54.39,40.35,57
30,98.38,98.61,98.38,98.38,98.14,97.45,97.45,96.52,94.66,93.04,91.42,431
31,93.33,93.33,94.44,93.89,95.56,95.0,94.44,95.0,93.89,91.11,88.89,180
32,97.75,97.47,97.75,97.75,98.03,97.19,96.35,94.94,92.7,89.89,85.39,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,77.78,77.78,77.78,77.78,18
34,100.0,100.0,100.0,100.0,100.0,100.0,95.24,100.0,95.24,95.24,85.71,21
35,97.14,97.14,97.14,97.14,97.14,97.14,82.86,85.71,80.0,71.43,62.86,35
36,99.35,99.35,99.35,98.05,99.35,97.4,98.7,96.1,94.81,93.51,92.86,154
37,94.24,94.24,94.96,94.96,94.96,94.96,95.68,94.24,91.37,88.49,79.86,139
38,66.67,66.67,66.67,66.67,66.67,66.67,66.67,88.89,66.67,44.44,33.33,9
39,84.85,84.85,81.82,84.85,84.85,81.82,87.88,75.76,78.79,66.67,66.67,33
40,89.36,87.23,85.11,87.23,85.11,85.11,87.23,85.11,80.85,78.72,63.83,47
41,97.94,96.91,97.94,97.94,97.94,92.78,93.81,90.72,92.78,85.57,76.29,97
42,93.59,93.59,93.59,93.59,89.74,92.31,92.31,89.74,91.03,88.46,83.33,78
43,94.44,94.44,94.44,92.59,90.74,92.59,92.59,87.04,85.19,83.33,77.78,54
44,71.43,71.43,71.43,71.43,71.43,71.43,85.71,71.43,71.43,57.14,57.14,7
45,99.62,99.62,99.62,99.62,99.25,99.25,96.98,95.47,93.58,93.96,85.28,265
46,98.04,98.43,97.65,97.65,96.47,93.73,90.98,87.45,83.14,71.76,57.65,255
47,85.19,88.89,81.48,92.59,81.48,74.07,77.78,70.37,66.67,55.56,48.15,27
48,96.6,96.3,95.68,95.06,95.99,94.75,93.21,91.98,87.96,85.8,77.47,324
49,92.86,94.64,94.64,94.64,94.64,92.86,92.86,85.71,85.71,80.36,66.07,56
50,95.89,95.65,96.38,95.41,94.69,93.96,90.34,88.41,86.96,79.23,71.74,414
51,99.59,99.59,99.59,97.53,96.3,95.06,93.0,86.01,83.95,79.42,72.43,243
52,97.73,98.14,97.93,96.9,96.69,95.45,92.56,88.84,88.22,80.17,74.59,484
53,92.02,91.6,91.6,88.66,89.08,86.97,84.03,78.99,68.07,62.61,48.74,238
54,56.25,56.25,50.0,50.0,43.75,50.0,43.75,37.5,31.25,25.0,18.75,16
55,98.7,98.7,99.13,98.7,97.4,95.24,91.77,87.45,75.76,65.37,50.65,231
56,87.5,87.5,83.33,75.0,66.67,70.83,62.5,54.17,45.83,33.33,25.0,24
57,96.94,96.94,96.43,95.41,93.88,93.88,88.27,88.78,83.67,77.04,71.94,196
58,75.0,75.0,75.0,66.67,66.67,66.67,58.33,58.33,58.33,41.67,33.33,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.59,62.96,66.67,27
60,95.24,93.65,93.65,93.65,92.06,87.3,85.71,82.54,74.6,66.67,60.32,63
61,98.21,98.21,98.21,96.43,92.86,92.86,94.64,89.29,76.79,73.21,55.36,56
62,87.88,87.88,87.88,87.88,84.85,84.85,75.76,81.82,63.64,63.64,63.64,33
63,95.11,94.22,94.67,94.67,94.22,93.33,92.89,90.67,87.56,84.44,82.67,225
64,54.55,54.55,54.55,36.36,54.55,63.64,45.45,27.27,36.36,45.45,27.27,11
65,77.78,55.56,77.78,77.78,44.44,55.56,66.67,33.33,33.33,0.0,0.0,9
66,88.46,90.0,87.69,87.69,85.38,83.85,81.54,73.08,69.23,68.46,56.15,130
67,99.44,99.44,99.44,99.44,99.44,97.22,97.78,89.44,87.78,81.11,66.67,180
68,88.89,88.89,88.89,88.89,88.89,86.11,88.89,86.11,80.56,86.11,66.67,36
69,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.91,72.73,100.0,11
70,100.0,100.0,100.0,100.0,100.0,98.28,100.0,98.28,98.28,96.55,93.1,58
71,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,91.67,79.17,70.83,24
72,98.84,98.84,98.84,98.84,98.84,98.84,96.51,94.19,93.02,93.02,76.74,86
73,97.96,97.96,97.96,97.96,97.96,95.92,97.96,97.96,97.96,97.96,87.76,49
74,97.09,97.09,96.6,96.6,95.63,96.12,94.17,89.81,84.47,84.95,80.1,206
75,92.16,92.16,92.16,92.16,92.16,88.24,88.24,90.2,84.31,82.35,78.43,51
76,94.44,94.44,88.89,88.89,94.44,77.78,77.78,72.22,55.56,72.22,38.89,18
77,91.3,90.58,88.41,90.58,87.68,86.23,84.06,81.16,80.43,75.36,65.22,138
78,97.46,97.46,97.46,97.46,96.95,94.92,94.92,93.4,86.29,81.22,73.6,197
79,90.29,90.29,91.26,90.29,92.23,92.23,90.29,88.35,86.41,81.55,73.79,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,88.89,88.89,88.89,88.89,88.89,88.89,80.56,86.11,80.56,77.78,63.89,36
82,100.0,100.0,100.0,100.0,100.0,85.71,71.43,71.43,57.14,57.14,42.86,7
83,93.59,93.59,92.31,92.31,91.03,88.46,89.74,84.62,76.92,78.21,62.82,78
84,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
85,44.44,44.44,33.33,55.56,33.33,22.22,33.33,11.11,33.33,11.11,0.0,9
86,93.26,92.13,93.82,91.57,91.01,90.45,85.96,79.78,79.21,69.66,61.24,178
87,64.56,63.29,64.56,66.46,60.13,62.66,56.33,50.63,50.0,41.77,31.01,158
88,82.14,78.57,82.14,82.14,85.71,75.0,64.29,71.43,57.14,53.57,67.86,28
89,62.5,62.5,62.5,62.5,50.0,62.5,62.5,50.0,37.5,12.5,25.0,8
90,98.38,98.54,98.38,98.06,97.73,97.41,96.28,96.44,92.07,89.32,83.5,618
91,88.14,86.44,88.14,88.14,84.75,88.14,83.05,83.05,77.97,77.97,69.49,59
92,33.33,33.33,16.67,33.33,16.67,33.33,8.33,16.67,0.0,0.0,16.67,12
93,79.31,74.14,74.14,68.97,62.07,58.62,46.55,37.93,29.31,20.69,13.79,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,0.0,0.0,0.0,0.0,0.0,28.57,28.57,28.57,0.0,14.29,0.0,7
97,85.71,85.71,85.71,82.54,85.71,84.13,85.71,82.54,80.95,71.43,71.43,63
98,100.0,100.0,100.0,100.0,100.0,66.67,100.0,66.67,100.0,33.33,66.67,3
99,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,68.42,19
100,66.67,50.0,50.0,66.67,66.67,50.0,50.0,50.0,66.67,66.67,50.0,6
101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5
102,96.0,96.0,96.0,96.0,96.0,96.0,96.0,92.0,92.0,84.0,80.0,25
