filter,class,predicted_class
Original,59,59
rain10,59,59
Original,23,23
rain10,23,23
Original,28,28
rain10,28,28
Original,75,75
rain10,75,75
Original,79,79
rain10,79,79
Original,37,37
rain10,37,37
Original,45,45
rain10,45,45
Original,49,49
rain10,49,49
Original,16,16
rain10,16,16
Original,0,0
rain10,0,0
Original,86,86
rain10,86,86
Original,57,53
rain10,57,53
Original,32,32
rain10,32,32
Original,15,15
rain10,15,15
Original,63,26
rain10,63,63
Original,61,61
rain10,61,61
Original,52,52
rain10,52,52
Original,78,78
rain10,78,78
Original,19,19
rain10,19,19
Original,20,20
rain10,20,20
Original,86,86
rain10,86,86
Original,20,20
rain10,20,20
Original,42,42
rain10,42,42
Original,36,36
rain10,36,36
Original,51,51
rain10,51,51
Original,72,72
rain10,72,72
Original,86,86
rain10,86,86
Original,54,54
rain10,54,7
Original,90,90
rain10,90,90
Original,36,36
rain10,36,36
Original,12,12
rain10,12,12
Original,41,41
rain10,41,41
Original,63,63
rain10,63,63
Original,15,15
rain10,15,15
Original,38,38
rain10,38,38
Original,50,50
rain10,50,50
Original,21,21
rain10,21,21
Original,30,30
rain10,30,30
Original,11,11
rain10,11,11
Original,52,52
rain10,52,52
Original,45,45
rain10,45,45
Original,51,51
rain10,51,51
Original,25,25
rain10,25,25
Original,90,90
rain10,90,90
Original,18,18
rain10,18,18
Original,78,78
rain10,78,78
Original,19,19
rain10,19,19
Original,52,52
rain10,52,52
Original,78,78
rain10,78,78
Original,28,28
rain10,28,28
Original,22,22
rain10,22,22
Original,23,23
rain10,23,23
Original,60,62
rain10,60,59
Original,23,23
rain10,23,23
Original,0,0
rain10,0,0
Original,30,30
rain10,30,30
Original,55,55
rain10,55,55
Original,30,30
rain10,30,30
Original,22,61
rain10,22,61
Original,78,78
rain10,78,78
Original,22,22
rain10,22,22
Original,28,28
rain10,28,28
Original,20,20
rain10,20,20
Original,23,23
rain10,23,23
Original,16,16
rain10,16,16
Original,48,48
rain10,48,48
Original,67,67
rain10,67,67
Original,23,23
rain10,23,23
Original,74,74
rain10,74,74
Original,23,23
rain10,23,23
Original,57,48
rain10,57,57
Original,64,64
rain10,64,64
Original,16,16
rain10,16,16
Original,90,90
rain10,90,90
Original,63,63
rain10,63,63
Original,46,46
rain10,46,46
Original,15,15
rain10,15,15
Original,23,23
rain10,23,23
Original,79,79
rain10,79,79
Original,69,69
rain10,69,69
Original,90,90
rain10,90,90
Original,12,12
rain10,12,12
Original,87,87
rain10,87,87
Original,7,7
rain10,7,7
Original,32,32
rain10,32,32
Original,31,31
rain10,31,31
Original,48,48
rain10,48,48
Original,50,50
rain10,50,50
Original,63,63
rain10,63,63
Original,67,67
rain10,67,67
Original,93,93
rain10,93,90
Original,99,99
rain10,99,99
Original,16,16
rain10,16,16
Original,48,48
rain10,48,48
Original,16,16
rain10,16,16
Original,43,43
rain10,43,43
Original,93,93
rain10,93,100
Original,74,91
rain10,74,77
Original,52,52
rain10,52,52
Original,46,46
rain10,46,46
Original,48,48
rain10,48,48
Original,90,90
rain10,90,90
Original,90,90
rain10,90,90
Original,16,16
rain10,16,16
Original,50,50
rain10,50,50
Original,77,77
rain10,77,77
Original,48,48
rain10,48,45
Original,62,62
rain10,62,62
Original,87,87
rain10,87,30
Original,67,67
rain10,67,67
Original,45,45
rain10,45,45
Original,0,0
rain10,0,0
Original,0,0
rain10,0,0
Original,44,44
rain10,44,44
Original,50,50
rain10,50,50
Original,78,78
rain10,78,78
Original,28,28
rain10,28,28
Original,15,15
rain10,15,15
Original,90,90
rain10,90,90
Original,72,72
rain10,72,72
Original,46,46
rain10,46,46
Original,57,57
rain10,57,57
Original,30,30
rain10,30,30
Original,77,85
rain10,77,50
Original,67,67
rain10,67,67
Original,73,73
rain10,73,73
Original,28,28
rain10,28,28
Original,74,74
rain10,74,74
Original,90,90
rain10,90,90
Original,91,91
rain10,91,91
Original,78,78
rain10,78,78
Original,74,74
rain10,74,74
Original,43,43
rain10,43,43
Original,16,16
rain10,16,16
Original,78,78
rain10,78,78
Original,48,48
rain10,48,48
Original,15,15
rain10,15,15
Original,40,40
rain10,40,40
Original,72,72
rain10,72,72
Original,52,52
rain10,52,52
Original,87,87
rain10,87,87
Original,30,30
rain10,30,30
Original,61,61
rain10,61,61
Original,52,52
rain10,52,52
Original,45,45
rain10,45,45
Original,12,12
rain10,12,12
Original,90,90
rain10,90,90
Original,53,53
rain10,53,53
Original,61,61
rain10,61,61
Original,50,50
rain10,50,50
Original,31,31
rain10,31,31
Original,30,30
rain10,30,30
Original,20,20
rain10,20,20
Original,90,90
rain10,90,90
Original,56,56
rain10,56,66
Original,32,32
rain10,32,32
Original,63,63
rain10,63,63
Original,30,30
rain10,30,31
Original,0,0
rain10,0,0
Original,42,42
rain10,42,42
Original,67,67
rain10,67,67
Original,37,37
rain10,37,37
Original,53,53
rain10,53,53
Original,90,90
rain10,90,90
Original,21,21
rain10,21,21
Original,23,23
rain10,23,23
Original,32,32
rain10,32,32
Original,50,50
rain10,50,50
Original,86,86
rain10,86,86
Original,32,32
rain10,32,32
Original,35,35
rain10,35,35
Original,32,32
rain10,32,32
Original,19,19
rain10,19,90
Original,45,45
