class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,96.75,95.93,95.12,95.93,93.5,94.31,93.5,86.99,89.43,85.37,86.18,123
1,93.18,90.91,90.91,88.64,86.36,88.64,84.09,77.27,63.64,68.18,70.45,44
2,90.74,90.74,88.89,87.04,83.33,83.33,79.63,79.63,77.78,77.78,74.07,54
3,76.19,71.43,66.67,52.38,66.67,61.9,47.62,57.14,47.62,52.38,61.9,21
4,88.89,77.78,55.56,66.67,77.78,44.44,55.56,66.67,44.44,66.67,66.67,9
5,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,7
6,95.0,96.67,95.0,93.33,90.0,91.67,90.0,81.67,80.0,80.0,76.67,60
7,85.0,80.0,70.0,62.5,50.0,37.5,22.5,32.5,17.5,30.0,30.0,40
8,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0.0,33.33,3
9,66.67,66.67,33.33,66.67,66.67,100.0,33.33,33.33,66.67,33.33,33.33,3
10,92.31,92.31,92.31,84.62,92.31,84.62,76.92,76.92,76.92,76.92,76.92,13
11,97.78,100.0,95.56,95.56,97.78,84.44,91.11,75.56,86.67,71.11,66.67,45
12,95.92,92.86,85.71,84.69,81.63,86.73,79.59,78.57,78.57,73.47,65.31,98
13,50.0,50.0,25.0,50.0,50.0,25.0,50.0,25.0,50.0,25.0,25.0,4
14,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0.0,0.0,0.0,0.0,3
15,96.84,93.04,93.04,94.3,92.41,94.94,88.61,82.28,87.34,86.08,83.54,158
16,93.77,94.14,92.31,91.58,91.58,89.38,87.55,89.74,86.08,82.42,80.22,273
17,84.62,90.38,84.62,82.69,84.62,86.54,80.77,82.69,78.85,78.85,67.31,52
18,100.0,100.0,60.0,80.0,80.0,80.0,80.0,80.0,80.0,40.0,80.0,5
19,97.17,95.28,94.34,86.79,84.91,80.19,79.25,74.53,66.04,59.43,57.55,106
