class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,95.93,95.93,95.93,95.93,97.56,95.93,91.06,95.12,91.87,94.31,91.06,123
1,95.45,95.45,90.91,93.18,90.91,90.91,86.36,84.09,77.27,81.82,77.27,44
2,85.19,83.33,79.63,72.22,75.93,77.78,72.22,75.93,66.67,74.07,68.52,54
3,57.14,61.9,66.67,66.67,57.14,66.67,66.67,57.14,61.9,57.14,47.62,21
4,88.89,88.89,88.89,66.67,77.78,55.56,55.56,66.67,55.56,55.56,66.67,9
5,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,71.43,85.71,7
6,86.67,90.0,88.33,86.67,81.67,86.67,86.67,85.0,81.67,80.0,78.33,60
7,80.0,80.0,72.5,72.5,72.5,60.0,62.5,60.0,60.0,57.5,52.5,40
8,33.33,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,3
9,33.33,66.67,33.33,66.67,33.33,66.67,33.33,66.67,33.33,66.67,66.67,3
10,92.31,69.23,84.62,76.92,76.92,69.23,76.92,84.62,84.62,76.92,69.23,13
11,88.89,86.67,86.67,91.11,84.44,82.22,88.89,80.0,82.22,80.0,84.44,45
12,92.86,91.84,87.76,90.82,89.8,84.69,79.59,79.59,82.65,79.59,71.43,98
13,75.0,75.0,100.0,75.0,25.0,75.0,50.0,75.0,25.0,50.0,25.0,4
14,66.67,66.67,66.67,66.67,66.67,33.33,66.67,33.33,66.67,66.67,33.33,3
15,91.77,89.24,87.97,87.97,87.34,85.44,84.18,84.18,82.28,84.18,82.28,158
16,93.41,93.41,92.31,93.77,93.41,89.38,90.11,87.55,88.28,87.91,88.28,273
17,82.69,78.85,84.62,86.54,80.77,80.77,80.77,84.62,84.62,88.46,76.92,52
18,60.0,40.0,40.0,20.0,60.0,40.0,20.0,60.0,60.0,40.0,20.0,5
19,89.62,91.51,94.34,91.51,91.51,86.79,93.4,88.68,91.51,92.45,84.91,106
20,98.27,96.1,98.27,96.97,97.4,96.97,95.24,95.24,94.81,94.37,93.07,231
21,92.47,92.47,92.47,92.47,91.4,94.62,89.25,87.1,93.55,92.47,90.32,93
22,83.08,84.62,83.08,83.08,83.08,81.54,83.08,81.54,83.08,83.08,81.54,65
23,97.23,96.62,96.92,96.92,96.92,95.08,95.38,95.38,94.77,93.54,91.69,325
24,65.0,55.0,70.0,65.0,70.0,65.0,55.0,60.0,55.0,50.0,40.0,20
25,80.95,76.19,80.95,80.95,85.71,85.71,76.19,76.19,61.9,76.19,61.9,21
26,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,90.91,90.91,22
27,11.76,11.76,11.76,5.88,5.88,11.76,11.76,11.76,5.88,5.88,5.88,17
28,96.48,95.31,96.88,96.09,95.7,95.31,94.53,91.8,91.8,89.84,90.62,256
29,91.23,84.21,78.95,75.44,77.19,77.19,77.19,73.68,71.93,70.18,63.16,57
30,98.14,97.68,97.91,97.22,97.22,97.68,96.98,98.14,97.22,96.52,97.22,431
31,91.67,90.0,90.56,90.56,90.0,88.89,90.56,88.89,87.78,88.33,85.56,180
32,97.19,95.51,95.22,95.22,95.79,94.94,95.51,93.54,92.98,93.54,90.73,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,90.48,100.0,100.0,95.24,90.48,21
35,94.29,91.43,91.43,85.71,91.43,91.43,88.57,88.57,88.57,77.14,80.0,35
36,100.0,99.35,99.35,100.0,100.0,99.35,100.0,100.0,98.7,98.05,98.7,154
37,98.56,97.84,97.84,98.56,97.84,97.12,95.68,92.09,93.53,94.96,94.96,139
38,66.67,66.67,66.67,55.56,66.67,66.67,66.67,66.67,66.67,66.67,55.56,9
39,87.88,90.91,87.88,87.88,75.76,87.88,81.82,84.85,81.82,75.76,81.82,33
40,89.36,87.23,91.49,89.36,87.23,87.23,76.6,82.98,89.36,80.85,80.85,47
41,91.75,91.75,90.72,91.75,89.69,90.72,90.72,90.72,87.63,86.6,87.63,97
42,94.87,94.87,93.59,93.59,96.15,93.59,91.03,88.46,91.03,91.03,91.03,78
43,92.59,92.59,90.74,90.74,94.44,87.04,90.74,90.74,90.74,85.19,83.33,54
44,71.43,71.43,71.43,71.43,57.14,71.43,71.43,71.43,71.43,57.14,57.14,7
45,98.87,98.11,100.0,99.25,97.74,97.36,96.98,96.98,96.6,93.58,93.96,265
46,97.25,96.47,97.25,97.25,97.65,96.47,96.08,93.73,96.08,95.29,92.94,255
47,74.07,74.07,66.67,62.96,66.67,59.26,62.96,44.44,70.37,55.56,44.44,27
48,92.28,91.67,91.98,92.9,91.98,90.74,89.51,90.74,86.42,88.89,86.42,324
49,91.07,91.07,91.07,91.07,92.86,92.86,91.07,89.29,92.86,83.93,89.29,56
50,93.48,92.27,91.3,90.34,89.37,88.41,84.54,84.06,79.47,80.92,78.26,414
51,95.88,95.06,93.0,90.53,89.3,85.6,88.48,83.95,82.72,85.19,77.78,243
52,98.14,97.93,97.11,96.07,95.87,93.6,92.36,91.94,89.46,90.7,90.5,484
53,90.34,91.18,86.13,82.77,83.61,83.19,79.41,77.73,73.11,71.85,73.11,238
54,56.25,43.75,43.75,37.5,31.25,50.0,31.25,37.5,37.5,37.5,25.0,16
55,91.77,91.34,90.91,90.91,88.74,90.48,88.31,87.88,84.42,77.92,76.62,231
56,66.67,54.17,50.0,50.0,54.17,37.5,45.83,29.17,41.67,41.67,33.33,24
57,96.94,95.92,91.33,89.8,92.35,89.29,88.78,86.73,80.61,82.65,76.53,196
58,83.33,75.0,83.33,75.0,66.67,66.67,58.33,58.33,66.67,41.67,58.33,12
59,100.0,100.0,100.0,100.0,100.0,100.0,96.3,92.59,96.3,88.89,96.3,27
60,92.06,95.24,95.24,85.71,93.65,88.89,79.37,84.13,73.02,76.19,68.25,63
61,85.71,87.5,85.71,87.5,91.07,87.5,89.29,85.71,89.29,87.5,91.07,56
62,90.91,81.82,84.85,81.82,81.82,78.79,90.91,75.76,84.85,69.7,81.82,33
63,95.11,94.67,95.11,94.22,92.0,92.44,94.22,92.44,91.56,87.56,89.33,225
64,72.73,72.73,81.82,81.82,63.64,72.73,63.64,63.64,63.64,72.73,54.55,11
65,55.56,66.67,55.56,66.67,44.44,66.67,55.56,77.78,55.56,77.78,55.56,9
66,85.38,86.15,83.85,86.15,83.85,83.08,78.46,80.0,79.23,76.92,78.46,130
67,100.0,100.0,100.0,100.0,100.0,98.33,99.44,98.89,98.33,100.0,100.0,180
68,91.67,91.67,91.67,83.33,86.11,86.11,86.11,88.89,83.33,80.56,83.33,36
69,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,11
70,100.0,100.0,100.0,96.55,98.28,98.28,98.28,98.28,96.55,96.55,94.83,58
71,95.83,95.83,95.83,95.83,91.67,91.67,95.83,95.83,87.5,95.83,91.67,24
72,96.51,96.51,95.35,95.35,95.35,93.02,94.19,95.35,95.35,90.7,95.35,86
73,93.88,93.88,95.92,95.92,95.92,93.88,93.88,93.88,93.88,93.88,93.88,49
74,96.12,97.09,96.12,94.66,95.15,95.15,95.15,92.72,92.72,92.23,91.75,206
75,96.08,94.12,96.08,96.08,92.16,96.08,94.12,92.16,96.08,94.12,94.12,51
76,83.33,83.33,83.33,83.33,72.22,88.89,72.22,72.22,61.11,77.78,61.11,18
77,85.51,87.68,85.51,85.51,87.68,81.16,80.43,84.78,81.16,82.61,81.16,138
78,97.46,96.95,97.97,97.46,97.46,96.95,95.43,95.43,96.95,92.39,95.94,197
79,93.2,93.2,94.17,93.2,91.26,90.29,93.2,89.32,89.32,87.38,87.38,103
80,100.0,100.0,100.0,100.0,100.0,100.0,66.67,100.0,66.67,66.67,66.67,3
81,86.11,86.11,83.33,86.11,88.89,86.11,86.11,88.89,88.89,86.11,86.11,36
82,71.43,85.71,57.14,57.14,57.14,42.86,57.14,57.14,57.14,42.86,71.43,7
83,98.72,98.72,97.44,97.44,97.44,96.15,92.31,96.15,96.15,92.31,88.46,78
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4
85,22.22,11.11,33.33,22.22,22.22,33.33,0.0,0.0,11.11,11.11,22.22,9
86,94.38,93.82,92.7,91.01,93.82,90.45,91.01,89.89,89.89,88.76,88.2,178
87,92.41,92.41,91.14,88.61,90.51,86.71,85.44,86.08,83.54,81.65,81.65,158
88,75.0,71.43,75.0,71.43,71.43,67.86,75.0,60.71,60.71,57.14,57.14,28
89,50.0,50.0,12.5,12.5,12.5,12.5,50.0,37.5,25.0,25.0,25.0,8
90,96.6,95.95,96.93,96.28,95.95,94.66,93.85,94.5,94.01,93.2,93.2,618
91,88.14,89.83,88.14,84.75,83.05,84.75,83.05,79.66,77.97,79.66,77.97,59
92,8.33,16.67,8.33,25.0,25.0,25.0,8.33,8.33,8.33,16.67,0.0,12
93,58.62,53.45,51.72,44.83,46.55,43.1,39.66,22.41,34.48,27.59,17.24,58
94,33.33,66.67,0.0,66.67,33.33,33.33,0.0,66.67,33.33,33.33,66.67,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,28.57,28.57,28.57,14.29,14.29,42.86,14.29,28.57,28.57,42.86,14.29,7
97,76.19,76.19,74.6,77.78,74.6,76.19,73.02,68.25,66.67,76.19,76.19,63
98,100.0,100.0,66.67,33.33,33.33,66.67,33.33,33.33,66.67,33.33,66.67,3
99,94.74,94.74,84.21,89.47,84.21,89.47,84.21,84.21,78.95,84.21,78.95,19
100,100.0,83.33,83.33,100.0,83.33,100.0,66.67,83.33,33.33,83.33,66.67,6
101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5
102,92.0,100.0,92.0,92.0,96.0,96.0,92.0,80.0,100.0,88.0,84.0,25
