class,filters,error
23,night,93.23
0,night,95.93
45,night,96.23
87,night,11.39
71,night,62.5
55,night,80.09
57,night,54.59
15,night,87.97
52,night,95.04
48,night,84.88
30,night,94.66
59,night,100.0
28,night,92.19
90,night,87.54
67,night,61.11
16,night,88.64
20,night,92.64
19,night,66.04
12,night,77.55
81,night,66.67
35,night,54.29
91,night,62.71
53,night,83.19
31,night,75.0
50,night,85.27
63,night,52.0
51,night,76.54
7,night,25.0
61,night,87.5
66,night,34.62
78,night,63.96
1,night,84.09
32,night,86.24
83,night,97.44
72,night,58.14
21,night,90.32
29,night,21.05
65,night,0.0
37,night,89.21
6,night,76.67
22,night,80.0
43,night,83.33
24,night,65.0
77,night,48.55
86,night,25.28
39,night,75.76
60,night,73.02
36,night,64.29
70,night,94.83
56,night,20.83
42,night,89.74
68,night,77.78
79,night,47.57
74,night,53.4
88,night,78.57
46,night,86.67
41,night,94.85
34,night,95.24
3,night,57.14
17,night,61.54
82,night,28.57
76,night,33.33
73,night,83.67
97,night,74.6
40,night,89.36
2,night,77.78
102,night,52.0
93,night,6.9
11,night,57.78
26,night,86.36
38,night,66.67
62,night,93.94
92,night,0.0
49,night,91.07
98,night,33.33
47,night,77.78
33,night,66.67
75,night,78.43
64,night,0.0
27,night,5.88
95,night,0.0
4,night,66.67
25,night,76.19
10,night,100.0
101,night,60.0
85,night,11.11
89,night,12.5
5,night,100.0
58,night,58.33
96,night,57.14
54,night,50.0
69,night,72.73
99,night,73.68
9,night,66.67
8,night,66.67
100,night,50.0
94,night,0.0
44,night,71.43
13,night,25.0
14,night,33.33
18,night,100.0
80,night,66.67
84,night,25.0
