class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,95.93,95.93,96.75,97.56,98.37,96.75,96.75,98.37,96.75,96.75,97.56,123
1,88.64,90.91,90.91,90.91,90.91,90.91,90.91,90.91,93.18,90.91,90.91,44
2,83.33,79.63,77.78,81.48,79.63,79.63,81.48,79.63,81.48,79.63,62.96,54
3,52.38,57.14,52.38,52.38,52.38,47.62,47.62,52.38,52.38,42.86,33.33,21
4,66.67,77.78,55.56,66.67,66.67,66.67,66.67,66.67,55.56,55.56,55.56,9
5,85.71,71.43,85.71,71.43,71.43,71.43,57.14,71.43,57.14,42.86,71.43,7
6,88.33,88.33,88.33,88.33,88.33,86.67,88.33,86.67,91.67,91.67,81.67,60
7,70.0,72.5,75.0,75.0,75.0,75.0,75.0,72.5,67.5,57.5,60.0,40
8,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
10,84.62,84.62,84.62,92.31,84.62,84.62,84.62,84.62,84.62,76.92,84.62,13
11,93.33,93.33,91.11,91.11,95.56,93.33,93.33,91.11,93.33,91.11,88.89,45
12,90.82,91.84,92.86,90.82,93.88,92.86,91.84,89.8,88.78,87.76,89.8,98
13,50.0,50.0,50.0,50.0,50.0,25.0,25.0,25.0,25.0,25.0,25.0,4
14,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0.0,33.33,3
15,90.51,89.87,91.14,90.51,90.51,89.87,89.87,90.51,89.87,89.87,83.54,158
16,95.24,94.14,93.77,93.77,93.04,93.04,93.41,93.41,93.41,91.21,90.48,273
17,78.85,75.0,75.0,76.92,75.0,75.0,71.15,71.15,73.08,65.38,65.38,52
18,40.0,40.0,40.0,40.0,60.0,40.0,40.0,40.0,40.0,40.0,20.0,5
19,85.85,89.62,87.74,88.68,88.68,88.68,86.79,90.57,91.51,91.51,93.4,106
20,96.97,97.4,97.4,97.4,96.54,96.54,95.67,97.4,96.54,94.81,93.07,231
21,93.55,92.47,93.55,93.55,92.47,92.47,91.4,90.32,87.1,82.8,79.57,93
22,81.54,80.0,80.0,78.46,76.92,76.92,76.92,76.92,78.46,78.46,76.92,65
23,96.0,95.69,95.69,95.69,96.0,95.38,96.0,96.31,95.38,94.15,94.46,325
24,65.0,65.0,65.0,65.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,20
25,76.19,76.19,76.19,71.43,71.43,71.43,71.43,66.67,66.67,61.9,52.38,21
26,90.91,90.91,90.91,90.91,90.91,90.91,86.36,86.36,86.36,86.36,90.91,22
