class,filters,error
19,Original,85.85
55,Original,93.51
53,Original,87.39
23,Original,96.0
48,Original,94.75
31,Original,91.11
32,Original,96.35
0,Original,95.93
45,Original,99.25
16,Original,95.24
17,Original,78.85
30,Original,98.14
51,Original,95.06
52,Original,96.9
78,Original,97.46
74,Original,95.63
67,Original,100.0
79,Original,91.26
93,Original,84.48
66,Original,84.62
49,Original,89.29
90,Original,96.6
77,Original,87.68
15,Original,90.51
50,Original,95.17
57,Original,93.37
42,Original,96.15
61,Original,94.64
46,Original,96.47
28,Original,97.27
21,Original,93.55
63,Original,96.44
6,Original,88.33
83,Original,97.44
41,Original,93.81
86,Original,94.94
70,Original,100.0
72,Original,97.67
36,Original,96.75
35,Original,85.71
7,Original,70.0
34,Original,100.0
87,Original,91.14
12,Original,90.82
91,Original,93.22
1,Original,88.64
73,Original,97.96
40,Original,76.6
47,Original,77.78
75,Original,92.16
20,Original,96.97
11,Original,93.33
43,Original,94.44
37,Original,94.96
92,Original,58.33
97,Original,77.78
22,Original,81.54
62,Original,81.82
59,Original,100.0
2,Original,83.33
60,Original,96.83
64,Original,45.45
69,Original,63.64
54,Original,43.75
71,Original,95.83
68,Original,86.11
99,Original,78.95
29,Original,84.21
26,Original,90.91
80,Original,100.0
88,Original,71.43
85,Original,0.0
39,Original,87.88
58,Original,75.0
27,Original,0.0
94,Original,0.0
81,Original,83.33
10,Original,84.62
56,Original,66.67
24,Original,65.0
76,Original,83.33
25,Original,76.19
3,Original,52.38
9,Original,33.33
102,Original,96.0
84,Original,25.0
100,Original,83.33
33,Original,83.33
18,Original,40.0
65,Original,88.89
101,Original,100.0
96,Original,57.14
38,Original,66.67
44,Original,71.43
13,Original,50.0
8,Original,33.33
82,Original,85.71
98,Original,0.0
5,Original,85.71
95,Original,0.0
89,Original,62.5
4,Original,66.67
14,Original,33.33
