class,filters,error
45,rain1,99.25
31,rain1,92.78
30,rain1,98.14
90,rain1,96.93
50,rain1,95.17
57,rain1,93.37
74,rain1,96.12
1,rain1,88.64
15,rain1,89.24
28,rain1,97.27
32,rain1,96.07
23,rain1,95.69
53,rain1,86.55
60,rain1,92.06
93,rain1,81.03
78,rain1,97.46
14,rain1,33.33
0,rain1,95.93
19,rain1,86.79
87,rain1,93.67
79,rain1,91.26
97,rain1,79.37
83,rain1,97.44
52,rain1,96.07
51,rain1,93.83
68,rain1,88.89
63,rain1,96.44
17,rain1,78.85
54,rain1,43.75
82,rain1,85.71
43,rain1,94.44
72,rain1,97.67
67,rain1,100.0
48,rain1,93.83
40,rain1,78.72
36,rain1,97.4
96,rain1,57.14
42,rain1,93.59
24,rain1,65.0
26,rain1,86.36
61,rain1,94.64
73,rain1,97.96
75,rain1,92.16
77,rain1,89.86
29,rain1,82.46
37,rain1,95.68
49,rain1,89.29
91,rain1,93.22
55,rain1,94.37
20,rain1,96.54
21,rain1,93.55
6,rain1,83.33
66,rain1,82.31
46,rain1,96.47
11,rain1,93.33
47,rain1,74.07
86,rain1,96.07
16,rain1,95.24
22,rain1,81.54
65,rain1,88.89
41,rain1,93.81
81,rain1,80.56
59,rain1,100.0
89,rain1,50.0
39,rain1,81.82
7,rain1,75.0
2,rain1,77.78
102,rain1,96.0
70,rain1,100.0
56,rain1,70.83
12,rain1,89.8
88,rain1,75.0
69,rain1,63.64
76,rain1,83.33
3,rain1,52.38
35,rain1,88.57
99,rain1,78.95
101,rain1,100.0
34,rain1,100.0
98,rain1,0.0
33,rain1,83.33
71,rain1,95.83
100,rain1,83.33
80,rain1,100.0
10,rain1,84.62
4,rain1,88.89
62,rain1,81.82
25,rain1,76.19
44,rain1,85.71
58,rain1,75.0
38,rain1,66.67
27,rain1,0.0
9,rain1,33.33
5,rain1,71.43
64,rain1,54.55
13,rain1,100.0
84,rain1,25.0
92,rain1,58.33
8,rain1,33.33
94,rain1,0.0
95,rain1,0.0
85,rain1,0.0
18,rain1,40.0
