class,filters,error
78,Original,97.97
15,Original,90.51
23,Original,96.0
53,Original,89.92
20,Original,95.67
51,Original,95.88
32,Original,96.91
46,Original,98.04
45,Original,99.25
16,Original,92.67
68,Original,88.89
55,Original,93.51
42,Original,98.72
39,Original,81.82
90,Original,97.9
12,Original,95.92
22,Original,80.0
29,Original,82.46
36,Original,100.0
67,Original,99.44
73,Original,93.88
66,Original,89.23
81,Original,91.67
2,Original,85.19
97,Original,74.6
43,Original,94.44
52,Original,96.28
63,Original,95.56
30,Original,97.45
4,Original,66.67
74,Original,97.09
58,Original,100.0
72,Original,91.86
57,Original,92.86
70,Original,100.0
86,Original,92.7
19,Original,88.68
85,Original,44.44
48,Original,93.21
1,Original,88.64
40,Original,95.74
35,Original,97.14
0,Original,94.31
7,Original,70.0
31,Original,92.22
77,Original,89.13
21,Original,94.62
28,Original,96.48
50,Original,94.69
47,Original,85.19
41,Original,94.85
11,Original,91.11
102,Original,92.0
37,Original,96.4
64,Original,54.55
83,Original,97.44
87,Original,84.18
93,Original,70.69
49,Original,94.64
92,Original,41.67
91,Original,93.22
82,Original,85.71
26,Original,90.91
60,Original,95.24
6,Original,88.33
62,Original,72.73
99,Original,89.47
38,Original,66.67
75,Original,96.08
24,Original,60.0
88,Original,82.14
54,Original,56.25
80,Original,100.0
71,Original,100.0
76,Original,88.89
10,Original,84.62
34,Original,100.0
56,Original,70.83
25,Original,76.19
79,Original,96.12
17,Original,84.62
69,Original,63.64
61,Original,96.43
9,Original,33.33
33,Original,77.78
5,Original,71.43
65,Original,77.78
89,Original,62.5
3,Original,61.9
13,Original,75.0
59,Original,100.0
27,Original,5.88
18,Original,60.0
44,Original,71.43
101,Original,100.0
94,Original,0.0
95,Original,33.33
14,Original,33.33
84,Original,25.0
100,Original,100.0
96,Original,28.57
8,Original,0.0
98,Original,66.67
