class,filters,error
46,Original,97.25
21,Original,84.95
51,Original,94.65
50,Original,96.86
19,Original,92.45
16,Original,94.87
77,Original,89.13
33,Original,77.78
23,Original,96.62
55,Original,96.54
28,Original,97.66
32,Original,96.91
2,Original,88.89
70,Original,98.28
74,Original,97.09
52,Original,94.63
66,Original,86.15
48,Original,97.53
45,Original,97.36
57,Original,90.31
97,Original,71.43
31,Original,94.44
20,Original,96.54
90,Original,96.93
63,Original,92.0
87,Original,84.18
78,Original,92.39
79,Original,90.29
67,Original,98.89
41,Original,96.91
62,Original,93.94
1,Original,97.73
71,Original,100.0
43,Original,90.74
12,Original,96.94
102,Original,96.0
36,Original,98.7
15,Original,95.57
73,Original,93.88
25,Original,95.24
0,Original,95.93
53,Original,91.6
86,Original,89.89
4,Original,88.89
6,Original,78.33
61,Original,92.86
30,Original,98.61
83,Original,93.59
68,Original,94.44
40,Original,82.98
42,Original,98.72
7,Original,85.0
56,Original,79.17
58,Original,100.0
91,Original,84.75
24,Original,75.0
22,Original,84.62
37,Original,95.68
93,Original,81.03
17,Original,84.62
29,Original,73.68
60,Original,84.13
100,Original,50.0
10,Original,84.62
13,Original,100.0
88,Original,75.0
47,Original,85.19
59,Original,100.0
64,Original,90.91
65,Original,22.22
75,Original,92.16
34,Original,95.24
35,Original,100.0
76,Original,88.89
11,Original,88.89
81,Original,86.11
38,Original,66.67
49,Original,91.07
39,Original,87.88
3,Original,76.19
72,Original,95.35
82,Original,100.0
89,Original,37.5
26,Original,95.45
92,Original,66.67
54,Original,56.25
14,Original,0.0
99,Original,84.21
27,Original,23.53
5,Original,85.71
96,Original,0.0
80,Original,100.0
44,Original,100.0
69,Original,54.55
95,Original,33.33
101,Original,100.0
85,Original,44.44
84,Original,0.0
18,Original,100.0
98,Original,100.0
94,Original,0.0
9,Original,100.0
8,Original,66.67
