class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
0,95.93,92.68,90.24,51.22,39.84,66.67,92.68,93.5,91.06,93.5,85.37,86.99,78.05,54.47,68.29,95.93,92.68,90.24,123
1,97.73,88.64,81.82,18.18,56.82,29.55,95.45,81.82,79.55,75.0,70.45,65.91,70.45,47.73,47.73,97.73,88.64,81.82,44
2,88.89,81.48,88.89,40.74,46.3,68.52,90.74,87.04,90.74,83.33,81.48,85.19,66.67,77.78,70.37,88.89,81.48,88.89,54
3,76.19,47.62,61.9,9.52,4.76,61.9,80.95,47.62,71.43,61.9,47.62,61.9,47.62,28.57,33.33,71.43,42.86,61.9,21
4,88.89,66.67,66.67,11.11,0.0,0.0,88.89,66.67,66.67,77.78,66.67,55.56,44.44,33.33,22.22,88.89,66.67,66.67,9
5,85.71,57.14,100.0,28.57,0.0,28.57,71.43,28.57,100.0,85.71,57.14,100.0,71.43,28.57,57.14,85.71,71.43,100.0,7
6,78.33,78.33,98.33,28.33,65.0,80.0,71.67,76.67,98.33,76.67,83.33,96.67,58.33,63.33,81.67,80.0,80.0,98.33,60
7,85.0,52.5,80.0,0.0,0.0,12.5,85.0,37.5,65.0,57.5,50.0,60.0,32.5,37.5,27.5,85.0,52.5,77.5,40
8,66.67,33.33,66.67,0.0,0.0,0.0,66.67,0.0,33.33,66.67,0.0,66.67,0.0,66.67,0.0,66.67,33.33,66.67,3
9,100.0,66.67,66.67,33.33,0.0,0.0,100.0,66.67,66.67,100.0,100.0,66.67,66.67,33.33,0.0,100.0,66.67,66.67,3
10,84.62,92.31,92.31,15.38,30.77,69.23,92.31,84.62,84.62,84.62,84.62,84.62,84.62,61.54,84.62,84.62,92.31,92.31,13
11,88.89,75.56,82.22,24.44,28.89,46.67,80.0,71.11,80.0,84.44,84.44,71.11,66.67,48.89,46.67,88.89,75.56,84.44,45
12,96.94,86.73,86.73,32.65,17.35,35.71,94.9,84.69,84.69,76.53,69.39,66.33,56.12,46.94,45.92,96.94,85.71,86.73,98
13,100.0,25.0,75.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,100.0,25.0,75.0,4
14,0.0,33.33,66.67,0.0,0.0,33.33,33.33,33.33,33.33,0.0,33.33,33.33,0.0,0.0,0.0,0.0,33.33,66.67,3
15,95.57,94.3,98.1,18.99,31.01,69.62,94.3,91.77,94.94,92.41,93.67,96.84,67.09,84.18,70.25,95.57,94.3,98.1,158
16,94.87,93.41,92.67,52.38,72.53,71.79,93.41,93.41,87.91,91.58,90.84,88.28,82.05,80.59,71.43,94.87,93.04,91.58,273
17,84.62,73.08,86.54,19.23,5.77,25.0,75.0,34.62,76.92,82.69,73.08,80.77,63.46,50.0,63.46,84.62,75.0,86.54,52
18,100.0,40.0,100.0,80.0,40.0,40.0,100.0,40.0,100.0,100.0,40.0,100.0,80.0,20.0,40.0,100.0,40.0,100.0,5
19,92.45,75.47,79.25,16.98,12.26,19.81,86.79,68.87,74.53,71.7,60.38,46.23,40.57,24.53,18.87,91.51,76.42,81.13,106
20,96.54,91.34,93.51,51.52,50.65,74.46,95.24,80.52,93.51,93.07,86.15,93.51,85.28,72.29,78.35,96.54,91.34,93.07,231
21,84.95,81.72,88.17,10.75,16.13,53.76,82.8,67.74,82.8,79.57,77.42,83.87,60.22,58.06,62.37,84.95,81.72,89.25,93
22,84.62,78.46,81.54,67.69,58.46,66.15,78.46,81.54,81.54,84.62,78.46,86.15,80.0,72.31,78.46,84.62,78.46,81.54,65
23,96.62,90.46,94.15,49.23,27.69,63.38,96.0,89.23,93.54,92.92,83.08,92.31,84.0,67.08,78.77,96.31,91.08,93.85,325
24,75.0,40.0,30.0,5.0,10.0,5.0,70.0,35.0,20.0,60.0,30.0,20.0,35.0,5.0,10.0,75.0,35.0,35.0,20
25,95.24,71.43,85.71,33.33,42.86,47.62,95.24,85.71,85.71,90.48,66.67,66.67,71.43,52.38,61.9,95.24,71.43,76.19,21
26,95.45,90.91,90.91,31.82,50.0,40.91,86.36,81.82,86.36,86.36,95.45,81.82,68.18,63.64,63.64,95.45,86.36,90.91,22
27,23.53,23.53,47.06,5.88,0.0,23.53,0.0,5.88,47.06,23.53,11.76,35.29,23.53,5.88,17.65,23.53,17.65,41.18,17
28,97.66,92.97,91.41,48.05,69.14,63.67,97.66,92.97,87.89,89.45,86.33,79.69,69.14,54.3,51.95,97.66,93.36,92.58,256
29,73.68,42.11,64.91,12.28,17.54,15.79,45.61,26.32,61.4,38.6,26.32,36.84,26.32,26.32,17.54,73.68,42.11,68.42,57
30,98.61,97.22,97.68,72.85,77.03,74.01,97.91,95.82,97.45,96.29,95.59,94.2,89.1,72.85,81.67,98.61,97.22,97.45,431
31,94.44,90.0,95.0,38.33,40.0,34.44,75.0,71.67,81.67,89.44,86.11,93.33,90.0,68.89,83.89,93.89,90.56,93.89,180
32,96.91,95.51,95.79,71.91,91.29,79.78,95.79,89.04,88.48,94.94,91.29,88.48,78.09,73.88,64.89,97.75,96.35,95.79,356
33,77.78,77.78,88.89,44.44,38.89,44.44,72.22,77.78,77.78,77.78,77.78,83.33,83.33,61.11,83.33,77.78,77.78,88.89,18
34,95.24,95.24,100.0,19.05,57.14,90.48,85.71,90.48,100.0,95.24,95.24,100.0,85.71,85.71,90.48,100.0,95.24,100.0,21
35,100.0,77.14,88.57,40.0,34.29,11.43,82.86,48.57,71.43,94.29,74.29,71.43,94.29,48.57,57.14,100.0,77.14,85.71,35
36,98.7,100.0,97.4,71.43,87.01,61.04,87.66,83.12,75.97,98.7,98.7,94.81,92.21,80.52,74.68,98.7,100.0,97.4,154
37,95.68,95.68,97.12,43.17,51.8,41.01,94.24,85.61,91.37,94.96,93.53,93.53,79.86,58.27,56.83,95.68,95.68,95.68,139
38,66.67,66.67,77.78,0.0,33.33,55.56,44.44,66.67,100.0,66.67,88.89,88.89,66.67,66.67,55.56,66.67,66.67,77.78,9
39,87.88,78.79,75.76,30.3,27.27,24.24,81.82,60.61,63.64,78.79,75.76,78.79,60.61,57.58,51.52,87.88,78.79,75.76,33
40,82.98,91.49,93.62,31.91,53.19,65.96,72.34,85.11,91.49,76.6,87.23,87.23,65.96,70.21,74.47,82.98,91.49,93.62,47
41,96.91,95.88,94.85,40.21,51.55,42.27,93.81,89.69,90.72,91.75,79.38,72.16,81.44,60.82,47.42,96.91,94.85,93.81,97
42,98.72,94.87,96.15,58.97,42.31,56.41,93.59,91.03,91.03,97.44,93.59,96.15,88.46,62.82,71.79,97.44,94.87,96.15,78
43,90.74,94.44,90.74,42.59,66.67,53.7,90.74,90.74,83.33,90.74,92.59,85.19,79.63,68.52,62.96,90.74,94.44,90.74,54
44,100.0,85.71,71.43,0.0,28.57,28.57,100.0,85.71,57.14,100.0,85.71,71.43,85.71,57.14,42.86,100.0,85.71,71.43,7
45,97.36,95.85,98.11,60.38,27.17,41.13,95.85,89.06,97.36,93.96,88.68,87.17,81.89,56.23,61.89,97.36,96.98,97.74,265
46,97.25,96.08,91.37,15.69,10.98,7.06,92.94,91.76,83.92,80.78,68.63,45.88,49.8,21.96,15.69,96.86,96.08,91.76,255
47,85.19,92.59,96.3,22.22,3.7,3.7,96.3,74.07,74.07,70.37,85.19,85.19,55.56,37.04,51.85,88.89,96.3,96.3,27
48,97.53,91.98,92.59,56.79,72.53,66.67,96.6,90.43,92.9,94.75,91.36,89.51,86.42,76.54,73.77,97.53,91.98,91.98,324
49,91.07,89.29,92.86,39.29,33.93,69.64,94.64,85.71,89.29,94.64,85.71,91.07,78.57,69.64,89.29,91.07,89.29,92.86,56
50,96.86,91.79,91.06,37.44,48.55,50.72,87.68,86.96,91.3,87.92,76.81,83.33,69.57,57.73,62.56,96.86,91.55,91.79,414
51,94.65,85.6,90.95,20.58,9.88,17.28,84.77,82.72,85.19,74.49,60.08,75.72,51.44,37.45,40.33,93.42,83.95,89.71,243
52,94.63,94.21,96.28,25.21,28.72,42.98,89.26,88.22,94.01,75.0,75.0,86.36,49.38,46.69,59.71,94.63,94.83,95.87,484
53,91.6,84.03,86.55,18.49,31.51,36.55,89.5,69.75,83.61,81.51,73.11,71.43,57.14,46.64,41.6,91.6,84.03,86.97,238
54,56.25,56.25,62.5,12.5,18.75,43.75,37.5,37.5,50.0,43.75,43.75,62.5,50.0,56.25,37.5,56.25,56.25,62.5,16
55,96.54,92.64,89.61,8.23,16.45,14.72,88.74,80.52,72.73,75.76,73.16,64.94,52.38,32.9,34.63,95.24,92.21,89.18,231
56,79.17,54.17,70.83,4.17,4.17,29.17,16.67,12.5,37.5,50.0,45.83,54.17,25.0,16.67,45.83,83.33,54.17,66.67,24
57,90.31,76.53,84.69,8.16,8.16,4.08,82.14,65.82,67.35,59.69,53.06,53.06,34.69,18.88,24.49,89.29,77.04,84.18,196
58,100.0,91.67,100.0,8.33,0.0,25.0,66.67,83.33,100.0,83.33,83.33,83.33,50.0,25.0,33.33,91.67,91.67,100.0,12
59,100.0,100.0,100.0,51.85,25.93,55.56,100.0,100.0,100.0,100.0,77.78,88.89,85.19,29.63,59.26,100.0,100.0,100.0,27
60,84.13,92.06,95.24,9.52,12.7,6.35,85.71,98.41,80.95,60.32,65.08,73.02,20.63,28.57,22.22,84.13,92.06,95.24,63
61,92.86,87.5,83.93,50.0,35.71,30.36,89.29,91.07,78.57,89.29,83.93,67.86,62.5,48.21,42.86,92.86,87.5,83.93,56
62,93.94,69.7,87.88,27.27,6.06,18.18,93.94,78.79,84.85,84.85,48.48,54.55,60.61,33.33,24.24,93.94,69.7,84.85,33
63,92.0,86.67,93.33,5.33,8.89,17.78,42.67,40.0,59.56,80.89,68.89,79.11,76.0,47.11,56.89,92.0,86.67,93.33,225
64,90.91,45.45,54.55,0.0,0.0,0.0,0.0,18.18,9.09,45.45,27.27,27.27,27.27,0.0,27.27,90.91,45.45,54.55,11
65,22.22,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,33.33,9
66,86.15,77.69,75.38,5.38,19.23,10.0,33.85,24.62,36.92,74.62,56.92,53.85,68.46,26.15,34.62,84.62,79.23,75.38,130
67,98.89,98.33,99.44,35.56,39.44,32.22,68.89,85.56,95.0,84.44,78.33,91.11,63.89,54.44,64.44,98.89,98.33,99.44,180
68,94.44,77.78,83.33,13.89,5.56,22.22,83.33,52.78,66.67,83.33,69.44,63.89,52.78,41.67,44.44,91.67,77.78,83.33,36
69,54.55,72.73,72.73,27.27,27.27,36.36,54.55,63.64,72.73,54.55,63.64,63.64,63.64,36.36,63.64,54.55,72.73,72.73,11
70,98.28,100.0,100.0,44.83,51.72,56.9,91.38,87.93,93.1,96.55,94.83,94.83,89.66,74.14,77.59,98.28,100.0,100.0,58
71,100.0,100.0,95.83,4.17,0.0,20.83,12.5,75.0,87.5,95.83,75.0,87.5,70.83,45.83,79.17,100.0,100.0,95.83,24
72,95.35,90.7,93.02,17.44,16.28,19.77,66.28,65.12,54.65,96.51,84.88,83.72,86.05,59.3,60.47,95.35,90.7,93.02,86
73,93.88,97.96,91.84,38.78,26.53,40.82,67.35,53.06,81.63,91.84,95.92,87.76,89.8,77.55,71.43,91.84,97.96,91.84,49
74,97.09,94.17,96.6,51.46,69.9,52.43,69.9,83.5,92.72,92.72,91.75,93.2,76.21,71.84,71.84,97.09,95.15,98.06,206
75,92.16,86.27,92.16,52.94,54.9,66.67,39.22,49.02,72.55,80.39,80.39,78.43,72.55,72.55,76.47,92.16,86.27,92.16,51
76,88.89,94.44,88.89,44.44,50.0,33.33,72.22,66.67,66.67,83.33,77.78,88.89,83.33,61.11,27.78,88.89,94.44,88.89,18
77,89.13,84.06,85.51,19.57,7.97,21.01,25.36,50.72,56.52,84.06,64.49,79.71,68.12,53.62,61.59,88.41,83.33,85.51,138
78,92.39,90.36,91.88,42.64,26.9,10.15,88.32,77.16,61.93,90.36,84.26,79.7,61.42,47.72,55.33,92.39,89.85,91.37,197
79,90.29,90.29,92.23,44.66,37.86,42.72,65.05,83.5,88.35,90.29,87.38,92.23,72.82,64.08,78.64,90.29,91.26,92.23,103
80,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,66.67,100.0,100.0,100.0,100.0,66.67,100.0,100.0,100.0,100.0,3
81,86.11,83.33,83.33,2.78,0.0,0.0,38.89,16.67,50.0,75.0,66.67,66.67,63.89,22.22,36.11,86.11,86.11,83.33,36
82,100.0,85.71,57.14,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.71,42.86,57.14,28.57,14.29,100.0,85.71,57.14,7
