class,filters,error
90,snow,91.1
12,snow,56.12
74,snow,76.21
78,snow,61.42
25,snow,71.43
49,snow,78.57
45,snow,81.89
52,snow,49.38
32,snow,78.09
53,snow,57.14
36,snow,92.21
87,snow,46.2
77,snow,68.12
16,snow,82.05
46,snow,49.8
28,snow,69.14
79,snow,72.82
0,snow,78.05
50,snow,69.57
18,snow,80.0
86,snow,55.06
66,snow,68.46
19,snow,40.57
20,snow,85.28
1,snow,70.45
35,snow,94.29
76,snow,83.33
30,snow,89.1
60,snow,20.63
63,snow,76.0
23,snow,84.0
41,snow,81.44
48,snow,86.42
91,snow,71.19
71,snow,70.83
72,snow,86.05
22,snow,80.0
39,snow,60.61
54,snow,50.0
38,snow,66.67
55,snow,52.38
15,snow,67.09
61,snow,62.5
67,snow,63.89
51,snow,51.44
10,snow,84.62
59,snow,85.19
83,snow,73.08
42,snow,88.46
31,snow,90.0
37,snow,79.86
97,snow,68.25
40,snow,65.96
73,snow,89.8
57,snow,34.69
70,snow,89.66
17,snow,63.46
26,snow,68.18
62,snow,60.61
102,snow,60.0
9,snow,66.67
3,snow,47.62
75,snow,72.55
64,snow,27.27
68,snow,52.78
2,snow,66.67
11,snow,66.67
21,snow,60.22
93,snow,65.52
6,snow,58.33
43,snow,79.63
44,snow,85.71
7,snow,32.5
5,snow,71.43
99,snow,36.84
29,snow,26.32
88,snow,46.43
96,snow,0.0
81,snow,63.89
33,snow,83.33
47,snow,55.56
34,snow,85.71
27,snow,23.53
56,snow,25.0
58,snow,50.0
100,snow,33.33
89,snow,12.5
65,snow,0.0
24,snow,35.0
69,snow,63.64
84,snow,0.0
80,snow,100.0
92,snow,50.0
4,snow,44.44
85,snow,33.33
95,snow,0.0
98,snow,0.0
13,snow,25.0
101,snow,80.0
82,snow,57.14
94,snow,0.0
8,snow,0.0
14,snow,0.0
