filter,class,predicted_class
Original,77,77
fog10,77,74
Original,52,52
fog10,52,97
Original,30,30
fog10,30,49
Original,32,32
fog10,32,51
Original,46,46
fog10,46,31
Original,48,48
fog10,48,66
Original,46,46
fog10,46,74
Original,87,87
fog10,87,66
Original,48,48
fog10,48,90
Original,45,45
fog10,45,86
Original,29,29
fog10,29,90
Original,36,36
fog10,36,93
Original,67,67
fog10,67,90
Original,50,50
fog10,50,74
Original,52,52
fog10,52,31
Original,30,30
fog10,30,66
Original,90,90
fog10,90,74
Original,63,63
fog10,63,66
Original,57,57
fog10,57,30
Original,46,46
fog10,46,66
Original,24,24
fog10,24,74
Original,36,36
fog10,36,90
Original,30,30
fog10,30,16
Original,51,51
fog10,51,60
Original,21,21
fog10,21,31
Original,31,31
fog10,31,30
Original,94,93
fog10,94,97
Original,64,65
fog10,64,30
Original,97,97
fog10,97,91
Original,50,50
fog10,50,90
Original,45,45
fog10,45,32
Original,37,37
fog10,37,16
Original,48,48
fog10,48,35
Original,52,52
fog10,52,90
Original,59,59
fog10,59,86
Original,45,45
fog10,45,66
Original,87,87
fog10,87,90
Original,42,42
fog10,42,90
Original,93,93
fog10,93,30
Original,90,90
fog10,90,66
Original,29,29
fog10,29,31
Original,90,90
fog10,90,86
Original,31,31
fog10,31,37
Original,23,23
fog10,23,90
Original,67,67
fog10,67,21
Original,36,36
fog10,36,90
Original,30,30
fog10,30,90
Original,87,87
fog10,87,89
Original,43,43
fog10,43,35
Original,90,90
fog10,90,60
Original,15,15
fog10,15,90
Original,67,67
fog10,67,97
Original,52,52
fog10,52,49
Original,63,63
fog10,63,88
Original,50,50
fog10,50,60
Original,70,70
fog10,70,74
Original,22,22
fog10,22,74
Original,45,45
fog10,45,16
Original,42,42
fog10,42,86
Original,37,37
fog10,37,66
Original,51,51
fog10,51,16
Original,66,32
fog10,66,30
Original,37,37
fog10,37,86
Original,15,15
fog10,15,16
Original,51,51
fog10,51,16
Original,90,90
fog10,90,74
Original,28,28
fog10,28,66
Original,30,30
fog10,30,86
Original,48,52
fog10,48,21
Original,50,50
fog10,50,90
Original,55,55
fog10,55,16
Original,34,34
fog10,34,90
Original,78,78
fog10,78,97
Original,37,37
fog10,37,97
Original,91,91
fog10,91,86
Original,88,89
fog10,88,90
Original,56,56
fog10,56,16
Original,16,51
fog10,16,76
Original,57,57
fog10,57,90
Original,50,50
