class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,95.12,96.75,96.75,95.93,95.12,94.31,93.5,95.93,94.31,94.31,96.75,123
1,93.18,90.91,93.18,93.18,88.64,90.91,88.64,90.91,93.18,88.64,88.64,44
2,90.74,90.74,90.74,90.74,94.44,88.89,90.74,87.04,88.89,92.59,88.89,54
3,76.19,66.67,71.43,71.43,71.43,66.67,71.43,71.43,71.43,66.67,61.9,21
4,88.89,88.89,88.89,88.89,77.78,77.78,88.89,88.89,88.89,88.89,66.67,9
5,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,7
6,90.0,91.67,90.0,86.67,88.33,86.67,85.0,90.0,86.67,88.33,85.0,60
7,87.5,90.0,82.5,85.0,85.0,80.0,87.5,75.0,72.5,65.0,72.5,40
8,33.33,33.33,33.33,0.0,33.33,33.33,0.0,0.0,33.33,66.67,0.0,3
9,33.33,33.33,33.33,33.33,33.33,33.33,66.67,66.67,33.33,66.67,33.33,3
10,92.31,92.31,92.31,92.31,92.31,92.31,100.0,100.0,100.0,92.31,92.31,13
11,86.67,86.67,84.44,88.89,82.22,86.67,86.67,86.67,93.33,82.22,84.44,45
12,95.92,95.92,94.9,95.92,92.86,93.88,92.86,90.82,90.82,88.78,91.84,98
13,50.0,50.0,50.0,50.0,25.0,25.0,25.0,25.0,50.0,50.0,25.0,4
14,33.33,33.33,0.0,33.33,0.0,33.33,33.33,33.33,0.0,33.33,33.33,3
15,95.57,96.2,94.94,96.2,95.57,95.57,96.84,96.84,96.2,96.2,96.2,158
16,92.31,92.67,92.31,91.58,90.84,90.48,90.84,90.84,91.58,90.48,91.21,273
17,88.46,86.54,88.46,86.54,88.46,86.54,84.62,84.62,82.69,84.62,86.54,52
18,60.0,60.0,60.0,60.0,80.0,80.0,60.0,40.0,40.0,60.0,40.0,5
19,95.28,93.4,93.4,93.4,94.34,91.51,92.45,89.62,91.51,90.57,88.68,106
