class,filters,error
70,rain3,100.0
30,rain3,97.22
50,rain3,93.0
90,rain3,98.06
23,rain3,98.15
53,rain3,91.18
78,rain3,96.95
61,rain3,92.86
32,rain3,97.75
51,rain3,95.88
19,rain3,93.4
86,rain3,93.82
97,rain3,87.3
48,rain3,94.14
67,rain3,99.44
16,rain3,91.58
46,rain3,96.47
52,rain3,98.35
28,rain3,96.09
11,rain3,88.89
15,rain3,96.2
7,rain3,85.0
1,rain3,93.18
21,rain3,91.4
63,rain3,92.89
81,rain3,91.67
77,rain3,89.13
57,rain3,96.43
72,rain3,96.51
55,rain3,96.54
41,rain3,97.94
87,rain3,68.35
93,rain3,51.72
42,rain3,92.31
83,rain3,92.31
74,rain3,96.6
2,rain3,90.74
33,rain3,83.33
40,rain3,91.49
45,rain3,98.49
31,rain3,95.56
37,rain3,94.24
29,rain3,84.21
91,rain3,81.36
17,rain3,86.54
58,rain3,83.33
82,rain3,85.71
100,rain3,83.33
4,rain3,88.89
62,rain3,93.94
66,rain3,83.85
99,rain3,94.74
27,rain3,0.0
20,rain3,97.84
39,rain3,90.91
36,rain3,100.0
34,rain3,100.0
0,rain3,95.93
26,rain3,86.36
92,rain3,33.33
59,rain3,100.0
88,rain3,71.43
47,rain3,66.67
24,rain3,90.0
49,rain3,92.86
22,rain3,80.0
79,rain3,92.23
35,rain3,97.14
60,rain3,87.3
12,rain3,95.92
68,rain3,94.44
85,rain3,22.22
101,rain3,80.0
6,rain3,86.67
75,rain3,90.2
54,rain3,50.0
5,rain3,85.71
10,rain3,92.31
95,rain3,0.0
71,rain3,100.0
43,rain3,92.59
73,rain3,95.92
56,rain3,75.0
3,rain3,71.43
64,rain3,63.64
76,rain3,88.89
25,rain3,95.24
69,rain3,63.64
65,rain3,55.56
38,rain3,100.0
96,rain3,28.57
84,rain3,25.0
8,rain3,0.0
14,rain3,33.33
44,rain3,71.43
18,rain3,60.0
89,rain3,87.5
102,rain3,96.0
13,rain3,50.0
9,rain3,33.33
94,rain3,0.0
98,rain3,100.0
80,rain3,100.0
