class,filters,error
63,rain7,93.78
23,rain7,96.62
52,rain7,94.83
28,rain7,94.92
72,rain7,97.67
15,rain7,96.84
12,rain7,90.82
41,rain7,96.91
86,rain7,93.26
97,rain7,84.13
32,rain7,96.07
48,rain7,93.52
70,rain7,100.0
57,rain7,92.86
90,rain7,97.25
53,rain7,84.45
51,rain7,94.65
30,rain7,97.22
20,rain7,97.4
50,rain7,93.48
16,rain7,90.84
67,rain7,96.11
102,rain7,92.0
81,rain7,91.67
0,rain7,95.93
31,rain7,93.89
46,rain7,96.08
74,rain7,96.6
55,rain7,95.67
21,rain7,91.4
59,rain7,96.3
6,rain7,90.0
91,rain7,86.44
45,rain7,98.49
1,rain7,90.91
35,rain7,100.0
68,rain7,94.44
36,rain7,100.0
49,rain7,94.64
77,rain7,86.23
78,rain7,97.46
66,rain7,87.69
29,rain7,77.19
3,rain7,71.43
87,rain7,62.03
96,rain7,28.57
79,rain7,92.23
69,rain7,72.73
62,rain7,90.91
98,rain7,100.0
9,rain7,66.67
89,rain7,87.5
47,rain7,70.37
7,rain7,75.0
93,rain7,53.45
39,rain7,93.94
37,rain7,93.53
75,rain7,86.27
42,rain7,93.59
40,rain7,89.36
22,rain7,81.54
84,rain7,25.0
26,rain7,86.36
5,rain7,85.71
11,rain7,86.67
19,rain7,89.62
60,rain7,88.89
99,rain7,94.74
83,rain7,89.74
61,rain7,92.86
43,rain7,92.59
76,rain7,88.89
54,rain7,62.5
18,rain7,40.0
71,rain7,100.0
101,rain7,100.0
2,rain7,87.04
27,rain7,0.0
38,rain7,100.0
73,rain7,95.92
95,rain7,0.0
100,rain7,66.67
33,rain7,83.33
14,rain7,33.33
25,rain7,90.48
88,rain7,57.14
34,rain7,100.0
64,rain7,54.55
92,rain7,25.0
17,rain7,84.62
10,rain7,100.0
13,rain7,25.0
56,rain7,62.5
82,rain7,100.0
44,rain7,71.43
85,rain7,22.22
58,rain7,91.67
24,rain7,70.0
8,rain7,0.0
65,rain7,66.67
4,rain7,88.89
94,rain7,0.0
80,rain7,100.0
