class,filters,error
77,snow6,87.68
90,snow6,94.17
16,snow6,89.74
52,snow6,86.16
20,snow6,92.21
102,snow6,88.0
12,snow6,83.67
83,snow6,66.67
1,snow6,88.64
30,snow6,95.36
57,snow6,81.63
55,snow6,69.7
47,snow6,59.26
32,snow6,91.01
67,snow6,81.67
63,snow6,80.0
86,snow6,79.21
78,snow6,83.76
37,snow6,87.05
15,snow6,93.04
35,snow6,82.86
66,snow6,66.92
94,snow6,0.0
28,snow6,83.59
39,snow6,81.82
43,snow6,88.89
48,snow6,91.67
23,snow6,94.15
70,snow6,96.55
87,snow6,53.16
40,snow6,85.11
19,snow6,77.36
50,snow6,81.16
11,snow6,71.11
51,snow6,80.66
53,snow6,70.59
74,snow6,87.86
46,snow6,85.1
0,snow6,89.43
60,snow6,69.84
41,snow6,95.88
73,snow6,97.96
31,snow6,87.78
56,snow6,33.33
97,snow6,84.13
45,snow6,89.06
79,snow6,89.32
6,snow6,85.0
65,snow6,22.22
71,snow6,91.67
68,snow6,83.33
49,snow6,92.86
62,snow6,87.88
36,snow6,99.35
21,snow6,89.25
3,snow6,57.14
81,snow6,83.33
2,snow6,85.19
22,snow6,81.54
34,snow6,100.0
92,snow6,25.0
88,snow6,60.71
91,snow6,66.1
7,snow6,52.5
25,snow6,76.19
29,snow6,66.67
75,snow6,88.24
58,snow6,83.33
17,snow6,84.62
72,snow6,97.67
24,snow6,70.0
59,snow6,92.59
33,snow6,83.33
100,snow6,33.33
26,snow6,90.91
61,snow6,85.71
42,snow6,89.74
93,snow6,24.14
27,snow6,0.0
10,snow6,92.31
44,snow6,85.71
54,snow6,25.0
80,snow6,100.0
9,snow6,66.67
38,snow6,77.78
76,snow6,55.56
99,snow6,78.95
13,snow6,25.0
64,snow6,54.55
89,snow6,62.5
85,snow6,11.11
98,snow6,0.0
96,snow6,28.57
82,snow6,85.71
18,snow6,40.0
84,snow6,25.0
4,snow6,55.56
95,snow6,0.0
101,snow6,100.0
14,snow6,0.0
69,snow6,72.73
5,snow6,85.71
8,snow6,33.33
