class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,97.56,91.06,91.87,94.31,87.8,86.18,78.86,66.67,39.84,5.69,0.0,123
1,90.91,84.09,84.09,70.45,77.27,63.64,40.91,38.64,20.45,6.82,0.0,44
2,85.19,77.78,68.52,62.96,55.56,66.67,38.89,35.19,9.26,3.7,0.0,54
3,52.38,71.43,52.38,66.67,61.9,57.14,38.1,33.33,14.29,0.0,0.0,21
4,88.89,88.89,77.78,88.89,44.44,55.56,33.33,0.0,0.0,0.0,0.0,9
5,85.71,71.43,71.43,71.43,57.14,42.86,28.57,0.0,0.0,0.0,0.0,7
6,88.33,85.0,85.0,85.0,76.67,76.67,70.0,58.33,35.0,3.33,0.0,60
7,85.0,60.0,60.0,52.5,37.5,27.5,15.0,10.0,2.5,0.0,0.0,40
8,66.67,33.33,33.33,66.67,33.33,0.0,33.33,0.0,0.0,0.0,0.0,3
9,66.67,100.0,100.0,100.0,66.67,66.67,100.0,33.33,33.33,0.0,0.0,3
10,84.62,84.62,76.92,69.23,53.85,38.46,30.77,30.77,0.0,0.0,0.0,13
11,95.56,91.11,91.11,91.11,84.44,80.0,73.33,66.67,33.33,11.11,0.0,45
12,89.8,86.73,87.76,84.69,77.55,68.37,58.16,38.78,31.63,10.2,0.0,98
13,50.0,25.0,25.0,25.0,50.0,50.0,25.0,50.0,25.0,0.0,0.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,92.41,91.77,93.04,90.51,86.08,84.18,72.78,55.7,29.11,3.8,0.0,158
16,94.87,93.04,94.51,91.58,91.58,87.91,79.85,67.77,45.79,17.95,1.83,273
17,84.62,84.62,76.92,80.77,69.23,57.69,46.15,40.38,9.62,1.92,0.0,52
18,60.0,40.0,40.0,0.0,40.0,0.0,20.0,20.0,0.0,0.0,0.0,5
19,91.51,91.51,85.85,83.96,83.96,79.25,65.09,45.28,25.47,4.72,0.0,106
20,95.67,95.67,95.67,93.51,92.21,90.91,84.85,75.76,54.98,19.48,0.0,231
21,96.77,90.32,92.47,90.32,82.8,83.87,74.19,50.54,44.09,20.43,1.08,93
22,81.54,81.54,81.54,81.54,81.54,75.38,73.85,72.31,58.46,23.08,0.0,65
23,95.38,94.46,93.54,92.31,90.77,87.38,83.38,72.92,53.23,17.85,0.92,325
24,70.0,60.0,45.0,45.0,45.0,30.0,10.0,5.0,5.0,0.0,0.0,20
25,76.19,80.95,76.19,80.95,66.67,66.67,52.38,57.14,23.81,0.0,0.0,21
26,86.36,90.91,81.82,86.36,77.27,68.18,72.73,36.36,13.64,0.0,0.0,22
27,5.88,5.88,5.88,0.0,5.88,11.76,0.0,0.0,0.0,0.0,0.0,17
28,96.88,97.27,96.09,95.7,94.92,93.36,88.28,81.25,65.23,32.03,3.12,256
29,82.46,77.19,75.44,68.42,57.89,49.12,29.82,12.28,7.02,1.75,0.0,57
30,98.14,96.52,96.98,96.75,95.82,95.36,92.58,90.02,82.6,61.48,9.51,431
31,91.11,91.11,91.67,91.67,90.56,88.33,88.33,80.56,78.89,56.11,17.78,180
32,96.63,95.51,95.79,96.07,94.66,93.54,91.57,88.76,83.43,63.76,12.92,356
33,83.33,77.78,83.33,83.33,72.22,61.11,44.44,38.89,16.67,11.11,0.0,18
34,95.24,100.0,100.0,95.24,100.0,90.48,85.71,80.95,38.1,14.29,0.0,21
35,91.43,85.71,80.0,82.86,74.29,65.71,57.14,48.57,25.71,5.71,0.0,35
36,97.4,96.1,95.45,95.45,97.4,96.75,95.45,92.21,90.26,70.13,6.49,154
37,95.68,96.4,94.24,97.12,94.96,90.65,89.21,67.63,44.6,17.27,0.0,139
38,66.67,55.56,55.56,66.67,44.44,44.44,55.56,33.33,33.33,0.0,0.0,9
39,87.88,87.88,78.79,78.79,72.73,72.73,69.7,42.42,27.27,3.03,0.0,33
40,78.72,76.6,76.6,74.47,68.09,61.7,51.06,31.91,21.28,6.38,0.0,47
41,93.81,93.81,91.75,88.66,90.72,84.54,85.57,75.26,58.76,18.56,0.0,97
42,92.31,88.46,85.9,88.46,82.05,79.49,73.08,66.67,50.0,17.95,0.0,78
43,92.59,92.59,96.3,90.74,85.19,88.89,74.07,74.07,42.59,9.26,0.0,54
44,85.71,71.43,85.71,71.43,71.43,57.14,42.86,57.14,42.86,14.29,0.0,7
45,98.11,97.74,97.36,97.36,95.47,94.72,87.17,80.0,64.15,29.06,0.75,265
46,97.65,96.08,96.47,96.86,94.12,90.98,85.49,69.8,47.84,23.53,0.39,255
47,59.26,66.67,62.96,66.67,48.15,44.44,44.44,22.22,3.7,0.0,0.0,27
48,92.9,91.36,89.51,88.89,89.81,85.49,77.16,70.99,55.86,18.52,0.0,324
49,96.43,89.29,85.71,87.5,80.36,76.79,66.07,57.14,37.5,3.57,0.0,56
50,95.41,90.58,89.37,88.41,85.51,82.61,73.43,62.56,47.58,28.74,11.35,414
51,93.42,86.83,83.13,82.72,72.84,70.78,53.91,37.86,17.28,3.29,0.0,243
52,96.07,95.87,94.63,94.01,92.98,89.67,82.02,78.31,65.08,36.78,4.96,484
53,89.5,87.82,89.92,85.29,85.71,80.67,69.33,63.87,41.18,20.17,2.1,238
54,43.75,37.5,43.75,25.0,12.5,25.0,6.25,6.25,0.0,6.25,0.0,16
55,90.91,90.04,87.01,84.85,81.39,72.73,63.2,45.45,28.57,9.09,0.0,231
56,75.0,58.33,62.5,62.5,50.0,62.5,33.33,41.67,12.5,12.5,0.0,24
