filter,class,predicted_class
Original,12,12
rain10,12,12
Original,30,30
rain10,30,30
Original,97,97
rain10,97,97
Original,90,90
rain10,90,78
Original,90,90
rain10,90,66
Original,45,45
rain10,45,45
Original,81,81
rain10,81,81
Original,31,31
rain10,31,31
Original,40,40
rain10,40,40
Original,42,42
rain10,42,42
Original,90,90
rain10,90,90
Original,50,51
rain10,50,51
Original,48,48
rain10,48,48
Original,46,46
rain10,46,46
Original,90,90
rain10,90,90
Original,66,63
rain10,66,63
Original,62,62
rain10,62,62
Original,93,93
rain10,93,93
Original,37,37
rain10,37,37
Original,86,86
rain10,86,86
Original,51,51
rain10,51,51
Original,52,52
rain10,52,52
Original,12,12
rain10,12,12
Original,78,78
rain10,78,78
Original,30,30
rain10,30,30
Original,45,45
rain10,45,45
Original,0,0
rain10,0,0
Original,90,90
rain10,90,90
Original,31,31
rain10,31,31
Original,21,21
rain10,21,21
Original,23,23
rain10,23,23
Original,86,86
rain10,86,86
Original,28,28
rain10,28,28
Original,20,20
rain10,20,20
Original,63,63
rain10,63,63
Original,28,28
rain10,28,28
Original,78,78
rain10,78,78
Original,37,37
rain10,37,37
Original,23,23
rain10,23,23
Original,50,50
rain10,50,50
Original,90,90
rain10,90,90
Original,15,15
rain10,15,15
Original,43,43
rain10,43,43
Original,16,16
rain10,16,16
Original,50,50
rain10,50,50
Original,90,90
rain10,90,90
Original,5,26
rain10,5,5
Original,87,87
rain10,87,87
Original,51,51
rain10,51,51
Original,55,55
rain10,55,55
Original,50,50
rain10,50,50
Original,21,28
rain10,21,28
Original,66,66
rain10,66,66
Original,52,52
rain10,52,52
Original,57,51
rain10,57,53
Original,46,46
rain10,46,51
Original,52,52
rain10,52,52
Original,23,23
rain10,23,23
Original,79,79
rain10,79,79
Original,55,55
rain10,55,55
Original,48,48
rain10,48,48
Original,43,43
rain10,43,43
Original,28,28
rain10,28,28
Original,53,53
rain10,53,53
Original,45,45
rain10,45,45
Original,87,87
rain10,87,87
Original,52,52
rain10,52,52
Original,28,28
rain10,28,28
Original,30,30
rain10,30,30
Original,1,1
rain10,1,1
Original,28,28
rain10,28,28
Original,48,48
rain10,48,48
Original,75,75
rain10,75,75
Original,72,72
rain10,72,72
Original,66,66
rain10,66,66
Original,97,97
rain10,97,97
Original,16,16
rain10,16,16
Original,48,48
rain10,48,48
Original,45,45
rain10,45,45
Original,90,90
rain10,90,90
Original,63,63
rain10,63,63
Original,32,32
rain10,32,32
Original,91,91
rain10,91,91
Original,48,48
rain10,48,48
Original,57,57
rain10,57,57
Original,30,30
rain10,30,30
Original,57,57
rain10,57,57
Original,50,50
rain10,50,50
Original,67,67
rain10,67,67
Original,20,20
rain10,20,20
Original,63,63
rain10,63,63
Original,31,31
rain10,31,30
Original,51,51
rain10,51,51
Original,67,67
rain10,67,67
Original,50,50
rain10,50,50
Original,90,90
rain10,90,90
Original,39,39
rain10,39,39
Original,20,20
rain10,20,20
Original,55,55
rain10,55,55
Original,46,46
rain10,46,46
Original,30,30
rain10,30,30
Original,55,55
rain10,55,55
Original,53,53
rain10,53,53
Original,86,86
rain10,86,86
Original,11,11
